X Lag Time,Record 1: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No2_230607 1,Record 2: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No2_230607 2,Record 3: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No2_230607 3,X Intensity,Record 1: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No2_230607 1,Record 2: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No2_230607 2,Record 3: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No2_230607 3
0.5,0.788,0.798,0.809,0.4,0,0,0
1,0.766,0.775,0.79,0.463,0,0,0
1.5,0.75,0.76,0.77,0.536,0,0,0
2,0.732,0.738,0.753,0.621,0,0,0
2.5,0.718,0.724,0.734,0.719,0,0,0
3,0.704,0.713,0.726,0.833,0,0,0
3.5,0.696,0.698,0.707,0.965,0,0,0
4,0.676,0.684,0.694,1.12,0,0,0
4.5,0.666,0.672,0.681,1.29,0,0,0
5.5,0.644,0.652,0.66,1.5,0,0,0
6.5,0.625,0.628,0.638,1.74,0,0,0
7.5,0.602,0.607,0.62,2.01,0,0,0
8.5,0.585,0.592,0.599,2.33,0,0,0
9.5,0.567,0.573,0.581,2.7,0,0,0
10.5,0.55,0.557,0.562,3.12,0,0,0
11.5,0.536,0.538,0.55,3.62,0,0,0
12.5,0.518,0.524,0.535,4.19,0,0,0
14.5,0.49,0.496,0.506,4.85,0,0,0
16.5,0.467,0.472,0.481,5.61,0,0,0
18.5,0.44,0.446,0.456,6.5,0.161,0,0
20.5,0.422,0.424,0.434,7.53,1.69,1.06,0.998
22.5,0.4,0.407,0.415,8.72,4.47,3.95,3.92
24.5,0.382,0.386,0.394,10.1,7.65,7.74,7.76
26.5,0.362,0.367,0.376,11.7,10.1,10.9,10.9
28.5,0.347,0.351,0.36,13.5,11.1,12.3,12.2
32.5,0.317,0.322,0.331,15.7,10.3,11.3,11.2
36.5,0.293,0.296,0.304,18.2,7.9,8.47,8.33
40.5,0.273,0.274,0.282,21,4.81,4.79,4.74
44.5,0.252,0.255,0.261,24.4,2.02,1.64,1.69
48.5,0.235,0.238,0.244,28.2,0.362,0.0338,0.112
52.5,0.221,0.223,0.229,32.7,0,0,0
56.5,0.208,0.211,0.215,37.8,0,0,0
60.5,0.196,0.199,0.204,43.8,0,0,0
68.5,0.175,0.179,0.183,50.7,0,0,0
76.5,0.16,0.162,0.167,58.8,0,0,0
84.5,0.147,0.15,0.156,68.1,0,0,0
92.5,0.136,0.14,0.145,78.8,0,0,0
101,0.128,0.131,0.136,91.3,0,0,0
109,0.123,0.126,0.128,106,0,0,0
117,0.117,0.118,0.123,122,0,0,0
125,0.112,0.113,0.117,142,0.0435,0.252,0.332
141,0.104,0.105,0.109,164,0.542,1.08,1.11
157,0.0978,0.0979,0.101,190,1.51,2.37,2.2
173,0.092,0.092,0.0967,220,2.74,3.79,3.35
189,0.0879,0.0892,0.0916,255,3.96,4.98,4.32
205,0.0838,0.0857,0.0873,295,4.91,5.66,4.92
221,0.0801,0.0817,0.0839,342,5.41,5.69,5.04
237,0.0777,0.0792,0.0805,396,5.39,5.08,4.69
253,0.0751,0.076,0.0787,459,4.88,4,3.96
285,0.0704,0.0709,0.0737,531,4,2.71,2.99
317,0.0664,0.0661,0.0689,615,2.92,1.47,1.97
349,0.0619,0.062,0.0645,712,1.83,0.555,1.07
381,0.0585,0.058,0.0623,825,0.918,0.0825,0.423
413,0.0561,0.0545,0.0596,955,0.304,0,0.0822
445,0.0518,0.0511,0.0562,1.11E+03,0.0257,0,0
477,0.0486,0.0479,0.0516,1.28E+03,0,0,0
509,0.0462,0.0449,0.0486,1.48E+03,0,0,0
573,0.0399,0.0398,0.0433,1.72E+03,0,0,0
637,0.0353,0.0345,0.0388,1.99E+03,0,0,0
701,0.0313,0.032,0.0365,2.30E+03,0,0,0
765,0.0275,0.029,0.0303,2.67E+03,0,0,0
829,0.0255,0.0258,0.029,3.09E+03,0,0,0
893,0.0236,0.0233,0.0267,3.58E+03,0,0,0.0823
957,0.0221,0.0226,0.0237,4.15E+03,0,0,0.267
1.02E+03,0.0198,0.0199,0.0226,4.80E+03,0,0,0.514
1.15E+03,0.0152,0.0161,0.0196,5.56E+03,0,0,0.746
1.28E+03,0.0119,0.0129,0.0161,6.44E+03,0,0,0
1.40E+03,0.0101,0.00956,0.0141,7.46E+03,0,0,0
1.53E+03,0.00892,0.00818,0.0116,8.63E+03,0,0,0
1.66E+03,0.00728,0.00795,0.0106,,,,
1.79E+03,0.00677,0.00676,0.0108,,,,
1.92E+03,0.00726,0.0059,0.00969,,,,
2.04E+03,0.00585,0.00557,0.00843,,,,
2.30E+03,0.0048,0.00329,0.00607,,,,
2.56E+03,0.00534,0.00404,0.00595,,,,
2.81E+03,0.00397,0.00426,0.00513,,,,
3.07E+03,0.00465,0.00321,0.00511,,,,
3.32E+03,0.00452,0.00323,0.00517,,,,
3.58E+03,0.00407,0.00279,0.00461,,,,
3.84E+03,0.00402,0.00231,0.00278,,,,
4.09E+03,0.00323,0.00351,0.00267,,,,
4.60E+03,0.00266,0.00448,0.00372,,,,
5.12E+03,0.00245,0.0032,0.00386,,,,
5.63E+03,0.0025,0.00191,0.00421,,,,
6.14E+03,0.00297,0.00187,0.00351,,,,
6.65E+03,0.00185,0.0023,0.0037,,,,
7.16E+03,0.00225,0.000923,0.0043,,,,
7.68E+03,0.0026,0.00108,0.00345,,,,
8.19E+03,0.00234,0.00303,0.00328,,,,
9.21E+03,0.00131,0.00382,0.00363,,,,
1.02E+04,0.000487,0.00302,0.0038,,,,
1.13E+04,0.000925,0.00373,0.00379,,,,
1.23E+04,0.00166,0.00291,0.00389,,,,
1.33E+04,0.00175,0.00278,0.00312,,,,
1.43E+04,0.00179,0.00241,0.00355,,,,
1.54E+04,0.00202,0.00168,0.00516,,,,
1.64E+04,0.00217,0.0026,0.0036,,,,
1.84E+04,0.00198,0.00258,0.00245,,,,
2.05E+04,0.00187,0.00238,0.00315,,,,
2.25E+04,0.00197,0.00134,0.0027,,,,
