X Lag Time,Record 1: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_PM_No2 1,Record 2: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_PM_No2 2,Record 3: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_PM_No2 3,X Intensity,Record 1: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_PM_No2 1,Record 2: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_PM_No2 2,Record 3: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_PM_No2 3
0.5,0.825,0.818,0.829,0.4,0,0,0
1,0.813,0.797,0.804,0.463,0,0,0
1.5,0.799,0.775,0.787,0.536,0,0,0
2,0.782,0.758,0.773,0.621,0,0,0
2.5,0.774,0.743,0.758,0.719,0,0,0
3,0.76,0.728,0.746,0.833,0,0,0
3.5,0.748,0.712,0.73,0.965,0,0,0
4,0.737,0.7,0.718,1.12,0,0,0
4.5,0.727,0.687,0.709,1.29,0,0,0
5.5,0.707,0.664,0.687,1.5,0,0,0
6.5,0.69,0.643,0.664,1.74,0,0,0
7.5,0.671,0.622,0.647,2.01,0,0,0
8.5,0.654,0.599,0.629,2.33,0,0,0
9.5,0.64,0.581,0.613,2.7,0,0,0
10.5,0.629,0.564,0.596,3.12,0,0,0
11.5,0.611,0.548,0.582,3.62,0,0,0
12.5,0.599,0.536,0.567,4.19,0,0,0
14.5,0.575,0.505,0.542,4.85,0,0,0
16.5,0.552,0.479,0.517,5.61,0,0,0
18.5,0.531,0.453,0.491,6.5,0,0,0.113
20.5,0.51,0.431,0.469,7.53,0,1.34,1.43
22.5,0.492,0.408,0.449,8.72,2.43,4.23,3.94
24.5,0.475,0.388,0.432,10.1,6.7,7.76,6.94
26.5,0.46,0.371,0.413,11.7,10.5,10.7,9.45
28.5,0.445,0.355,0.398,13.5,11.9,11.9,10.6
32.5,0.418,0.324,0.368,15.7,10.3,11,10.1
36.5,0.392,0.298,0.344,18.2,6.56,8.39,7.95
40.5,0.371,0.274,0.322,21,2.58,4.96,5.01
44.5,0.352,0.255,0.302,24.4,0.206,1.91,2.22
48.5,0.335,0.238,0.284,28.2,0,0.21,0.46
52.5,0.319,0.224,0.269,32.7,0,0,0
56.5,0.306,0.21,0.255,37.8,0,0,0
60.5,0.295,0.198,0.243,43.8,0,0,0
68.5,0.275,0.178,0.223,50.7,0,0,0
76.5,0.259,0.162,0.206,58.8,0,0,0
84.5,0.246,0.149,0.193,68.1,0,0,0
92.5,0.235,0.139,0.183,78.8,0,0,0
101,0.226,0.13,0.172,91.3,0,0,0
109,0.219,0.122,0.164,106,0,0,0
117,0.211,0.116,0.158,122,0,0,0
125,0.205,0.111,0.152,142,0,0,0
141,0.195,0.103,0.143,164,0,0.135,0
157,0.188,0.0978,0.137,190,0.321,0.763,0.388
173,0.18,0.0923,0.131,220,1.4,1.84,1.28
189,0.174,0.0874,0.126,255,3.09,3.11,2.52
205,0.17,0.0846,0.122,295,4.92,4.29,3.82
221,0.165,0.0813,0.119,342,6.42,5.1,4.89
237,0.161,0.0793,0.114,396,7.22,5.41,5.52
253,0.157,0.0772,0.111,459,7.15,5.16,5.6
285,0.15,0.0726,0.107,531,6.26,4.43,5.12
317,0.145,0.0681,0.102,615,4.78,3.39,4.22
349,0.139,0.0638,0.0977,712,3.07,2.25,3.08
381,0.133,0.0596,0.0928,825,1.52,1.22,1.92
413,0.127,0.0569,0.0894,955,0.456,0.469,0.942
445,0.122,0.0549,0.0856,1.11E+03,0,0.0813,0.293
477,0.117,0.0515,0.0825,1.28E+03,0,0,0.0111
509,0.112,0.0489,0.079,1.48E+03,0,0,0
573,0.104,0.0428,0.0722,1.72E+03,0,0,0
