X Lag Time,Record 1: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No3_230530 1,Record 2: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No3_230530 2,Record 3: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No3_230530 3,X Intensity,Record 1: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No3_230530 1,Record 2: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No3_230530 2,Record 3: JJ1_01mg_PO1_500ug_200rpm_10-00min_PMMA_No3_230530 3
0.5,0.804,0.789,0.79,0.4,0,0,0
1,0.785,0.761,0.759,0.463,0,0,0
1.5,0.762,0.745,0.742,0.536,0,0,0
2,0.744,0.721,0.724,0.621,0,0,0
2.5,0.725,0.704,0.703,0.719,0,0,0
3,0.714,0.689,0.687,0.833,0,0,0
3.5,0.698,0.676,0.67,0.965,0,0,0
4,0.681,0.657,0.654,1.12,0,0,0
4.5,0.666,0.643,0.647,1.29,0,0,0
5.5,0.648,0.617,0.62,1.5,0,0,0
6.5,0.622,0.593,0.596,1.74,0,0,0
7.5,0.601,0.571,0.575,2.01,0,0,0
8.5,0.583,0.551,0.555,2.33,0,0,0
9.5,0.562,0.528,0.536,2.7,0,0,0
10.5,0.544,0.512,0.521,3.12,0,0,0
11.5,0.525,0.493,0.501,3.62,0,0,0
12.5,0.511,0.478,0.486,4.19,0,0,0
14.5,0.483,0.446,0.457,4.85,0,0,0
16.5,0.456,0.42,0.428,5.61,0,0,0
18.5,0.427,0.394,0.405,6.5,0.304,0,0
20.5,0.406,0.369,0.382,7.53,2.19,1.1,1.37
22.5,0.381,0.347,0.359,8.72,5.42,4.02,4.52
24.5,0.362,0.327,0.338,10.1,8.91,7.93,8.42
26.5,0.343,0.309,0.319,11.7,11.5,11.4,11.6
28.5,0.329,0.293,0.304,13.5,12.2,13.3,13
32.5,0.298,0.26,0.272,15.7,11,12.9,12.2
36.5,0.272,0.236,0.247,18.2,8.23,10.5,9.49
40.5,0.25,0.212,0.226,21,4.84,6.95,5.94
44.5,0.228,0.194,0.206,24.4,1.93,3.4,2.67
48.5,0.211,0.176,0.188,28.2,0.294,0.935,0.607
52.5,0.196,0.163,0.174,32.7,0,0,0
56.5,0.184,0.149,0.161,37.8,0,0,0
60.5,0.172,0.139,0.151,43.8,0,0,0
68.5,0.154,0.12,0.132,50.7,0,0,0
76.5,0.138,0.104,0.117,58.8,0,0,0
84.5,0.126,0.0933,0.105,68.1,0,0,0
92.5,0.115,0.0845,0.0965,78.8,0,0,0
101,0.107,0.0757,0.0885,91.3,0,0,0
