X Lag Time,Record 1: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No3_230608 1,Record 2: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No3_230608 2,Record 3: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No3_230608 3,X Intensity,Record 1: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No3_230608 1,Record 2: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No3_230608 2,Record 3: JJ1_01mg_PO1_250ug_200rpm_10-00min_PM_No3_230608 3
0.5,0.786,0.778,0.778,0.4,0,0,0
1,0.762,0.746,0.754,0.463,0,0,0
1.5,0.73,0.724,0.727,0.536,0,0,0
2,0.72,0.705,0.709,0.621,0,0,0
2.5,0.693,0.687,0.685,0.719,0,1.12,0
3,0.676,0.665,0.671,0.833,0,2.05,0
3.5,0.661,0.649,0.651,0.965,0,1.75,0
4,0.642,0.638,0.635,1.12,0,0.644,0
4.5,0.624,0.617,0.622,1.29,0,0,0
5.5,0.597,0.588,0.59,1.5,0,0,0
6.5,0.567,0.568,0.572,1.74,0,0,0
7.5,0.545,0.546,0.541,2.01,0,0,0
8.5,0.523,0.524,0.515,2.33,0,0,0
9.5,0.502,0.505,0.498,2.7,0,0,0
10.5,0.483,0.487,0.478,3.12,0,0,0
11.5,0.466,0.465,0.461,3.62,0,0,0
12.5,0.446,0.448,0.442,4.19,0,0,0
14.5,0.41,0.42,0.409,4.85,0,0,0
16.5,0.378,0.389,0.379,5.61,0,0,0
18.5,0.352,0.363,0.35,6.5,0.263,0,0.718
20.5,0.325,0.338,0.324,7.53,2.37,1.16,3.09
22.5,0.3,0.32,0.301,8.72,5.97,4.27,6.58
24.5,0.282,0.297,0.28,10.1,9.89,8.35,10.1
26.5,0.261,0.279,0.261,11.7,12.9,11.9,12.6
28.5,0.245,0.261,0.243,13.5,14.2,13.7,13.5
32.5,0.211,0.231,0.213,15.7,13.4,13.2,12.6
36.5,0.187,0.206,0.186,18.2,11,10.7,10.3
40.5,0.165,0.183,0.166,21,7.7,7.15,7.27
44.5,0.145,0.164,0.146,24.4,4.32,3.59,4.17
48.5,0.129,0.147,0.13,28.2,1.7,1.05,1.74
52.5,0.117,0.132,0.116,32.7,0.295,0,0.372
56.5,0.104,0.122,0.104,37.8,0,0,0
60.5,0.0928,0.111,0.095,43.8,0,0,0
68.5,0.077,0.0938,0.0795,50.7,0,0,0
76.5,0.0657,0.0818,0.066,58.8,0,0,0
84.5,0.0546,0.0725,0.0567,68.1,0,0,0
92.5,0.0474,0.064,0.049,78.8,0,0,0
101,0.0413,0.0581,0.0426,91.3,0,0,0
109,0.0388,0.0538,0.0393,106,0,0,0
117,0.0343,0.0478,0.0358,122,0,0,0
125,0.0316,0.0449,0.0321,142,0,0,0
141,0.0272,0.0395,0.0278,164,0,0,0
157,0.0241,0.0386,0.0244,190,0,0.0988,0.0727
173,0.0201,0.0348,0.0211,220,0.106,0.398,0.28
189,0.0185,0.0325,0.0199,255,0.353,0.867,0.606
