X Lag Time,Record 1: JJ1_01mg_PS8_010ug_200rpm_10-00min_PM_No2_230620 1,Record 2: JJ1_01mg_PS8_010ug_200rpm_10-00min_PM_No2_230620 2,Record 3: JJ1_01mg_PS8_010ug_200rpm_10-00min_PM_No2_230620 3,X Intensity,Record 1: JJ1_01mg_PS8_010ug_200rpm_10-00min_PM_No2_230620 1,Record 2: JJ1_01mg_PS8_010ug_200rpm_10-00min_PM_No2_230620 2,Record 3: JJ1_01mg_PS8_010ug_200rpm_10-00min_PM_No2_230620 3
0.5,0.844,0.848,0.825,0.4,0,0,0
1,0.836,0.839,0.818,0.463,0,0,0
1.5,0.824,0.83,0.809,0.536,0,0,0
2,0.811,0.817,0.797,0.621,0,0,0
2.5,0.803,0.817,0.792,0.719,0,0,0
3,0.795,0.804,0.784,0.833,0,0,0
3.5,0.78,0.799,0.777,0.965,0,0,0
4,0.776,0.786,0.77,1.12,0,0,0
4.5,0.769,0.781,0.764,1.29,0,0,0
5.5,0.754,0.769,0.751,1.5,0,0,0
6.5,0.74,0.756,0.74,1.74,0,0,0
7.5,0.726,0.746,0.728,2.01,0,0,0
8.5,0.716,0.735,0.72,2.33,0,0,0
9.5,0.703,0.726,0.709,2.7,0,0,0
10.5,0.695,0.717,0.701,3.12,0,0,0
11.5,0.688,0.708,0.69,3.62,0,0,0
12.5,0.673,0.699,0.683,4.19,0,0,0
14.5,0.654,0.681,0.667,4.85,0,0,0
16.5,0.636,0.667,0.653,5.61,0,0,0
18.5,0.62,0.652,0.636,6.5,0.113,0,0
20.5,0.606,0.64,0.625,7.53,0.95,0,0
22.5,0.589,0.626,0.615,8.72,2.62,0,0.0902
24.5,0.579,0.615,0.603,10.1,4.7,3.52,3.09
26.5,0.565,0.603,0.591,11.7,6.41,8.26,6.81
28.5,0.552,0.592,0.58,13.5,6.98,9.73,8.28
32.5,0.532,0.573,0.561,15.7,6.02,6.63,6.37
36.5,0.508,0.554,0.545,18.2,3.85,1.94,2.62
40.5,0.492,0.536,0.528,21,1.45,0,0
44.5,0.475,0.522,0.513,24.4,0,0,0
48.5,0.461,0.508,0.498,28.2,0,0,0
52.5,0.448,0.496,0.489,32.7,0,0,0
56.5,0.437,0.484,0.477,37.8,0,0,0
60.5,0.426,0.475,0.467,43.8,0,0,0
68.5,0.406,0.457,0.451,50.7,0,0,0
76.5,0.389,0.44,0.435,58.8,0,0,0
84.5,0.376,0.428,0.422,68.1,0,0,0
92.5,0.364,0.417,0.412,78.8,0,0,0
101,0.354,0.408,0.4,91.3,0,0,0
109,0.345,0.399,0.392,106,0,0,0
117,0.336,0.391,0.385,122,0,0,0
125,0.329,0.385,0.378,142,0,0,0
141,0.315,0.373,0.364,164,0.0456,0,0
157,0.303,0.362,0.354,190,1.37,0,0
173,0.293,0.353,0.344,220,3.89,0.306,1.33
189,0.285,0.345,0.334,255,6.86,3.47,4.23
205,0.277,0.336,0.327,295,9.41,8.32,7.75
221,0.269,0.328,0.318,342,10.9,12.6,10.7
237,0.262,0.321,0.31,396,10.8,14.4,12.2
253,0.254,0.314,0.303,459,9.46,13.2,11.9
285,0.241,0.3,0.288,531,7.11,9.56,10
317,0.229,0.286,0.275,615,4.43,5.13,7.2
349,0.216,0.274,0.262,712,2.07,1.59,4.2
381,0.205,0.263,0.251,825,0.549,0,1.77
413,0.193,0.252,0.239,955,0,0,0.378
445,0.184,0.243,0.228,1.11E+03,0,0,0
477,0.175,0.233,0.218,1.28E+03,0,0,0
509,0.166,0.223,0.208,1.48E+03,0,0,0
573,0.15,0.204,0.189,1.72E+03,0,0,0
637,0.136,0.187,0.173,1.99E+03,0,0,0
701,0.121,0.173,0.158,2.30E+03,0,0,0
765,0.11,0.16,0.144,2.67E+03,0,0,0
829,0.101,0.147,0.131,3.09E+03,0,0,0
893,0.0925,0.136,0.12,3.58E+03,0,0,0
957,0.0839,0.126,0.111,4.15E+03,0,0,0.000759
1.02E+03,0.076,0.117,0.103,4.80E+03,0,0.238,0.275
1.15E+03,0.0638,0.101,0.0871,5.56E+03,0,1.22,0.787
1.28E+03,0.0537,0.0881,0.0737,6.44E+03,0,0,0
1.40E+03,0.0445,0.0777,0.0633,7.46E+03,0,0,0
1.53E+03,0.0373,0.0691,0.055,8.63E+03,0,0,0
1.66E+03,0.0344,0.0622,0.0478,,,,
1.79E+03,0.0295,0.0566,0.0418,,,,
1.92E+03,0.0263,0.0504,0.0387,,,,
2.04E+03,0.0234,0.0464,0.0361,,,,
2.30E+03,0.018,0.0394,0.0302,,,,
2.56E+03,0.0145,0.0344,0.0256,,,,
2.81E+03,0.0118,0.0311,0.0218,,,,
3.07E+03,0.0101,0.0275,0.0189,,,,
3.32E+03,0.00892,0.0251,0.0141,,,,
3.58E+03,0.00798,0.0234,0.00931,,,,
3.84E+03,0.00561,0.023,0.00612,,,,
4.09E+03,0.00584,0.0236,0.00492,,,,
4.60E+03,0.00409,0.0214,0.00435,,,,
5.12E+03,0.00447,0.0189,0.00273,,,,
5.63E+03,0.00549,0.0172,0.00371,,,,
6.14E+03,0.00748,0.0152,0.00477,,,,
6.65E+03,0.00784,0.0153,0.00508,,,,
7.16E+03,0.00826,0.0163,0.00456,,,,
7.68E+03,0.00834,0.0146,0.00261,,,,
8.19E+03,0.00822,0.0139,0.00189,,,,
9.21E+03,0.00734,0.0115,0.00302,,,,
1.02E+04,0.00751,0.00914,0.00314,,,,
1.13E+04,0.00499,0.00584,0.00353,,,,
1.23E+04,0.00511,0.00912,0.00387,,,,
1.33E+04,0.00293,0.0109,0.0049,,,,
1.43E+04,0.00724,0.0106,0.00646,,,,
1.54E+04,0.00758,0.0112,0.00471,,,,
1.64E+04,0.00508,0.0086,0.00272,,,,
1.84E+04,0.00329,0.00955,0.00309,,,,
2.05E+04,0.00357,0.0105,0.00563,,,,
2.25E+04,0.00492,0.0081,0.0036,,,,
2.46E+04,0.00499,0.00721,0.00225,,,,
2.66E+04,0.0038,0.00849,0.00619,,,,
2.87E+04,0.00302,0.00791,0.00604,,,,
3.07E+04,0.00574,0.00402,0.00716,,,,
3.28E+04,0.00289,0.00629,0.00395,,,,
3.69E+04,0.00366,0.00611,0.00311,,,,
4.10E+04,0.00516,0.00505,0.000521,,,,
4.51E+04,0.00315,0.0051,0.00263,,,,
4.91E+04,0.00283,0.00439,0.00403,,,,
5.32E+04,0.00192,0.0046,0.00528,,,,
5.73E+04,0.0025,0.00655,0.00496,,,,
6.14E+04,0.00454,0.00542,0.00385,,,,
6.55E+04,0.00429,0.0075,0.0025,,,,
7.37E+04,0.00337,0.00832,0.00401,,,,
8.19E+04,0.00253,0.00518,0.00345,,,,
9.01E+04,0.00252,0.00583,0.00419,,,,
9.83E+04,0.00193,0.00444,0.00145,,,,
1.06E+05,0.00263,0.0054,0.00166,,,,
1.15E+05,0.00258,0.00435,0.00147,,,,
1.23E+05,0.0031,0.00564,0.00324,,,,
1.31E+05,0.00221,0.00412,0.00255,,,,
1.47E+05,0.00175,0.00402,0.00289,,,,
1.64E+05,0.00301,0.00318,0.00294,,,,
1.80E+05,0.00136,0.00344,0.00156,,,,
1.97E+05,0.00104,0.00433,0.00191,,,,
2.13E+05,0.00137,0.00395,0.00251,,,,
2.29E+05,0.00175,0.00313,0.000813,,,,
2.46E+05,0.00198,0.00419,0.00141,,,,
2.62E+05,0.00164,0.00514,0.00232,,,,
2.95E+05,0.0018,0.00454,0.00115,,,,
3.28E+05,0.00262,0.00459,0.00236,,,,
3.60E+05,0.00121,0.00442,0.00107,,,,
3.93E+05,0.00212,0.00443,0.00145,,,,
4.26E+05,0.00146,0.0029,0.00109,,,,
4.59E+05,0.00232,0.00392,0.000606,,,,
4.92E+05,0.00247,0.00212,0.000386,,,,
5.24E+05,0.000495,0.00123,0.000218,,,,
5.90E+05,0.00199,0.000918,0.00108,,,,
6.55E+05,0.000794,0.000541,0.000917,,,,
7.21E+05,0.000905,0.000952,0.000816,,,,
7.86E+05,0.000682,0.000643,0.00172,,,,
8.52E+05,0.0012,0.000758,0.000626,,,,
9.18E+05,0.00021,0.000297,0.00124,,,,
9.83E+05,0.00115,0.000725,0.0007,,,,
1.05E+06,0.00267,0,0,,,,
1.18E+06,0.00024,0.00162,0.00163,,,,
1.31E+06,0.00071,8.75E-05,0,,,,
1.44E+06,0.000285,0.000554,0,,,,
1.57E+06,0.000171,0.00158,0.000918,,,,
1.70E+06,0.00115,0.00039,0.00162,,,,
