X Lag Time,Record 28: G14 1,Record 29: G14 2,Record 30: G14 3,X Intensity,Record 28: G14 1,Record 29: G14 2,Record 30: G14 3
0.5,0.86,0.839,0.844,0.4,0,0,0
1,0.838,0.824,0.828,0.463,0,0,0
1.5,0.829,0.81,0.816,0.536,0,0,0
2,0.819,0.797,0.803,0.621,0,0,0
2.5,0.804,0.787,0.791,0.719,0,0,0
3,0.791,0.778,0.786,0.833,0,0,0
3.5,0.786,0.771,0.776,0.965,0,0,0
4,0.778,0.76,0.763,1.12,0,0,0
4.5,0.766,0.753,0.756,1.29,0,0,0
5.5,0.75,0.735,0.741,1.5,0,0,0
6.5,0.736,0.72,0.723,1.74,0,0,0
7.5,0.721,0.709,0.71,2.01,0,0,0
8.5,0.707,0.694,0.697,2.33,0,0,0
9.5,0.698,0.682,0.684,2.7,0,0,0
10.5,0.684,0.668,0.674,3.12,0,0,0
11.5,0.673,0.657,0.663,3.62,0,0,0
12.5,0.662,0.646,0.65,4.19,0,0,0
14.5,0.641,0.628,0.629,4.85,0,0,0
16.5,0.621,0.608,0.61,5.61,0,0,0
18.5,0.602,0.591,0.591,6.5,0.443,0,0
20.5,0.586,0.574,0.576,7.53,1.62,0.457,0.736
22.5,0.57,0.558,0.559,8.72,3.19,2.47,2.61
24.5,0.553,0.543,0.544,10.1,4.64,5.16,4.91
26.5,0.539,0.53,0.53,11.7,5.57,7.21,6.67
28.5,0.526,0.517,0.516,13.5,5.76,7.75,7.19
32.5,0.501,0.492,0.491,15.7,5.26,6.67,6.3
36.5,0.48,0.47,0.47,18.2,4.25,4.56,4.42
40.5,0.459,0.45,0.449,21,3,2.29,2.3
44.5,0.441,0.432,0.431,24.4,1.8,0.657,0.685
48.5,0.425,0.416,0.415,28.2,0.839,0,0
52.5,0.41,0.401,0.4,32.7,0.241,0,0
56.5,0.397,0.388,0.387,37.8,0,0,0
60.5,0.384,0.376,0.375,43.8,0,0,0
68.5,0.362,0.355,0.353,50.7,0.0893,0,0
76.5,0.343,0.337,0.334,58.8,0.425,0.235,0.183
84.5,0.326,0.321,0.319,68.1,1.06,0.801,0.852
92.5,0.313,0.307,0.304,78.8,1.96,1.66,1.94
101,0.3,0.295,0.292,91.3,3.01,2.7,3.23
109,0.288,0.285,0.281,106,4.08,3.8,4.43
117,0.277,0.275,0.271,122,4.99,4.85,5.34
125,0.269,0.266,0.262,142,5.64,5.72,5.85
141,0.253,0.251,0.246,164,5.93,6.31,5.95
157,0.239,0.236,0.232,190,5.85,6.55,5.69
173,0.226,0.224,0.22,220,5.42,6.4,5.19
189,0.215,0.213,0.209,255,4.73,5.86,4.55
205,0.206,0.204,0.2,295,3.89,4.97,3.86
221,0.196,0.195,0.191,342,3,3.84,3.19
237,0.188,0.186,0.182,396,2.16,2.63,2.57
253,0.18,0.178,0.174,459,1.44,1.5,2
285,0.165,0.164,0.161,531,0.868,0.637,1.5
317,0.153,0.152,0.149,615,0.46,0.14,1.05
349,0.143,0.142,0.138,712,0.201,0,0.665
381,0.134,0.132,0.127,825,0.0625,0,0.356
413,0.125,0.123,0.118,955,0.00791,0,0.14
445,0.117,0.116,0.11,1.11E+03,0,0,0.0262
477,0.11,0.109,0.104,1.28E+03,0,0,0
509,0.104,0.102,0.0976,1.48E+03,0,0,0
573,0.0926,0.0909,0.087,1.72E+03,0,0,0
637,0.0832,0.0819,0.0781,1.99E+03,0,0,0
701,0.0754,0.0735,0.0707,2.30E+03,0.017,0,0
765,0.0691,0.0664,0.0642,2.67E+03,0.164,0,0.00446
829,0.0631,0.0601,0.0592,3.09E+03,0.496,0,0.172
893,0.0587,0.0549,0.0553,3.58E+03,1,0,0.55
957,0.0542,0.0507,0.0518,4.15E+03,1.61,0.395,1.09
1.02E+03,0.0511,0.0483,0.0492,4.80E+03,2.2,1.31,1.67
1.15E+03,0.0455,0.0423,0.0426,5.56E+03,2.63,2.48,2.13
1.28E+03,0.0412,0.0375,0.0382,6.44E+03,0,0,0
1.40E+03,0.0386,0.0335,0.0347,7.46E+03,0,0,0
1.53E+03,0.0365,0.0307,0.0307,8.63E+03,0,0,0
1.66E+03,0.0347,0.0284,0.0284,,,,
1.79E+03,0.0333,0.0262,0.026,,,,
1.92E+03,0.033,0.0257,0.0234,,,,
2.04E+03,0.0316,0.0236,0.0239,,,,
2.30E+03,0.029,0.0217,0.0228,,,,
2.56E+03,0.0269,0.021,0.0212,,,,
2.81E+03,0.0238,0.0196,0.0194,,,,
3.07E+03,0.0218,0.0184,0.0189,,,,
3.32E+03,0.0213,0.0163,0.0188,,,,
3.58E+03,0.02,0.0166,0.0179,,,,
3.84E+03,0.0195,0.0162,0.0153,,,,
4.09E+03,0.0198,0.015,0.0156,,,,
4.60E+03,0.0203,0.0137,0.0149,,,,
5.12E+03,0.0177,0.0142,0.0153,,,,
5.63E+03,0.0183,0.0138,0.0155,,,,
6.14E+03,0.0177,0.0141,0.0154,,,,
6.65E+03,0.0161,0.0131,0.0151,,,,
7.16E+03,0.0154,0.0117,0.0158,,,,
7.68E+03,0.0142,0.0128,0.0147,,,,
8.19E+03,0.0144,0.0122,0.0139,,,,
9.21E+03,0.015,0.0123,0.0136,,,,
1.02E+04,0.0142,0.0125,0.0135,,,,
1.13E+04,0.0141,0.0127,0.0135,,,,
1.23E+04,0.014,0.0121,0.0129,,,,
1.33E+04,0.0135,0.0106,0.0139,,,,
1.43E+04,0.0145,0.00938,0.0149,,,,
1.54E+04,0.0145,0.0112,0.0138,,,,
1.64E+04,0.0149,0.0107,0.0138,,,,
1.84E+04,0.0146,0.011,0.0147,,,,
2.05E+04,0.0139,0.0113,0.0128,,,,
2.25E+04,0.0123,0.00993,0.0124,,,,
2.46E+04,0.012,0.00974,0.0137,,,,
2.66E+04,0.0123,0.00978,0.0129,,,,
2.87E+04,0.0119,0.0081,0.0125,,,,
3.07E+04,0.012,0.00922,0.0125,,,,
3.28E+04,0.0127,0.00936,0.0127,,,,
3.69E+04,0.0128,0.00716,0.0112,,,,
4.10E+04,0.0131,0.00749,0.0114,,,,
4.51E+04,0.013,0.00733,0.011,,,,
4.91E+04,0.0123,0.00656,0.0111,,,,
5.32E+04,0.0112,0.00655,0.0101,,,,
5.73E+04,0.0115,0.00535,0.00983,,,,
6.14E+04,0.0106,0.00639,0.0107,,,,
6.55E+04,0.0107,0.00606,0.011,,,,
7.37E+04,0.0112,0.00527,0.0107,,,,
8.19E+04,0.00898,0.0052,0.00974,,,,
9.01E+04,0.00987,0.0051,0.0107,,,,
9.83E+04,0.00903,0.00454,0.00982,,,,
1.06E+05,0.00937,0.00421,0.00983,,,,
1.15E+05,0.00979,0.00369,0.0108,,,,
1.23E+05,0.0108,0.00353,0.0107,,,,
1.31E+05,0.0107,0.00436,0.0107,,,,
1.47E+05,0.00992,0.00461,0.0103,,,,
1.64E+05,0.00959,0.00553,0.0102,,,,
1.80E+05,0.0101,0.00546,0.0105,,,,
1.97E+05,0.0101,0.00491,0.0108,,,,
2.13E+05,0.0101,0.00379,0.0111,,,,
2.29E+05,0.00956,0.00414,0.0103,,,,
2.46E+05,0.00895,0.00417,0.0111,,,,
2.62E+05,0.00906,0.00417,0.00995,,,,
2.95E+05,0.00842,0.00369,0.00862,,,,
3.28E+05,0.00883,0.00339,0.00915,,,,
3.60E+05,0.00827,0.00328,0.00923,,,,
3.93E+05,0.00825,0.00371,0.00877,,,,
4.26E+05,0.00752,0.00457,0.00945,,,,
4.59E+05,0.0083,0.00357,0.00861,,,,
4.92E+05,0.008,0.00313,0.00987,,,,
5.24E+05,0.0073,0.00347,0.00892,,,,
5.90E+05,0.00701,0.00314,0.0102,,,,
6.55E+05,0.00582,0.00267,0.00995,,,,
7.21E+05,0.00545,0.00253,0.0108,,,,
7.86E+05,0.00704,0.00322,0.0106,,,,
8.52E+05,0.00697,0.00317,0.00911,,,,
9.18E+05,0.00671,0.00315,0.00847,,,,
9.83E+05,0.0059,0.00302,0.0107,,,,
1.05E+06,0.00648,0.0024,0.00843,,,,
1.18E+06,0.00538,0.00332,0.00994,,,,
1.31E+06,0.00966,0.00265,0.0113,,,,
1.44E+06,0.0119,0.00344,0.0115,,,,
1.57E+06,0.00927,0.00332,0.00949,,,,
1.70E+06,0.00771,0.00267,0.011,,,,
1.84E+06,0.00902,0.00269,0.011,,,,
1.97E+06,0.00419,0.00223,0.00931,,,,
2.10E+06,0.0051,0.00199,0.00604,,,,
2.36E+06,0.00296,0.0018,0.0105,,,,
2.62E+06,0.00147,0.00177,0.00966,,,,
2.88E+06,0.0011,0.00163,0.00784,,,,
3.15E+06,0.00198,0.000818,0.0031,,,,
3.41E+06,0.00164,0.00112,0.00882,,,,
3.67E+06,0.00112,0.00189,0.00694,,,,
3.93E+06,0.000858,0.00153,0.00659,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
