X Lag Time,Record 1: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No3_230607 1,Record 2: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No3_230607 2,Record 3: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No3_230607 3,X Intensity,Record 1: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No3_230607 1,Record 2: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No3_230607 2,Record 3: JJ1_01mg_PS2_250ug_200rpm_10-00min_PM_No3_230607 3
0.5,0.809,0.811,0.829,0.4,0,0,0
1,0.793,0.798,0.815,0.463,0,0,0
1.5,0.777,0.78,0.8,0.536,0,0,0
2,0.761,0.769,0.783,0.621,0,0,0
2.5,0.748,0.755,0.772,0.719,0,0,0
3,0.737,0.744,0.76,0.833,0,0,0
3.5,0.722,0.733,0.748,0.965,0,0,0
4,0.71,0.724,0.739,1.12,0,0,0
4.5,0.698,0.714,0.727,1.29,0,0,0
5.5,0.675,0.696,0.71,1.5,0,0,0
6.5,0.658,0.679,0.69,1.74,0,0,0
7.5,0.637,0.664,0.673,2.01,0,0,0
8.5,0.625,0.646,0.658,2.33,0,0,0
9.5,0.606,0.632,0.641,2.7,0,0,0
10.5,0.591,0.616,0.628,3.12,0,0,0
11.5,0.578,0.606,0.613,3.62,0,0,0
12.5,0.564,0.593,0.602,4.19,0,0,0
14.5,0.538,0.569,0.577,4.85,0,0,0
16.5,0.514,0.548,0.554,5.61,0,0,0
18.5,0.49,0.526,0.532,6.5,0,0,0
20.5,0.469,0.509,0.515,7.53,0,0.239,0
22.5,0.449,0.49,0.494,8.72,0.899,2.5,1.79
24.5,0.433,0.475,0.479,10.1,5.35,6.17,6.12
26.5,0.416,0.457,0.461,11.7,10.9,9.55,10.6
28.5,0.399,0.443,0.447,13.5,14.1,11.1,12.6
32.5,0.371,0.417,0.419,15.7,13.2,9.98,11
36.5,0.346,0.393,0.394,18.2,8.66,6.84,6.77
40.5,0.322,0.373,0.372,21,3.26,3.12,2.34
44.5,0.303,0.354,0.354,24.4,0,0.568,0
48.5,0.285,0.338,0.337,28.2,0,0,0
52.5,0.268,0.322,0.321,32.7,0,0,0
56.5,0.255,0.309,0.308,37.8,0,0,0
60.5,0.244,0.297,0.296,43.8,0,0,0
68.5,0.221,0.277,0.275,50.7,0,0,0
76.5,0.205,0.26,0.258,58.8,0,0,0
84.5,0.191,0.246,0.244,68.1,0,0,0
92.5,0.18,0.235,0.232,78.8,0,0,0
101,0.171,0.226,0.222,91.3,0,0,0
109,0.162,0.217,0.214,106,0,0,0
117,0.156,0.21,0.207,122,0,0,0
125,0.15,0.204,0.201,142,0,0,0
141,0.141,0.192,0.192,164,0,0,0
157,0.135,0.185,0.183,190,1.01,0.913,1.28
173,0.129,0.178,0.177,220,2.95,2.87,3.71
189,0.125,0.172,0.17,255,5.17,5.31,6.43
