X Lag Time,Record 1: JJ1_01mg_PO1_050ug_200rpm_10-00min_ST_No2_230620 1,Record 2: JJ1_01mg_PO1_050ug_200rpm_10-00min_ST_No2_230620 2,Record 3: JJ1_01mg_PO1_050ug_200rpm_10-00min_ST_No2_230620 3,X Intensity,Record 1: JJ1_01mg_PO1_050ug_200rpm_10-00min_ST_No2_230620 1,Record 2: JJ1_01mg_PO1_050ug_200rpm_10-00min_ST_No2_230620 2,Record 3: JJ1_01mg_PO1_050ug_200rpm_10-00min_ST_No2_230620 3
0.5,0.818,0.818,0.8,0.4,0,0,0
1,0.794,0.793,0.782,0.463,0,0,0
1.5,0.776,0.77,0.758,0.536,0,0,0
2,0.754,0.748,0.734,0.621,0,0,0
2.5,0.736,0.733,0.717,0.719,0,0,0
3,0.721,0.713,0.702,0.833,0,0,0
3.5,0.704,0.697,0.688,0.965,0,0,0
4,0.69,0.683,0.669,1.12,0,0,0
4.5,0.678,0.668,0.657,1.29,0,0,0
5.5,0.654,0.645,0.635,1.5,0,0,0
6.5,0.631,0.622,0.61,1.74,0,0,0
7.5,0.609,0.598,0.589,2.01,0,0,0
8.5,0.587,0.577,0.566,2.33,0,0,0
9.5,0.569,0.558,0.546,2.7,0,0,0
10.5,0.552,0.539,0.527,3.12,0,0,0
11.5,0.53,0.524,0.511,3.62,0,0,0
12.5,0.514,0.507,0.496,4.19,0,0,0
14.5,0.486,0.474,0.462,4.85,0,0,0
16.5,0.459,0.443,0.434,5.61,0,0,0
18.5,0.433,0.416,0.406,6.5,0,0.115,0.414
20.5,0.409,0.393,0.385,7.53,1.06,1.92,1.91
22.5,0.386,0.371,0.362,8.72,3.81,5.15,4.44
24.5,0.367,0.349,0.342,10.1,7.51,8.74,7.4
26.5,0.347,0.33,0.322,11.7,10.8,11.5,10
28.5,0.331,0.312,0.305,13.5,12.6,12.5,11.5
32.5,0.3,0.281,0.275,15.7,12.1,11.6,11.5
36.5,0.273,0.253,0.248,18.2,9.69,9.16,10
40.5,0.249,0.23,0.226,21,6.14,5.9,7.46
44.5,0.229,0.209,0.205,24.4,2.73,2.84,4.55
48.5,0.211,0.194,0.187,28.2,0.57,0.772,2.04
52.5,0.196,0.177,0.172,32.7,0,0,0.485
56.5,0.181,0.164,0.159,37.8,0,0,0
60.5,0.17,0.151,0.148,43.8,0,0,0
68.5,0.151,0.132,0.129,50.7,0,0,0
76.5,0.135,0.117,0.113,58.8,0,0,0
84.5,0.122,0.104,0.101,68.1,0,0,0
92.5,0.111,0.0951,0.0905,78.8,0,0,0
101,0.104,0.0855,0.0837,91.3,0,0,0
109,0.0953,0.0802,0.0771,106,0,0,0
117,0.0897,0.0752,0.0723,122,0,0.0637,0
125,0.0853,0.0699,0.0686,142,0,0.484,0.133
141,0.0784,0.0626,0.0622,164,0.295,1.26,0.559
157,0.0732,0.0585,0.0562,190,1.06,2.22,1.24
173,0.0689,0.0543,0.0531,220,2.16,3.16,2.05
189,0.0662,0.052,0.0492,255,3.32,3.87,2.81
205,0.0627,0.0489,0.0456,295,4.26,4.21,3.39
221,0.0605,0.0461,0.0437,342,4.79,4.12,3.68
237,0.0584,0.0434,0.0408,396,4.8,3.65,3.65
253,0.0556,0.042,0.0391,459,4.31,2.9,3.32
285,0.0512,0.0391,0.0371,531,3.45,2.02,2.77
317,0.0484,0.0347,0.0349,615,2.4,1.17,2.09
349,0.044,0.0323,0.0316,712,1.39,0.512,1.4
381,0.0418,0.0283,0.0298,825,0.599,0.124,0.787
413,0.0398,0.0268,0.0285,955,0.139,0,0.339
445,0.0372,0.025,0.0271,1.11E+03,0,0,0.0842
477,0.0344,0.0224,0.026,1.28E+03,0,0,0
509,0.0313,0.0214,0.0249,1.48E+03,0,0,0
573,0.0276,0.0178,0.0217,1.72E+03,0,0,0
637,0.023,0.0175,0.0174,1.99E+03,0,0,0
701,0.0202,0.0139,0.0142,2.30E+03,0,0,0
765,0.016,0.0119,0.0114,2.67E+03,0,0,0
829,0.0161,0.00997,0.0105,3.09E+03,0,0,0
893,0.0151,0.00825,0.00939,3.58E+03,0,0,0
957,0.0138,0.00768,0.00958,4.15E+03,0,0,0
1.02E+03,0.0119,0.00613,0.00811,4.80E+03,0,0,0
1.15E+03,0.0101,0.00512,0.00747,5.56E+03,0,0,0
1.28E+03,0.00964,0.00359,0.00626,6.44E+03,0,0,0
1.40E+03,0.00807,0.00327,0.00461,7.46E+03,0,0,0
1.53E+03,0.00729,0.00194,0.00471,8.63E+03,0,0,0
1.66E+03,0.0064,0.00283,0.00479,,,,
1.79E+03,0.00563,0.00375,0.00561,,,,
1.92E+03,0.0024,0.002,0.00426,,,,
2.04E+03,0.00406,0.00267,0.00367,,,,
2.30E+03,0.00246,0.00179,0.00313,,,,
2.56E+03,0.00168,0.00193,0.00259,,,,
2.81E+03,0.00379,0.00249,0.00337,,,,
3.07E+03,0.00403,0.00324,0.00327,,,,
3.32E+03,0.00273,0.00157,0.0026,,,,
3.58E+03,0.00202,0.00095,0.00177,,,,
3.84E+03,0.00196,0.00178,0.00242,,,,
4.09E+03,0.0022,0.00159,0.00251,,,,
4.60E+03,0.00218,0.000871,0.00363,,,,
5.12E+03,0.00221,0.00112,0.0027,,,,
5.63E+03,0.00204,0.00119,0.00309,,,,
6.14E+03,0.00246,0.000925,0.00246,,,,
6.65E+03,0.00208,0.00127,0.00165,,,,
7.16E+03,0.0014,0.00144,0.00112,,,,
7.68E+03,0.00107,0.00172,0.00259,,,,
8.19E+03,0.000336,0.00122,0.00256,,,,
9.21E+03,0.00138,0.00121,0.0023,,,,
1.02E+04,0.00135,0.00131,0.00243,,,,
1.13E+04,0.00153,0.00147,0.00194,,,,
1.23E+04,0.00192,0.00155,0.00341,,,,
1.33E+04,0.00113,0.00161,0.00325,,,,
1.43E+04,0.00142,0.00104,0.00188,,,,
1.54E+04,0.000736,0.000716,0.000739,,,,
1.64E+04,0.00212,0.000606,0.00176,,,,
1.84E+04,0.00215,0.00084,0.00274,,,,
2.05E+04,0.00195,0.000322,0.00125,,,,
2.25E+04,0.00178,0.000762,0.00144,,,,
2.46E+04,0.00112,0.000243,0.0011,,,,
2.66E+04,0.000476,0.000902,0.0023,,,,
2.87E+04,0.00101,0.000765,0.00201,,,,
3.07E+04,0.00164,0.000849,0.00174,,,,
3.28E+04,0.00138,0.000603,0.00192,,,,
3.69E+04,0.000774,0.00122,0.00248,,,,
4.10E+04,0.000704,0.000697,0.00148,,,,
4.51E+04,0.000781,0.000974,0.00105,,,,
4.91E+04,0.00131,0.000937,0.00208,,,,
5.32E+04,0.00105,0.000993,0.00105,,,,
5.73E+04,0.000872,0.000407,0.00101,,,,
6.14E+04,0.000945,0.000865,0.0016,,,,
6.55E+04,0.000508,0.00107,0.00155,,,,
7.37E+04,0.00068,0.000788,0.0022,,,,
8.19E+04,0.00057,0.00094,0.00177,,,,
9.01E+04,0.0009,0.00106,0.00131,,,,
9.83E+04,0.00115,0.00119,0.00139,,,,
1.06E+05,0.000751,0.000496,0.00166,,,,
1.15E+05,0.000816,0.000464,0.00108,,,,
1.23E+05,0.0014,0.00118,0.00165,,,,
1.31E+05,0.00113,0.000762,0.00119,,,,
1.47E+05,0.000675,0.000534,0.00147,,,,
1.64E+05,0.000667,0.000171,0.000778,,,,
1.80E+05,0.000693,0.00067,0.00136,,,,
1.97E+05,0.000716,0.000436,0.00194,,,,
2.13E+05,0.000531,0.000534,0.00127,,,,
2.29E+05,0.000507,0.00038,0.000905,,,,
2.46E+05,0.000786,0.000495,0.00096,,,,
2.62E+05,0.000566,0.000763,0.00078,,,,
2.95E+05,0.000327,0.00062,0.000893,,,,
3.28E+05,0.000379,0.000758,0.00102,,,,
3.60E+05,0.000508,0.000546,0.000841,,,,
3.93E+05,0.000501,0.000947,0.000781,,,,
4.26E+05,0.000647,0.000961,0.000796,,,,
4.59E+05,0.00049,0.000986,0.000573,,,,
4.92E+05,0.000462,0.00075,0.000331,,,,
5.24E+05,0.000883,0.000448,0.00111,,,,
5.90E+05,0.00109,0.000459,0.00182,,,,
6.55E+05,0.000509,0.000358,0.00154,,,,
7.21E+05,0.000915,0.000375,0.00171,,,,
7.86E+05,0.000767,0.000515,0.00126,,,,
8.52E+05,0.000187,0.000449,0.00142,,,,
9.18E+05,0.000601,0.000343,0.00162,,,,
9.83E+05,0.000743,0.000604,0.00167,,,,
1.05E+06,0.000341,0.000244,0.00122,,,,
1.18E+06,0.000599,0.000311,0.00187,,,,
1.31E+06,0.000241,0.000306,0.000963,,,,
1.44E+06,6.98E-05,3.57E-05,0.00142,,,,
1.57E+06,0.000328,0,0.000978,,,,
1.70E+06,0.000334,0.000622,0.00169,,,,
