X Lag Time,Record 1: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No2_230620 1,Record 2: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No2_230620 2,Record 3: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No2_230620 3,X Intensity,Record 1: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No2_230620 1,Record 2: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No2_230620 2,Record 3: JJ1_01mg_PO1_050ug_200rpm_10-00min_PM_No2_230620 3
0.5,0.819,0.827,0.818,0.4,0,0,0
1,0.792,0.801,0.789,0.463,0,0,0
1.5,0.765,0.773,0.765,0.536,0,0,0
2,0.746,0.753,0.747,0.621,0,0,0
2.5,0.72,0.727,0.722,0.719,0,0,0
3,0.708,0.707,0.703,0.833,0,0,0
3.5,0.688,0.695,0.688,0.965,0,0,0
4,0.672,0.68,0.677,1.12,0,0,0
4.5,0.656,0.66,0.661,1.29,0,0,0
5.5,0.631,0.635,0.627,1.5,0,0,0
6.5,0.606,0.607,0.601,1.74,0,0,0
7.5,0.579,0.581,0.574,2.01,0,0,0
8.5,0.556,0.553,0.555,2.33,0,0,0
9.5,0.537,0.537,0.533,2.7,0,0,0
10.5,0.513,0.51,0.512,3.12,0,0,0
11.5,0.496,0.496,0.491,3.62,0,0,0
12.5,0.48,0.476,0.476,4.19,0,0,0
14.5,0.45,0.442,0.441,4.85,0,0,0
16.5,0.416,0.41,0.41,5.61,0,0,0
18.5,0.388,0.383,0.38,6.5,0,0.942,0.394
20.5,0.363,0.358,0.358,7.53,1.58,3.08,2.23
22.5,0.341,0.333,0.331,8.72,4.99,6.07,5.34
24.5,0.32,0.31,0.312,10.1,9.2,9.19,8.9
26.5,0.3,0.29,0.291,11.7,12.7,11.6,11.9
28.5,0.28,0.273,0.274,13.5,14.4,12.8,13.3
32.5,0.249,0.242,0.242,15.7,13.7,12.3,13
36.5,0.222,0.214,0.216,18.2,10.8,10.3,10.9
40.5,0.198,0.19,0.192,21,6.81,7.32,7.67
44.5,0.178,0.17,0.171,24.4,3.04,4.18,4.27
48.5,0.161,0.153,0.152,28.2,0.651,1.65,1.57
52.5,0.144,0.138,0.137,32.7,0,0.263,0.174
56.5,0.133,0.126,0.126,37.8,0,0,0
60.5,0.122,0.114,0.115,43.8,0,0,0
68.5,0.103,0.0975,0.0976,50.7,0,0,0
76.5,0.0895,0.0843,0.0845,58.8,0,0,0
84.5,0.0784,0.0714,0.0729,68.1,0,0,0
92.5,0.0682,0.0618,0.0651,78.8,0,0,0
101,0.0622,0.0559,0.0587,91.3,0,0,0
109,0.056,0.0505,0.0522,106,0,0,0
117,0.0516,0.048,0.0492,122,0,0,0
125,0.0483,0.0452,0.0462,142,0,0,0
141,0.0441,0.0398,0.0408,164,0,0,0
157,0.0411,0.0361,0.0362,190,0,0,0
