X Lag Time,Record 1: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_No2_230621 1,Record 2: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_No2_230621 2,Record 3: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_No2_230621 3,X Intensity,Record 1: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_No2_230621 1,Record 2: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_No2_230621 2,Record 3: JJ1_01mg_PO1_100ug_200rpm_10-00min_PM_No2_230621 3
0.5,0.777,0.761,0.751,0.4,0,0,0
1,0.745,0.738,0.725,0.463,0,0,0
1.5,0.726,0.72,0.706,0.536,0,0,0
2,0.702,0.693,0.682,0.621,0,0,0
2.5,0.684,0.672,0.662,0.719,0,0,0
3,0.663,0.657,0.647,0.833,0,0,0
3.5,0.649,0.64,0.628,0.965,0,0,0
4,0.633,0.622,0.616,1.12,0,0,0
4.5,0.618,0.608,0.605,1.29,0,0,0
5.5,0.591,0.583,0.573,1.5,0,0,0
6.5,0.563,0.558,0.547,1.74,0,0,0
7.5,0.542,0.531,0.527,2.01,0,0,0
8.5,0.515,0.508,0.505,2.33,0,0,0
9.5,0.5,0.492,0.483,2.7,0,0,0
10.5,0.481,0.47,0.464,3.12,0,0,0
11.5,0.462,0.451,0.447,3.62,0,0,0
12.5,0.446,0.429,0.429,4.19,0,0,0
14.5,0.41,0.4,0.396,4.85,0,0,0
16.5,0.378,0.371,0.369,5.61,0,0,0
18.5,0.354,0.346,0.345,6.5,0.657,0.71,0.766
20.5,0.33,0.321,0.319,7.53,2.66,2.63,2.78
22.5,0.305,0.3,0.296,8.72,5.73,5.51,5.73
24.5,0.286,0.274,0.273,10.1,9.1,8.68,8.91
26.5,0.266,0.259,0.257,11.7,11.9,11.3,11.5
28.5,0.248,0.242,0.24,13.5,13.3,12.8,12.9
32.5,0.218,0.21,0.211,15.7,13.1,12.8,12.7
36.5,0.192,0.186,0.186,18.2,11.3,11.4,11.1
40.5,0.168,0.161,0.163,21,8.42,8.82,8.44
44.5,0.149,0.144,0.144,24.4,5.22,5.79,5.42
48.5,0.133,0.129,0.129,28.2,2.45,3,2.7
52.5,0.119,0.116,0.115,32.7,0.663,1.01,0.816
56.5,0.107,0.105,0.106,37.8,0,0.0723,0
60.5,0.0962,0.0941,0.0958,43.8,0,0,0
68.5,0.0788,0.0774,0.0785,50.7,0,0,0
76.5,0.0666,0.0636,0.0664,58.8,0,0,0
84.5,0.0565,0.0554,0.057,68.1,0,0,0
92.5,0.0503,0.0473,0.0503,78.8,0,0,0
101,0.0448,0.0423,0.0437,91.3,0,0,0
109,0.04,0.0378,0.0402,106,0,0,0
117,0.0361,0.0341,0.0357,122,0,0,0
125,0.0334,0.0314,0.0326,142,0,0,0
141,0.0292,0.0278,0.0291,164,0,0,0
157,0.0259,0.0239,0.0271,190,0,0,0
173,0.0236,0.0221,0.0247,220,0,0.0171,0.0664
189,0.0232,0.0214,0.0229,255,0.0739,0.143,0.262
205,0.023,0.0197,0.0208,295,0.27,0.388,0.575
221,0.0216,0.0191,0.0193,342,0.57,0.716,0.953
237,0.0209,0.019,0.0185,396,0.927,1.07,1.33
253,0.0189,0.0167,0.0178,459,1.28,1.4,1.65
285,0.0177,0.0158,0.0175,531,1.57,1.65,1.86
317,0.0156,0.0143,0.0152,615,1.77,1.79,1.95
349,0.0153,0.0137,0.014,712,1.84,1.8,1.89
381,0.0146,0.0114,0.0156,825,1.78,1.69,1.71
413,0.0116,0.0106,0.0148,955,1.61,1.49,1.44
445,0.011,0.00982,0.014,1.11E+03,1.36,1.21,1.11
477,0.0117,0.00993,0.0127,1.28E+03,1.06,0.901,0.774
509,0.0107,0.00874,0.0106,1.48E+03,0.742,0.6,0.469
573,0.00835,0.00751,0.00969,1.72E+03,0.456,0.341,0.23
637,0.00824,0.00608,0.00841,1.99E+03,0.229,0.15,0.0761
701,0.00688,0.00539,0.00762,2.30E+03,0.0805,0.0395,0.00753
765,0.00646,0.00622,0.00887,2.67E+03,0.011,0,0
829,0.00518,0.00561,0.00681,3.09E+03,0,0,0
893,0.00389,0.00429,0.00633,3.58E+03,0,0,0
957,0.00319,0.0037,0.00567,4.15E+03,0,0,0
1.02E+03,0.00251,0.00341,0.00415,4.80E+03,0,0,0
1.15E+03,0.00322,0.0027,0.0038,5.56E+03,0,0,0
1.28E+03,0.00191,0.00202,0.00311,6.44E+03,0,0,0
1.40E+03,0.00192,0.00104,0.00311,7.46E+03,0,0,0
1.53E+03,0.00266,0.00161,0.0021,8.63E+03,0,0,0
1.66E+03,0.00243,0.000883,0.00277,,,,
1.79E+03,0.00214,0.00215,0.00206,,,,
1.92E+03,0.00139,0.00111,0.00244,,,,
2.04E+03,0.00206,0.00109,0.00226,,,,
2.30E+03,0.00163,0.00098,0.00238,,,,
2.56E+03,0.00253,0.000654,0.00174,,,,
2.81E+03,0.00256,0.000829,0.00289,,,,
3.07E+03,0.00218,0.00159,0.00342,,,,
3.32E+03,0.00198,0.00159,0.0033,,,,
3.58E+03,0.00245,0.00235,0.00214,,,,
3.84E+03,0.00161,0.00212,0.00228,,,,
4.09E+03,0.00161,0.00164,0.00274,,,,
4.60E+03,0.00206,0.00147,0.00293,,,,
5.12E+03,0.00145,0.00136,0.00281,,,,
5.63E+03,0.00248,0.00209,0.00186,,,,
6.14E+03,0.00261,0.00088,0.00165,,,,
6.65E+03,0.0019,0.00144,0.00203,,,,
7.16E+03,0.00205,0.00117,0.0018,,,,
7.68E+03,0.00312,0.00197,0.00132,,,,
8.19E+03,0.00188,0.00198,0.00188,,,,
9.21E+03,0.00252,0.00148,0.00224,,,,
1.02E+04,0.00185,0.00145,0.00216,,,,
1.13E+04,0.00137,0.0016,0.0015,,,,
1.23E+04,0.00176,0.0013,0.0023,,,,
1.33E+04,0.0017,0.00131,0.00173,,,,
1.43E+04,0.00106,0.00147,0.0017,,,,
1.54E+04,0.00206,0.00158,0.00164,,,,
1.64E+04,0.00202,0.0012,0.00158,,,,
1.84E+04,0.00185,0.00163,0.0018,,,,
