X Lag Time,Record 1: JJ1_01mg_PS2_100ug_200rpm_10-00min_PM_No2_230621 1,Record 2: JJ1_01mg_PS2_100ug_200rpm_10-00min_PM_No2_230621 2,Record 3: JJ1_01mg_PS2_100ug_200rpm_10-00min_PM_No2_230621 3,X Intensity,Record 1: JJ1_01mg_PS2_100ug_200rpm_10-00min_PM_No2_230621 1,Record 2: JJ1_01mg_PS2_100ug_200rpm_10-00min_PM_No2_230621 2,Record 3: JJ1_01mg_PS2_100ug_200rpm_10-00min_PM_No2_230621 3
0.5,0.808,0.805,0.809,0.4,0,0,0
1,0.771,0.775,0.775,0.463,0,0,0
1.5,0.748,0.748,0.744,0.536,0,0,0
2,0.723,0.725,0.729,0.621,0,0,0
2.5,0.7,0.703,0.705,0.719,0.178,0,0
3,0.678,0.674,0.685,0.833,0.671,0,0
3.5,0.664,0.661,0.668,0.965,1.19,0,0
4,0.646,0.642,0.648,1.12,1.38,0,0
4.5,0.626,0.629,0.633,1.29,1.08,0,0
5.5,0.596,0.599,0.603,1.5,0.493,0.384,0
6.5,0.567,0.564,0.578,1.74,0.034,1.08,0
7.5,0.541,0.539,0.551,2.01,0,1.56,0
8.5,0.515,0.516,0.527,2.33,0,1.47,0
9.5,0.492,0.492,0.506,2.7,0,0.912,0
10.5,0.476,0.471,0.484,3.12,0,0.289,0
11.5,0.452,0.447,0.465,3.62,0,0,0
12.5,0.432,0.427,0.444,4.19,0,0,0
14.5,0.396,0.392,0.412,4.85,0,0,0
16.5,0.363,0.362,0.375,5.61,0,0,0
18.5,0.335,0.331,0.35,6.5,0.672,0.568,0.0594
20.5,0.309,0.306,0.325,7.53,2.75,2.33,2.14
22.5,0.283,0.283,0.299,8.72,5.91,5.15,5.94
24.5,0.265,0.261,0.278,10.1,9.33,8.4,10.2
26.5,0.244,0.24,0.257,11.7,12.1,11.3,13.5
28.5,0.227,0.222,0.241,13.5,13.6,13.2,14.9
32.5,0.192,0.19,0.207,15.7,13.4,13.6,14.2
36.5,0.165,0.163,0.179,18.2,11.7,12.4,11.6
40.5,0.141,0.14,0.156,21,8.95,10.1,7.98
44.5,0.123,0.122,0.138,24.4,5.79,7.01,4.36
48.5,0.106,0.105,0.123,28.2,2.93,3.98,1.6
52.5,0.0939,0.0901,0.106,32.7,0.936,1.62,0.202
56.5,0.0818,0.0814,0.0975,37.8,0.0374,0.309,0
60.5,0.0733,0.0716,0.0867,43.8,0,0,0
68.5,0.0585,0.0566,0.0708,50.7,0,0,0
76.5,0.0471,0.0456,0.0578,58.8,0,0,0
84.5,0.0395,0.0355,0.049,68.1,0,0,0
92.5,0.0322,0.0294,0.0422,78.8,0,0,0
101,0.0271,0.023,0.0376,91.3,0,0,0
109,0.023,0.0187,0.0337,106,0,0,0
117,0.0196,0.0178,0.0302,122,0,0,0
125,0.0178,0.0165,0.0273,142,0,0,0
141,0.0141,0.0139,0.0233,164,0,0,0
157,0.0125,0.011,0.0205,190,0,0,0
173,0.0119,0.0105,0.0177,220,0,0,0
189,0.0122,0.00923,0.0153,255,0,0,0
205,0.0108,0.00807,0.016,295,0,0,0.065
221,0.00975,0.00774,0.0145,342,0,0,0.233
237,0.00802,0.00726,0.0139,396,0,0,0.488
253,0.00746,0.00788,0.0144,459,0,0,0.786
285,0.00739,0.00771,0.0129,531,0,0,1.08
317,0.00826,0.00692,0.0112,615,0,0,1.32
349,0.00555,0.0061,0.0105,712,0,0,1.48
381,0.00577,0.00569,0.0099,825,0,0,1.53
413,0.00584,0.00532,0.011,955,0.0066,0,1.49
445,0.00469,0.00551,0.0102,1.11E+03,0.0424,0,1.36
477,0.00348,0.00528,0.01,1.28E+03,0.114,0,1.16
509,0.00331,0.00478,0.00927,1.48E+03,0.22,0,0.915
573,0.00427,0.00398,0.00678,1.72E+03,0.349,0,0.664
637,0.00415,0.00243,0.00689,1.99E+03,0.489,0.00739,0.432
701,0.0028,0.00154,0.006,2.30E+03,0.626,0.0776,0.24
765,0.00337,0.00156,0.00638,2.67E+03,0.747,0.224,0.104
829,0.00344,0.000867,0.0051,3.09E+03,0.84,0.43,0.0273
893,0.00222,0.00204,0.00389,3.58E+03,0.894,0.662,0
957,0.00323,0.00119,0.00545,4.15E+03,0.902,0.876,0
1.02E+03,0.00233,0.00185,0.00486,4.80E+03,0.862,1.03,0
1.15E+03,0.00282,0.00167,0.00463,5.56E+03,0.771,1.08,0
1.28E+03,0.00159,0.000495,0.00354,6.44E+03,0,0,0
1.40E+03,0.00165,0.000887,0.00411,7.46E+03,0,0,0
1.53E+03,0.00121,0.00116,0.00379,8.63E+03,0,0,0
1.66E+03,0.00119,0.00089,0.00252,,,,
1.79E+03,0.00123,0.000477,0.00206,,,,
