X Lag Time,Record 1: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No2 1,Record 2: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No2 2,Record 3: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No2 3,X Intensity,Record 1: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No2 1,Record 2: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No2 2,Record 3: JJmAb1_01mg_PS2_500ug_200rpm_10-00min_ST_No2 3
0.5,0.828,0.827,0.833,0.4,0,0,0
1,0.814,0.816,0.819,0.463,0,0,0
1.5,0.803,0.798,0.803,0.536,0,0,0
2,0.787,0.785,0.79,0.621,0,0,0
2.5,0.774,0.774,0.773,0.719,0,0,0
3,0.762,0.763,0.761,0.833,0,0,0
3.5,0.753,0.75,0.752,0.965,0,0,0
4,0.74,0.743,0.737,1.12,0,0,0
4.5,0.73,0.731,0.727,1.29,0,0,0
5.5,0.71,0.713,0.707,1.5,0,0,0
6.5,0.693,0.692,0.687,1.74,0,0,0
7.5,0.673,0.678,0.67,2.01,0,0,0
8.5,0.658,0.661,0.652,2.33,0,0,0
9.5,0.644,0.646,0.637,2.7,0,0,0
10.5,0.63,0.633,0.619,3.12,0,0,0
11.5,0.615,0.62,0.607,3.62,0,0,0
12.5,0.601,0.606,0.594,4.19,0,0,0
14.5,0.577,0.582,0.567,4.85,0,0,0
16.5,0.553,0.558,0.542,5.61,0,0,0
18.5,0.533,0.538,0.52,6.5,0,0,0
20.5,0.511,0.515,0.498,7.53,0,0.526,1.15
22.5,0.492,0.5,0.477,8.72,2.12,2.58,3.53
24.5,0.475,0.482,0.46,10.1,5.96,5.53,6.35
26.5,0.46,0.465,0.442,11.7,9.5,8.19,8.64
28.5,0.444,0.45,0.426,13.5,11,9.54,9.61
32.5,0.416,0.422,0.398,15.7,9.69,9.15,8.98
36.5,0.391,0.398,0.371,18.2,6.44,7.25,7.01
40.5,0.37,0.375,0.348,21,2.83,4.61,4.38
44.5,0.35,0.357,0.329,24.4,0.482,2.13,1.95
48.5,0.332,0.339,0.311,28.2,0,0.528,0.431
52.5,0.317,0.324,0.293,32.7,0,0,0
56.5,0.302,0.31,0.28,37.8,0,0,0
60.5,0.29,0.298,0.267,43.8,0,0,0
68.5,0.268,0.276,0.245,50.7,0,0,0
76.5,0.25,0.258,0.227,58.8,0,0,0
84.5,0.236,0.244,0.213,68.1,0,0.047,0
92.5,0.224,0.23,0.2,78.8,0,0.262,0
101,0.213,0.22,0.189,91.3,0,0.614,0.228
109,0.204,0.211,0.179,106,0.481,1.03,0.979
117,0.197,0.203,0.17,122,1.46,1.44,2.18
125,0.19,0.197,0.164,142,2.69,1.83,3.55
141,0.179,0.185,0.152,164,3.88,2.2,4.8
157,0.17,0.177,0.144,190,4.79,2.57,5.66
173,0.163,0.169,0.135,220,5.27,2.95,5.97
189,0.156,0.162,0.128,255,5.3,3.33,5.72
205,0.148,0.156,0.122,295,4.93,3.69,4.98
221,0.143,0.15,0.116,342,4.26,3.96,3.92
237,0.138,0.145,0.111,396,3.42,4.1,2.73
253,0.133,0.141,0.107,459,2.53,4.06,1.62
285,0.124,0.132,0.0982,531,1.7,3.82,0.748
317,0.117,0.125,0.0891,615,1,3.38,0.21
349,0.108,0.118,0.0834,712,0.482,2.78,0
381,0.101,0.112,0.0765,825,0.151,2.09,0
413,0.0945,0.108,0.0715,955,0,1.4,0
4.45E+02,0.0898,0.102,0.0671,1.11E+03,0,0.792,0
4.77E+02,0.0851,0.0976,0.063,1.28E+03,0.114,0.342,0
5.09E+02,0.0815,0.0924,0.0588,1.48E+03,0.305,0.0848,0
5.73E+02,0.073,0.0845,0.0511,1.72E+03,0.535,0,0
6.37E+02,0.0651,0.0784,0.0444,1.99E+03,0.77,0,0
7.01E+02,0.0605,0.0734,0.0395,2.30E+03,0.979,0,0.0453
7.65E+02,0.0543,0.0681,0.0351,2.67E+03,1.14,0,0.179
8.29E+02,0.0493,0.0622,0.0313,3.09E+03,1.24,0.0892,0.399
8.93E+02,0.0449,0.0572,0.0288,3.58E+03,1.27,0.305,0.672
9.57E+02,0.0423,0.053,0.0267,4.15E+03,1.23,0.62,0.945
1.02E+03,0.0403,0.0501,0.0227,4.80E+03,1.12,0.963,1.16
1.15E+03,0.0358,0.0455,0.0199,5.56E+03,0.956,1.24,1.26
1.28E+03,0.0299,0.0396,0.0169,6.44E+03,0,0,0
1.40E+03,0.0263,0.0356,0.0149,7.46E+03,0,0,0
