X Lag Time,Record 1: JJ1_01mg_PS2_250ug_200rpm_10-00min_ST_No3_230607 1,Record 2: JJ1_01mg_PS2_250ug_200rpm_10-00min_ST_No3_230607 2,Record 3: JJ1_01mg_PS2_250ug_200rpm_10-00min_ST_No3_230607 3,X Intensity,Record 1: JJ1_01mg_PS2_250ug_200rpm_10-00min_ST_No3_230607 1,Record 2: JJ1_01mg_PS2_250ug_200rpm_10-00min_ST_No3_230607 2,Record 3: JJ1_01mg_PS2_250ug_200rpm_10-00min_ST_No3_230607 3
0.5,0.802,0.807,0.811,0.4,0,0,0
1,0.773,0.772,0.78,0.463,0,0,0
1.5,0.75,0.748,0.751,0.536,0,0,0
2,0.726,0.723,0.723,0.621,0,0,0
2.5,0.692,0.701,0.705,0.719,0,0.0765,0
3,0.678,0.685,0.689,0.833,0,0.686,0
3.5,0.661,0.665,0.665,0.965,0,1.34,0
4,0.638,0.643,0.647,1.12,0,1.5,0.686
4.5,0.622,0.626,0.63,1.29,0,1.05,1.49
5.5,0.589,0.593,0.601,1.5,0,0.371,1.63
6.5,0.563,0.565,0.567,1.74,0,0,1.01
7.5,0.536,0.539,0.54,2.01,0,0,0.224
8.5,0.51,0.511,0.515,2.33,0,0,0
9.5,0.484,0.487,0.494,2.7,0,0,0
10.5,0.462,0.464,0.474,3.12,0,0,0
11.5,0.443,0.448,0.448,3.62,0,0,0
12.5,0.426,0.428,0.431,4.19,0,0,0
14.5,0.39,0.391,0.398,4.85,0,0,0
16.5,0.354,0.357,0.364,5.61,0,0,0
18.5,0.326,0.326,0.334,6.5,0.842,1.02,0
20.5,0.299,0.299,0.309,7.53,3.17,3.21,1.72
22.5,0.274,0.277,0.283,8.72,6.56,6.14,5.16
24.5,0.251,0.252,0.261,10.1,10.1,9.16,9.34
26.5,0.232,0.232,0.241,11.7,13,11.6,13
28.5,0.213,0.215,0.222,13.5,14.4,12.9,15
32.5,0.18,0.183,0.189,15.7,14.3,13,15
36.5,0.154,0.156,0.162,18.2,12.5,11.8,13
40.5,0.131,0.134,0.14,21,9.75,9.64,9.61
44.5,0.113,0.115,0.12,24.4,6.53,6.96,5.83
48.5,0.0977,0.0987,0.104,28.2,3.56,4.28,2.61
52.5,0.0827,0.0861,0.0917,32.7,1.37,2.05,0.626
56.5,0.0737,0.0729,0.0786,37.8,0.236,0.602,0
60.5,0.0655,0.0648,0.0697,43.8,0,0,0
68.5,0.0504,0.0484,0.0545,50.7,0,0,0
76.5,0.0389,0.0379,0.0456,58.8,0,0,0
84.5,0.0305,0.0305,0.037,68.1,0,0,0
92.5,0.0252,0.0247,0.0312,78.8,0,0,0
101,0.02,0.0208,0.0266,91.3,0,0,0
109,0.0179,0.0165,0.0224,106,0,0,0
117,0.0156,0.0146,0.0204,122,0,0,0
125,0.0141,0.0142,0.0187,142,0,0,0
141,0.0108,0.00971,0.0161,164,0,0,0
157,0.00903,0.0078,0.014,190,0,0,0
173,0.00793,0.00669,0.0113,220,0,0,0
189,0.00689,0.00601,0.00991,255,0,0,0
205,0.00705,0.00557,0.00911,295,0,0,0
221,0.00546,0.00421,0.00833,342,0,0,0
237,0.00467,0.00371,0.00747,396,0,0,0
253,0.00342,0.00333,0.00777,459,0,0,0
285,0.00273,0.00375,0.00567,531,0,0,0
317,0.00276,0.004,0.00604,615,0,0,0
349,0.00304,0.00364,0.00628,712,0,0,0
381,0.00175,0.00397,0.00647,825,0,0,0
413,0.00307,0.00509,0.00688,955,0,0,0
445,0.00346,0.00393,0.00566,1.11E+03,0,0,0
477,0.00176,0.00347,0.00595,1.28E+03,0,0,0
509,0.00213,0.0023,0.006,1.48E+03,0,0,0
573,0.000767,0.00212,0.00655,1.72E+03,0,0,0
637,0.000876,0.00181,0.00531,1.99E+03,0.0326,0.0118,0
701,0.00158,0.0014,0.00463,2.30E+03,0.115,0.0602,0.0362
765,0.00127,0.0025,0.00396,2.67E+03,0.244,0.149,0.153
829,0.00203,0.0032,0.00415,3.09E+03,0.402,0.268,0.35
893,0.000773,0.00146,0.00404,3.58E+03,0.564,0.398,0.596
