X Lag Time,Record 1: JJ1_01mg_PS8_250ug_200rpm_10-00min_PM_No2_230608 1,Record 2: JJ1_01mg_PS8_250ug_200rpm_10-00min_PM_No2_230608 2,Record 3: JJ1_01mg_PS8_250ug_200rpm_10-00min_PM_No2_230608 3,X Intensity,Record 1: JJ1_01mg_PS8_250ug_200rpm_10-00min_PM_No2_230608 1,Record 2: JJ1_01mg_PS8_250ug_200rpm_10-00min_PM_No2_230608 2,Record 3: JJ1_01mg_PS8_250ug_200rpm_10-00min_PM_No2_230608 3
0.5,0.78,0.79,0.788,0.4,0,0,0
1,0.756,0.769,0.773,0.463,0,0,0
1.5,0.73,0.741,0.747,0.536,0,0,0
2,0.711,0.722,0.723,0.621,0,0,0
2.5,0.697,0.704,0.705,0.719,0,0,0.416
3,0.671,0.688,0.688,0.833,0,0,1.37
3.5,0.654,0.664,0.669,0.965,0,0,1.87
4,0.642,0.657,0.652,1.12,0,0,1.34
4.5,0.627,0.645,0.637,1.29,0,0,0.336
5.5,0.599,0.613,0.612,1.5,0,0,0
6.5,0.57,0.589,0.586,1.74,0,0,0
7.5,0.544,0.562,0.558,2.01,0,0,0
8.5,0.523,0.544,0.54,2.33,0,0,0
9.5,0.506,0.518,0.515,2.7,0,0,0
10.5,0.484,0.503,0.498,3.12,0,0,0
11.5,0.463,0.483,0.48,3.62,0,0,0
12.5,0.443,0.466,0.463,4.19,0,0,0
14.5,0.411,0.434,0.434,4.85,0,0,0
16.5,0.382,0.406,0.401,5.61,0,0,0
18.5,0.351,0.375,0.376,6.5,0.426,0,0
20.5,0.329,0.352,0.346,7.53,2.34,1.48,0.261
22.5,0.304,0.329,0.325,8.72,5.52,4.68,3.16
24.5,0.285,0.305,0.304,10.1,9.11,8.65,7.87
26.5,0.264,0.287,0.285,11.7,12.1,12.1,12.4
28.5,0.246,0.271,0.268,13.5,13.7,13.9,14.9
32.5,0.214,0.239,0.234,15.7,13.5,13.7,14.6
36.5,0.187,0.212,0.209,18.2,11.7,11.5,11.6
40.5,0.164,0.189,0.185,21,8.79,8.04,7.33
44.5,0.144,0.169,0.166,24.4,5.49,4.38,3.23
48.5,0.128,0.152,0.148,28.2,2.61,1.53,0.669
52.5,0.113,0.137,0.135,32.7,0.722,0.112,0
56.5,0.102,0.127,0.121,37.8,0,0,0
60.5,0.0909,0.115,0.111,43.8,0,0,0
68.5,0.0741,0.0982,0.0927,50.7,0,0,0
76.5,0.061,0.0851,0.0801,58.8,0,0,0
84.5,0.0514,0.075,0.0702,68.1,0,0,0
92.5,0.0442,0.0665,0.0618,78.8,0,0,0
101,0.0396,0.0585,0.0547,91.3,0,0,0
109,0.0356,0.0541,0.0507,106,0,0,0
117,0.0327,0.0492,0.0477,122,0,0,0
125,0.0299,0.0445,0.044,142,0,0,0
141,0.0253,0.0397,0.0392,164,0,0,0
157,0.0237,0.0347,0.0349,190,0,0,0
173,0.0208,0.0325,0.0323,220,0,0.0421,0
