X Lag Time,Record 1: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No1_230613 1,Record 2: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No1_230613 2,Record 3: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No1_230613 3,X Intensity,Record 1: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No1_230613 1,Record 2: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No1_230613 2,Record 3: JJ1_01mg_PO1_100ug_200rpm_10-00min_ST_No1_230613 3
0.5,0.799,0.778,0.783,0.4,0,0,0
1,0.779,0.757,0.763,0.463,0,0,0
1.5,0.758,0.737,0.743,0.536,0,0,0
2,0.742,0.719,0.725,0.621,0,0,0
2.5,0.726,0.705,0.711,0.719,0,0,0
3,0.713,0.688,0.695,0.833,0,0,0
3.5,0.7,0.672,0.679,0.965,0,0,0
4,0.687,0.663,0.664,1.12,0,0,0
4.5,0.672,0.649,0.654,1.29,0,0,0
5.5,0.648,0.626,0.626,1.5,0,0,0
6.5,0.625,0.603,0.602,1.74,0,0,0
7.5,0.605,0.584,0.582,2.01,0,0,0
8.5,0.584,0.564,0.561,2.33,0,0,0
9.5,0.567,0.547,0.546,2.7,0,0,0
10.5,0.55,0.527,0.524,3.12,0,0,0
11.5,0.532,0.509,0.509,3.62,0,0,0
12.5,0.517,0.493,0.493,4.19,0,0,0
14.5,0.488,0.464,0.464,4.85,0,0,0
16.5,0.462,0.438,0.434,5.61,0,0,0
18.5,0.435,0.412,0.409,6.5,0,0.333,0
20.5,0.412,0.387,0.385,7.53,0.607,1.65,0.901
22.5,0.389,0.366,0.365,8.72,2.6,3.92,3.34
24.5,0.37,0.347,0.339,10.1,5.6,6.64,6.67
26.5,0.352,0.328,0.322,11.7,8.7,9.11,9.81
28.5,0.334,0.312,0.306,13.5,11,10.7,11.8
32.5,0.301,0.28,0.274,15.7,11.8,11,12.2
36.5,0.275,0.254,0.248,18.2,10.9,10,10.9
40.5,0.252,0.229,0.225,21,8.78,8.03,8.47
44.5,0.23,0.211,0.203,24.4,5.92,5.5,5.52
48.5,0.212,0.193,0.186,28.2,3.13,3.05,2.82
52.5,0.195,0.177,0.17,32.7,1.06,1.2,0.923
56.5,0.181,0.163,0.157,37.8,0.0764,0.218,0.0596
60.5,0.169,0.151,0.144,43.8,0,0,0
68.5,0.147,0.131,0.123,50.7,0,0,0
76.5,0.13,0.115,0.108,58.8,0,0,0
84.5,0.116,0.103,0.0959,68.1,0,0,0
92.5,0.105,0.0923,0.0846,78.8,0,0,0
101,0.0956,0.0831,0.0772,91.3,0,0.0548,0.0752
109,0.0884,0.0764,0.0703,106,0.0306,0.363,0.398
117,0.0815,0.07,0.0646,122,0.382,0.939,0.969
125,0.0757,0.0658,0.0602,142,1.08,1.69,1.69
141,0.0674,0.058,0.0523,164,1.99,2.47,2.42
157,0.0604,0.0517,0.0457,190,2.93,3.13,3.02
173,0.0543,0.0485,0.0417,220,3.69,3.56,3.39
189,0.0513,0.0448,0.0372,255,4.12,3.7,3.47
205,0.0481,0.0418,0.0341,295,4.16,3.53,3.26
221,0.0454,0.0394,0.0319,342,3.8,3.1,2.8
237,0.0437,0.0356,0.0295,396,3.13,2.47,2.18
253,0.0417,0.0329,0.0279,459,2.28,1.77,1.5
285,0.0381,0.0286,0.0246,531,1.41,1.09,0.876
317,0.0336,0.0262,0.0223,615,0.677,0.533,0.391
349,0.0307,0.0244,0.0207,712,0.197,0.17,0.102
381,0.0279,0.0232,0.0176,825,0,0.0103,0
413,0.025,0.0193,0.0163,955,0,0,0
445,0.0236,0.0184,0.0151,1.11E+03,0,0,0
477,0.0205,0.016,0.0145,1.28E+03,0,0,0
509,0.0189,0.0135,0.0128,1.48E+03,0,0,0
573,0.0159,0.011,0.00979,1.72E+03,0,0,0
637,0.013,0.0105,0.00721,1.99E+03,0,0,0
701,0.0107,0.00869,0.00605,2.30E+03,0,0,0
765,0.00809,0.00734,0.00445,2.67E+03,0,0,0
829,0.00717,0.00532,0.00486,3.09E+03,0,0,0
893,0.00619,0.00548,0.00249,3.58E+03,0,0,0
957,0.00412,0.00447,0.00353,4.15E+03,0,0,0
1.02E+03,0.00452,0.00467,0.00358,4.80E+03,0,0,0
1.15E+03,0.00345,0.00589,0.003,5.56E+03,0,0,0
1.28E+03,0.0016,0.00369,0.00247,6.44E+03,0,0,0
1.40E+03,0.00242,0.00295,0.00237,7.46E+03,0,0,0
1.53E+03,0.00183,0.003,0.00267,8.63E+03,0,0,0
1.66E+03,0.00181,0.00219,0.00184,,,,
1.79E+03,0.00218,0.00177,0.00282,,,,
1.92E+03,0.00259,0.00226,0.00138,,,,
2.04E+03,0.00186,0.00201,0.0016,,,,
2.30E+03,0.00225,0.00222,0.000864,,,,
2.56E+03,0.00266,0.00235,0.00163,,,,
2.81E+03,0.00243,0.00243,0.00162,,,,
3.07E+03,0.00197,0.00275,0.000795,,,,
3.32E+03,0.00199,0.00228,0.000546,,,,
3.58E+03,0.00082,0.0019,0.000977,,,,
3.84E+03,0.000816,0.00202,0.00179,,,,
4.09E+03,0.00131,0.00206,0.00108,,,,
4.60E+03,0.00209,0.00192,0.00263,,,,
5.12E+03,0.00262,0.00211,0.00175,,,,
5.63E+03,0.0025,0.00205,0.00159,,,,
6.14E+03,0.00134,0.00221,0.000669,,,,
6.65E+03,0.0017,0.00146,0.00121,,,,
7.16E+03,0.00238,0.00171,0.000668,,,,
7.68E+03,0.00147,0.00138,0.0015,,,,
8.19E+03,0.00127,0.00223,0.00111,,,,
9.21E+03,0.00163,0.00134,0.00233,,,,
1.02E+04,0.00202,0.00209,0.00142,,,,
1.13E+04,0.00205,0.00154,0.00141,,,,
1.23E+04,0.00102,0.00142,0.00117,,,,
1.33E+04,0.00143,0.00175,0.00129,,,,
1.43E+04,0.00191,0.00125,0.00227,,,,
1.54E+04,0.00164,0.00104,0.00159,,,,
1.64E+04,0.00174,0.00196,0.00131,,,,
