X Lag Time,Record 1: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No2_230620 1,Record 2: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No2_230620 2,Record 3: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No2_230620 3,X Intensity,Record 1: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No2_230620 1,Record 2: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No2_230620 2,Record 3: JJ1_01mg_PO1_010ug_200rpm_10-00min_PM_No2_230620 3
0.5,0.851,0.834,0.852,0.4,0,0,0
1,0.84,0.826,0.84,0.463,0,0,0
1.5,0.826,0.81,0.827,0.536,0,0,0
2,0.809,0.796,0.813,0.621,0,0,0
2.5,0.8,0.784,0.804,0.719,0,0,0
3,0.791,0.774,0.789,0.833,0,0,0
3.5,0.775,0.765,0.78,0.965,0,0,0
4,0.771,0.752,0.769,1.12,0,0,0
4.5,0.759,0.741,0.761,1.29,0,0,0
5.5,0.74,0.725,0.743,1.5,0,0,0
6.5,0.725,0.709,0.726,1.74,0,0,0
7.5,0.71,0.691,0.712,2.01,0,0,0
8.5,0.695,0.675,0.697,2.33,0,0,0
9.5,0.68,0.661,0.683,2.7,0,0,0
10.5,0.668,0.65,0.67,3.12,0,0,0
11.5,0.654,0.637,0.657,3.62,0,0,0
12.5,0.643,0.624,0.645,4.19,0,0,0
14.5,0.619,0.601,0.622,4.85,0,0,0
16.5,0.597,0.579,0.6,5.61,0,0,0
18.5,0.577,0.56,0.581,6.5,0,0,0
20.5,0.558,0.541,0.562,7.53,0.466,0.0353,0.00936
22.5,0.54,0.521,0.543,8.72,2.39,1.88,1.89
24.5,0.524,0.504,0.528,10.1,5.16,5,5.1
26.5,0.507,0.488,0.512,11.7,7.55,7.89,8.03
28.5,0.494,0.475,0.498,13.5,8.55,9.22,9.27
32.5,0.467,0.448,0.471,15.7,7.79,8.42,8.23
36.5,0.443,0.424,0.447,18.2,5.64,5.92,5.48
40.5,0.421,0.402,0.426,21,3,2.9,2.35
44.5,0.401,0.384,0.406,24.4,0.907,0.691,0.334
48.5,0.383,0.366,0.389,28.2,0,0,0
52.5,0.368,0.351,0.373,32.7,0,0,0
56.5,0.353,0.337,0.36,37.8,0,0,0
60.5,0.342,0.324,0.347,43.8,0,0,0
68.5,0.32,0.301,0.325,50.7,0,0,0
76.5,0.3,0.284,0.306,58.8,0,0,0
84.5,0.285,0.267,0.289,68.1,0,0,0
92.5,0.272,0.255,0.276,78.8,0,0,0
101,0.26,0.242,0.264,91.3,0,0,0
109,0.249,0.232,0.253,106,0.238,0,0
117,0.24,0.224,0.245,122,1.17,0.722,0.856
125,0.232,0.216,0.237,142,2.73,2.28,2.63
141,0.219,0.201,0.223,164,4.57,4.32,4.89
157,0.207,0.19,0.21,190,6.29,6.33,7.03
173,0.196,0.18,0.2,220,7.51,7.83,8.53
189,0.187,0.171,0.192,255,8,8.51,9.06
205,0.178,0.163,0.183,295,7.71,8.27,8.56
221,0.171,0.156,0.175,342,6.73,7.22,7.19
237,0.164,0.149,0.167,396,5.27,5.61,5.28
253,0.158,0.144,0.16,459,3.63,3.79,3.27
285,0.145,0.132,0.147,531,2.1,2.12,1.56
317,0.134,0.121,0.136,615,0.926,0.868,0.444
349,0.124,0.111,0.125,712,0.235,0.184,0
381,0.114,0.101,0.115,825,0,0,0
413,0.107,0.0944,0.106,955,0,0,0
445,0.101,0.0865,0.0979,1.11E+03,0,0,0
477,0.0931,0.0802,0.0908,1.28E+03,0,0,0
509,0.0862,0.075,0.0847,1.48E+03,0,0,0
573,0.075,0.0624,0.0733,1.72E+03,0,0,0
637,0.0645,0.0529,0.0636,1.99E+03,0,0,0
701,0.055,0.0455,0.0554,2.30E+03,0,0,0
765,0.0489,0.0392,0.0462,2.67E+03,0,0,0
829,0.0445,0.0343,0.0397,3.09E+03,0,0,0
893,0.0394,0.0303,0.0364,3.58E+03,0.0789,0,0
957,0.0351,0.0266,0.0321,4.15E+03,0.246,0,0
1.02E+03,0.0311,0.0228,0.0288,4.80E+03,0.459,0,0
1.15E+03,0.0239,0.0188,0.0231,5.56E+03,0.651,0,0
1.28E+03,0.0194,0.0156,0.0193,6.44E+03,0,0,0
1.40E+03,0.0163,0.0126,0.0156,7.46E+03,0,0,0
1.53E+03,0.0122,0.00875,0.0148,8.63E+03,0,0,0
1.66E+03,0.0114,0.00697,0.0131,,,,
1.79E+03,0.00954,0.00486,0.012,,,,
