X Lag Time,Record 1: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No1_230608 1,Record 2: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No1_230608 2,Record 3: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No1_230608 3,X Intensity,Record 1: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No1_230608 1,Record 2: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No1_230608 2,Record 3: JJ1_01mg_PO1_250ug_200rpm_10-00min_ST_No1_230608 3
0.5,0.773,0.791,0.803,0.4,0,0,0
1,0.744,0.761,0.768,0.463,0,0,0
1.5,0.722,0.733,0.751,0.536,0,0,0
2,0.696,0.703,0.716,0.621,0,0,0
2.5,0.673,0.692,0.697,0.719,0,0,0
3,0.659,0.673,0.68,0.833,0,0,0
3.5,0.638,0.654,0.654,0.965,0,0,0
4,0.628,0.636,0.648,1.12,0,0,0
4.5,0.61,0.616,0.628,1.29,0,0,0
5.5,0.579,0.588,0.589,1.5,0,0,0
6.5,0.552,0.557,0.56,1.74,0,0,0
7.5,0.528,0.53,0.539,2.01,0,0,0
8.5,0.504,0.507,0.512,2.33,0.337,0,0
9.5,0.483,0.485,0.486,2.7,0.815,0,0
10.5,0.465,0.468,0.464,3.12,1.03,0,0
11.5,0.44,0.45,0.445,3.62,0.833,0,0.00884
12.5,0.425,0.426,0.422,4.19,0.419,0,0.388
14.5,0.392,0.391,0.386,4.85,0.181,0,1.13
16.5,0.359,0.358,0.354,5.61,0.515,0,2.17
18.5,0.332,0.327,0.324,6.5,1.64,1.2,3.48
20.5,0.306,0.303,0.297,7.53,3.53,3.73,5.04
22.5,0.285,0.28,0.275,8.72,5.91,6.97,6.75
24.5,0.266,0.258,0.254,10.1,8.34,10.1,8.44
26.5,0.247,0.236,0.234,11.7,10.3,12.4,9.88
28.5,0.229,0.219,0.214,13.5,11.5,13.4,10.8
32.5,0.199,0.188,0.181,15.7,11.6,12.9,11.1
36.5,0.173,0.162,0.156,18.2,10.6,11.3,10.5
40.5,0.153,0.14,0.133,21,8.74,8.82,9.24
44.5,0.134,0.123,0.114,24.4,6.37,6.05,7.39
48.5,0.118,0.106,0.0982,28.2,3.95,3.48,5.25
52.5,0.105,0.0924,0.0831,32.7,1.91,1.53,3.17
56.5,0.0938,0.0816,0.0749,37.8,0.566,0.389,1.48
60.5,0.0839,0.0733,0.067,43.8,0,0,0.416
68.5,0.0684,0.057,0.0524,50.7,0,0,0
76.5,0.0555,0.0454,0.0403,58.8,0,0,0
84.5,0.0477,0.0372,0.0315,68.1,0,0,0
92.5,0.0406,0.0322,0.0275,78.8,0,0,0
101,0.0351,0.0245,0.0238,91.3,0,0,0
109,0.0318,0.023,0.0188,106,0,0,0
117,0.0282,0.0198,0.0164,122,0,0,0
125,0.0262,0.0166,0.0148,142,0,0,0
141,0.023,0.0136,0.0109,164,0,0,0
157,0.02,0.0107,0.0086,190,0,0,0
173,0.0175,0.0101,0.00661,220,0,0,0
189,0.0167,0.00986,0.00594,255,0.0422,0,0
205,0.0142,0.00917,0.00639,295,0.146,0,0
221,0.014,0.00809,0.00661,342,0.297,0,0
237,0.0143,0.00692,0.00664,396,0.465,0,0
253,0.0129,0.00641,0.00625,459,0.619,0,0
285,0.0114,0.00625,0.00709,531,0.734,0.00469,0
317,0.0108,0.00473,0.00655,615,0.797,0.0328,0
349,0.0113,0.00381,0.00634,712,0.804,0.0897,0
381,0.011,0.00411,0.00495,825,0.761,0.172,0
413,0.012,0.00289,0.00472,955,0.682,0.273,0
445,0.0101,0.0035,0.00488,1.11E+03,0.585,0.382,0
477,0.0107,0.00262,0.00481,1.28E+03,0.486,0.489,0
509,0.00936,0.00233,0.00436,1.48E+03,0.404,0.585,0
573,0.00744,0.00165,0.00431,1.72E+03,0.348,0.662,0
637,0.00846,0.00321,0.00391,1.99E+03,0.326,0.716,0.0124
701,0.00707,0.00386,0.003,2.30E+03,0.339,0.744,0.0716
765,0.00703,0.00184,0.00304,2.67E+03,0.381,0.744,0.184
829,0.00695,0.00114,0.00274,3.09E+03,0.442,0.719,0.337
893,0.00532,0.00135,0.00309,3.58E+03,0.508,0.669,0.506
957,0.00633,0.000409,0.00371,4.15E+03,0.563,0.6,0.658
1.02E+03,0.00554,0.00067,0.00376,4.80E+03,0.591,0.516,0.764
1.15E+03,0.00561,0.000672,0.00302,5.56E+03,0.579,0.42,0.798
1.28E+03,0.00432,0.00118,0.00267,6.44E+03,0,0,0
1.40E+03,0.00424,0.000861,0.00216,7.46E+03,0,0,0
1.53E+03,0.00419,0.00195,0.00219,8.63E+03,0,0,0
1.66E+03,0.00367,0.00165,0.00213,,,,
1.79E+03,0.00453,0.000513,0.00185,,,,
1.92E+03,0.00503,0.00135,0.00113,,,,
2.04E+03,0.00411,0.000685,0.00109,,,,
2.30E+03,0.00234,0.000791,0.000763,,,,
2.56E+03,0.00294,0.000816,0.000589,,,,
2.81E+03,0.00339,0.000841,0.00156,,,,
3.07E+03,0.00324,0.000491,0.00173,,,,
3.32E+03,0.00332,0.00111,0.00193,,,,
3.58E+03,0.00343,0.000591,0.00224,,,,
3.84E+03,0.00362,0.000492,0.00137,,,,
4.09E+03,0.00266,0.000395,0.00184,,,,
4.60E+03,0.00303,0.00118,0.00131,,,,
5.12E+03,0.00306,0.00155,0.00195,,,,
5.63E+03,0.00332,0.000823,0.00164,,,,
6.14E+03,0.00263,0.000575,0.00237,,,,
6.65E+03,0.00209,0.000362,0.00153,,,,
7.16E+03,0.0024,0.00104,0.00214,,,,
7.68E+03,0.0015,0.0011,0.00186,,,,
8.19E+03,0.00139,0.000537,0.00151,,,,
9.21E+03,0.00144,0.0005,0.00171,,,,
1.02E+04,0.00204,0.000371,0.00138,,,,
1.13E+04,0.00198,0.000572,0.00143,,,,
1.23E+04,0.00158,0.000761,0.0017,,,,
1.33E+04,0.00152,0.000503,0.00185,,,,
1.43E+04,0.0019,0.000297,0.0014,,,,
1.54E+04,0.0011,0.000578,0.00173,,,,
1.64E+04,0.00145,0.000815,0.0016,,,,
1.84E+04,0.00146,0.000766,0.0018,,,,
2.05E+04,0.00134,0.000749,0.00156,,,,
2.25E+04,0.00142,0.000727,0.00182,,,,
2.46E+04,0.00142,0.00109,0.00143,,,,
2.66E+04,0.00118,0.000378,0.00162,,,,
2.87E+04,0.0014,0.000273,0.0015,,,,
3.07E+04,0.00151,0.000773,0.00159,,,,
3.28E+04,0.00134,0.000456,0.00183,,,,
3.69E+04,0.00133,0.000231,0.00136,,,,
4.10E+04,0.00108,0.000626,0.00142,,,,
4.51E+04,0.00105,0.00032,0.00148,,,,
4.91E+04,0.000908,0.00012,0.00145,,,,
5.32E+04,0.00106,0.000345,0.0015,,,,
5.73E+04,0.00131,0.000416,0.00154,,,,
6.14E+04,0.00121,0.000574,0.00121,,,,
6.55E+04,0.00105,0.000492,0.00143,,,,
7.37E+04,0.00118,0.000572,0.00134,,,,
8.19E+04,0.00139,0.000534,0.00116,,,,
9.01E+04,0.00135,0.000263,0.00125,,,,
9.83E+04,0.00119,0.000227,0.00131,,,,
1.06E+05,0.00117,0.000354,0.0014,,,,
1.15E+05,0.00117,0.000614,0.00127,,,,
1.23E+05,0.00146,0.000584,0.00149,,,,
1.31E+05,0.00119,0.000226,0.00135,,,,
1.47E+05,0.00119,0.000262,0.00124,,,,
1.64E+05,0.000746,0.000135,0.00139,,,,
1.80E+05,0.000992,0.000265,0.00126,,,,
1.97E+05,0.00121,0.000285,0.0012,,,,
2.13E+05,0.00104,0.000108,0.00137,,,,
2.29E+05,0.000951,0.000259,0.00177,,,,
2.46E+05,0.00115,0.000158,0.00139,,,,
2.62E+05,0.000822,0.000285,0.00101,,,,
2.95E+05,0.000655,0.000149,0.00125,,,,
3.28E+05,0.0012,0.000114,0.0015,,,,
3.60E+05,0.000782,0.00022,0.000828,,,,
3.93E+05,0.000825,0.000243,0.00124,,,,
4.26E+05,0.000551,0.000192,0.0012,,,,
4.59E+05,0.000594,0.000271,0.00111,,,,
4.92E+05,0.000478,0.000294,0.00131,,,,
5.24E+05,0.000798,0.000174,0.0012,,,,
5.90E+05,0.000511,0.000127,0.000878,,,,
6.55E+05,0.000612,0.0004,0.000854,,,,
7.21E+05,0.000468,0.000204,0.000842,,,,
