T[°C]	Ratio 350nm / 330nm	S.D.	First derivative	S.D. of first derivative
27.39219	0.8989854		-0.0004683262	
27.44614	0.8989391		-0.0004699523	
27.50009	0.8988931		-0.0004716362	
27.55404	0.8988475		-0.0004733824	
27.60799	0.8988024		-0.0004751953	
27.66194	0.8987582		-0.0004770795	
27.7159	0.8987152		-0.0004790397	
27.76985	0.8986735		-0.0004810802	
27.8238	0.8986337		-0.0004832049	
27.87775	0.898596		-0.0004854174	
27.9317	0.8985611		-0.0004877212	
27.98565	0.8985291		-0.0004901198	
28.0396	0.8984997		-0.0004926164	
28.09356	0.8984731		-0.0004952144	
28.14751	0.8984488		-0.0004979177	
28.20146	0.8984268		-0.0005007299	
28.25541	0.8984069		-0.0005036551	
28.30936	0.8983889		-0.0005066963	
28.36331	0.8983729		-0.0005098561	
28.41726	0.8983585		-0.0005131362	
28.47122	0.8983452		-0.0005165374	
28.52517	0.8983326		-0.0005200598	
28.57912	0.8983201		-0.0005237032	
28.63307	0.8983071		-0.0005274677	
28.68702	0.8982933		-0.0005313535	
28.74097	0.8982787		-0.0005353608	
28.79492	0.8982635		-0.0005394903	
28.84888	0.8982478		-0.0005437426	
28.90283	0.8982322		-0.0005481187	
28.95678	0.8982164		-0.0005526207	
29.01073	0.8982008		-0.0005572509	
29.06468	0.898185		-0.0005620117	
29.11863	0.898169		-0.0005669053	
29.17258	0.8981529		-0.0005719333	
29.22654	0.8981366		-0.0005770972	
29.28049	0.8981199		-0.0005823973	
29.33444	0.898103		-0.0005878335	
29.38839	0.8980862		-0.0005934057	
29.44234	0.8980701		-0.000599112	
29.49629	0.898055		-0.0006049513	
29.55025	0.8980415		-0.0006109216	
29.6042	0.8980298		-0.0006170207	
29.65815	0.8980201		-0.0006232458	
29.7121	0.8980124		-0.0006295939	
29.76605	0.8980063		-0.000636061	
29.82	0.8980017		-0.0006426427	
29.87395	0.8979983		-0.0006493333	
29.9279	0.8979957		-0.0006561258	
29.98186	0.8979933		-0.000663012	
30.03581	0.8979903		-0.0006699821	
30.08976	0.8979859		-0.0006770251	
30.14371	0.8979793		-0.0006841288	
30.19766	0.89797		-0.0006912802	
30.25161	0.8979573		-0.0006984652	
30.30556	0.8979409		-0.0007056682	
30.35952	0.8979205		-0.0007128735	
30.41347	0.8978961		-0.0007200655	
30.46742	0.8978674		-0.0007272291	
30.52137	0.8978343		-0.0007343505	
30.57532	0.8977968		-0.0007414162	
30.62927	0.8977549		-0.000748414	
30.68323	0.8977088		-0.0007553325	
30.73718	0.8976588		-0.0007621612	
30.79113	0.8976048		-0.000768891	
30.84508	0.8975472		-0.0007755138	
30.89903	0.8974862		-0.0007820231	
30.95298	0.8974218		-0.0007884133	
31.00693	0.8973545		-0.0007946803	
31.06088	0.8972849		-0.0008008208	
31.11484	0.8972132		-0.0008068322	
31.16879	0.8971403		-0.0008127122	
31.22274	0.8970664		-0.0008184597	
31.27669	0.8969918		-0.0008240743	
31.33064	0.8969171		-0.0008295561	
31.38459	0.8968426		-0.000834906	
31.43855	0.8967686		-0.0008401254	
31.4925	0.8966957		-0.0008452152	
31.54645	0.8966243		-0.000850177	
31.6004	0.8965544		-0.0008550111	
31.65435	0.896486		-0.0008597174	
31.7083	0.896419		-0.0008642948	
31.76225	0.8963528		-0.0008687418	
31.81621	0.8962871		-0.0008730569	
31.87016	0.8962217		-0.0008772384	
31.92411	0.896156		-0.0008812841	
31.97806	0.8960897		-0.0008851911	
32.03201	0.8960227		-0.000888956	
32.08596	0.8959553		-0.0008925739	
32.13992	0.8958871		-0.0008960404	
32.19387	0.8958184		-0.0008993505	
32.24782	0.8957487		-0.0009024995	
32.30177	0.8956779		-0.0009054822	
32.35572	0.895606		-0.0009082938	
32.40967	0.8955329		-0.0009109292	
32.46362	0.895459		-0.0009133839	
32.51757	0.8953845		-0.0009156528	
32.57153	0.8953097		-0.0009177303	
32.62548	0.895235		-0.0009196097	
32.67943	0.8951604		-0.0009212849	
32.73338	0.8950863		-0.0009227499	
32.78733	0.8950129		-0.0009239999	
32.84128	0.8949407		-0.0009250324	
32.89523	0.8948703		-0.0009258456	
32.94918	0.8948023		-0.0009264397	
33.00314	0.8947375		-0.0009268163	
33.05709	0.8946769		-0.0009269789	
33.11104	0.894621		-0.0009269328	
33.16499	0.8945704		-0.0009266847	
33.21894	0.8945253		-0.0009262423	
33.2729	0.8944857		-0.0009256139	
33.32685	0.8944517		-0.0009248082	
33.3808	0.8944228		-0.0009238343	
33.43475	0.8943986		-0.0009227018	
33.4887	0.8943786		-0.0009214206	
33.54265	0.8943622		-0.0009200009	
33.5966	0.8943486		-0.0009184533	
33.65055	0.8943371		-0.0009167883	
33.70451	0.8943269		-0.0009150163	
33.75846	0.8943172		-0.0009131473	
33.81241	0.8943069		-0.0009111916	
33.86636	0.8942954		-0.0009091596	
33.92031	0.894282		-0.0009070618	
33.97426	0.8942666		-0.0009049082	
34.02821	0.8942489		-0.0009027092	
34.08216	0.8942288		-0.0009004748	
34.13612	0.8942058		-0.0008982152	
34.19007	0.8941798		-0.0008959401	
34.24402	0.8941504		-0.0008936584	
34.29797	0.8941178		-0.0008913801	
34.35192	0.894082		-0.0008891136	
34.40588	0.8940433		-0.0008868679	
34.45983	0.8940019		-0.0008846516	
34.51378	0.8939582		-0.0008824742	
34.56773	0.8939125		-0.0008803461	
