Num. Dens. 1.1 [1/mL], Num. Dens. 1.2 [1/mL], Num. Dens. 2.1 [1/mL], Num. Dens. 2.2 [1/mL], ...
1.122600000000000000e+05,1.605800000000000000e+05
1.692200000000000000e+05,2.768400000000000000e+05
3.352000000000000000e+04,5.004000000000000000e+04
9.740000000000000000e+03,1.656000000000000000e+04
2.700000000000000000e+03,3.460000000000000000e+03
1.800000000000000000e+02,5.000000000000000000e+02
2.520000000000000000e+03,4.400000000000000000e+03
Rows: ECD 1-2; ECD 2-5; ECD 5-10, ECD 10-25; ECD 25-70; MFD ge70
