Num. Dens. 1.1 [1/mL], Num. Dens. 1.2 [1/mL], Num. Dens. 2.1 [1/mL], Num. Dens. 2.2 [1/mL], ...
2.166480000000000000e+06,1.192020000000000000e+06,1.599020000000000000e+06,1.739360000000000000e+06,5.017200000000000000e+05,1.487200000000000000e+06
1.593200000000000000e+05,7.892000000000000000e+04,1.262400000000000000e+05,1.450000000000000000e+05,4.646000000000000000e+04,1.346600000000000000e+05
4.260000000000000000e+03,2.520000000000000000e+03,1.042000000000000000e+04,1.038000000000000000e+04,5.480000000000000000e+03,1.070000000000000000e+04
7.200000000000000000e+02,5.400000000000000000e+02,2.180000000000000000e+03,3.460000000000000000e+03,1.120000000000000000e+03,8.000000000000000000e+02
3.200000000000000000e+02,4.600000000000000000e+01,4.600000000000000000e+02,6.200000000000000000e+02,1.340000000000000000e+02,4.600000000000000000e+01
0.000000000000000000e+00,4.600000000000000000e+01,0.000000000000000000e+00,9.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000000000e+01,4.600000000000000000e+01,2.200000000000000000e+02,3.200000000000000000e+02,0.000000000000000000e+00,4.600000000000000000e+01
Rows: ECD 1-2; ECD 2-5; ECD 5-10, ECD 10-25; ECD 25-70; MFD ge70
