Num. Dens. 1.1 [1/mL], Num. Dens. 1.2 [1/mL], Num. Dens. 2.1 [1/mL], Num. Dens. 2.2 [1/mL], ...
2.260000000000000000e+04,1.846000000000000000e+04
1.016000000000000000e+04,1.038000000000000000e+04
6.800000000000000000e+02,1.080000000000000000e+03
5.800000000000000000e+02,9.400000000000000000e+02
1.340000000000000000e+02,4.600000000000000000e+02
0.000000000000000000e+00,9.000000000000000000e+01
4.600000000000000000e+01,1.800000000000000000e+02
Rows: ECD 1-2; ECD 2-5; ECD 5-10, ECD 10-25; ECD 25-70; MFD ge70
