Num. Dens. 1.1 [1/mL], Num. Dens. 1.2 [1/mL], Num. Dens. 2.1 [1/mL], Num. Dens. 2.2 [1/mL], ...
4.697632000000000000e+07,3.643104000000000000e+07,2.570980000000000000e+07,2.192220000000000000e+07,5.194494000000000000e+07,5.194494000000000000e+07
1.963852000000000000e+07,1.499146000000000000e+07,9.959360000000000000e+06,9.316580000000000000e+06,1.762374000000000000e+07,1.762374000000000000e+07
1.728966000000000000e+07,1.293388000000000000e+07,9.018920000000000000e+06,7.607560000000000000e+06,1.837732000000000000e+07,1.837732000000000000e+07
8.383400000000000000e+06,6.780580000000000000e+06,5.240260000000000000e+06,3.942340000000000000e+06,1.203944000000000000e+07,1.203944000000000000e+07
1.663260000000000000e+06,1.720500000000000000e+06,1.487800000000000000e+06,1.052760000000000000e+06,3.894880000000000000e+06,3.894880000000000000e+06
1.500000000000000000e+03,4.600000000000000000e+03,3.460000000000000000e+03,2.820000000000000000e+03,9.560000000000000000e+03,9.560000000000000000e+03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.348000000000000114e+02,0.000000000000000000e+00,0.000000000000000000e+00
Rows: ECD 1-2; ECD 2-5; ECD 5-10, ECD 10-25; ECD 25-70; MFD ge70
