Size / nm,Number,Concentration / cm-3,Volume / nm^3,Area / nm^2
2.72E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.75E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.78E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.81E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.84E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.87E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.90E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.93E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.96E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
2.99E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.02E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.05E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.08E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.11E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.14E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.17E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.20E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.23E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.26E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.29E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.32E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.35E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.38E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.41E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.44E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.47E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.50E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.53E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.56E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.59E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.62E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.65E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.68E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.71E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
3.74E+03,0.00E+00,0.00E+00,0.00E+00,0.00E+00
