T[°C]	330nm [counts / mm]	S.D.	First derivative	S.D. of first derivative
25.72225	7360.393	28.66559	-106.48	1.206488
25.77624	7354.618	28.43589	-106.3763	1.129517
25.83023	7348.81	28.25735	-106.2706	1.053488
25.88422	7342.981	28.14931	-106.1634	0.9793617
25.93821	7337.154	28.13463	-106.0551	0.9082352
25.9922	7331.348	28.22984	-105.9462	0.8413053
26.04619	7325.573	28.43712	-105.8371	0.7798876
26.10018	7319.832	28.74121	-105.7283	0.7254628
26.15417	7314.117	29.12019	-105.6204	0.6795449
26.20816	7308.419	29.54643	-105.5138	0.6435712
26.26215	7302.729	29.99279	-105.4089	0.6186711
26.31614	7297.037	30.43632	-105.3061	0.6054243
26.37013	7291.333	30.85483	-105.2054	0.6036979
26.42412	7285.614	31.23194	-105.1073	0.6125928
26.47811	7279.872	31.55863	-105.0116	0.6306495
26.5321	7274.103	31.83547	-104.9184	0.6560965
26.58609	7268.313	32.06583	-104.8275	0.687134
26.64008	7262.518	32.24801	-104.7389	0.7220803
26.69407	7256.736	32.37875	-104.6523	0.759445
26.74806	7250.987	32.46204	-104.5676	0.7979486
26.80205	7245.287	32.50723	-104.4845	0.8365085
26.85604	7239.639	32.51944	-104.4029	0.8742276
26.91003	7234.047	32.50119	-104.3226	0.9103889
26.96402	7228.507	32.44629	-104.2435	0.9443748
27.01801	7223.016	32.3455	-104.1653	0.9757292
27.072	7217.566	32.19389	-104.0878	1.004099
27.12599	7212.146	31.9831	-104.0108	1.029293
27.17998	7206.736	31.70945	-103.9343	1.051238
27.23397	7201.313	31.38312	-103.8579	1.070009
27.28796	7195.864	31.02461	-103.7814	1.08576
27.34195	7190.377	30.66252	-103.7046	1.098735
27.39594	7184.845	30.32426	-103.6273	1.109199
27.44993	7179.269	30.03245	-103.5493	1.117396
27.50392	7173.664	29.801	-103.4705	1.12352
27.55791	7168.049	29.63692	-103.3909	1.127695
27.6119	7162.442	29.53537	-103.3106	1.130009
27.6659	7156.856	29.48684	-103.2298	1.130464
27.71988	7151.299	29.4741	-103.1486	1.129006
27.77387	7145.767	29.47487	-103.0672	1.125509
27.82787	7140.253	29.47293	-102.986	1.119816
27.88186	7134.75	29.46154	-102.9052	1.111748
27.93585	7129.249	29.44285	-102.825	1.101122
27.98984	7123.745	29.42471	-102.7456	1.087769
28.04383	7118.229	29.40687	-102.6672	1.071522
28.09782	7112.692	29.38579	-102.59	1.05228
28.15181	7107.125	29.35258	-102.5141	1.030012
28.2058	7101.531	29.29109	-102.4395	1.004818
28.25979	7095.917	29.19028	-102.3663	0.9769191
28.31378	7090.294	29.04476	-102.2946	0.9466532
28.36777	7084.667	28.85917	-102.2243	0.9144759
28.42176	7079.04	28.64197	-102.1555	0.8809658
28.47575	7073.41	28.40081	-102.0882	0.8467977
28.52974	7067.787	28.13913	-102.0226	0.8127006
28.58373	7062.177	27.86416	-101.9585	0.7794167
28.63772	7056.586	27.5872	-101.896	0.7475971
28.69171	7051.019	27.3185	-101.835	0.7178089
28.7457	7045.473	27.06922	-101.7754	0.6904963
28.79969	7039.946	26.85203	-101.7172	0.6659461
28.85368	7034.441	26.68046	-101.6603	0.6443363
28.90767	7028.957	26.562	-101.6046	0.6256403
28.96166	7023.492	26.49687	-101.5498	0.6097064
