RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
JJ3 200r 10m K15,21620.68,5801,440.18,60.64,8.98,0,0,0
JJ3 200r 10m K15,23661.46,5969.32,429.43,42.72,8.99,0,2.25,0
