RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
JJ2 200r 10m K13,18611.26,7429.23,260.52,76.36,17.97,0,0,0
JJ2 200r 10m K13,21067.35,7540.6,137.22,35.99,18,0,4.5,0
