RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
JJ2 200r 10m K1,180245.07,55485.91,9629.69,892.06,81.3,2.26,20.33,0
JJ2 200r 10m K1,191534.78,56320.94,9273.72,928.05,71.91,2.25,22.47,2.25
