RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,
JJ4 200r 10m K7,16802.14,4294,452,72,5,0,2.3,0.0,
JJ4 200r 10m K7,16884.6,4343.62,348.3,89.88,6.74,0,2.25,0,
