RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,
JJ4 200r 10m K6,52732.28,21593.73,1176.82,159.45,31.44,0,22.46,2.25,
JJ4 200r 10m K6,53949.52,22926,1303,141,16,0,6.7,0.0,
