RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
JJ3 200r 10m K5,579944.77,321199.97,93231.72,12786.63,366.68,0,40.49,6.75
JJ3 200r 10m K5,587654.94,334948.76,109662.02,20531.45,745.62,0,49.41,2.25
