RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
JJ4 200r 10m K8,150031.45,73595.11,27147.97,5531.72,310.44,13.5,58.49,2.25
JJ4 200r 10m K8,132748.79,58500.61,17747.48,3238.05,240.44,15.73,51.68,13.48
