RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,
JJ4 200r 10m L19,81471.2,40024.33,1289.73,180.07,15.76,2.25,15.76,6.75,
JJ4 200r 10m L19,82207.36,44704,1620,249,45,0,47.2,9.0,
