RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,
JJ2 200r 10m K12,7815.52,3413.67,213.35,56.15,13.48,0,4.49,0,
JJ2 200r 10m K12,8264.78,3927.9,78.65,42.69,2.25,4.49,8.99,4.49,
