RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
JJ2 200r 10m J4,56660.25,19655.57,2818.53,280.73,24.7,6.74,17.97,6.74
JJ2 200r 10m J4,56172.63,20751.83,2422.36,150.55,8.99,0,0,0
