RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
JJ3 200r 10m K2,301476.74,136531.1,48690.05,8017.47,132.8,2.25,24.76,4.5
JJ3 200r 10m K2,315978.17,146311.85,57127.38,11386.4,195.39,4.49,44.92,11.23
