RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
JJ3 200r 10m K14,40233,11439.04,1534.84,205.4,11.29,2.26,18.06,2.26
JJ3 200r 10m K14,45698.97,12363.46,1649.36,195.5,13.48,0,8.99,0
