RAW,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,
JJ4 200r 10m L30,71255.95,30476,2187,359,49,4,58.4,15.7,
JJ4 200r 10m L30,75816.65,35978.08,2779.64,325.83,44.94,2.25,44.94,8.99,
