Project Name,All:Concentration,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_08_28_Bot_ETH_06-Run008,1698680,605482,545110,357816,185926,4346,0.00,18,2.25
2023_08_28_Bot_ETH_06-Run008,1698680,605482,545110,357816,185926,4346,0.00,18,2.25
