Project Name,All:Concentration,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_08_28_Bot_ETH_05-Run007,1285490,497968,450946,262013,74390,173,0.00,11,2.25
2023_08_28_Bot_ETH_05-Run019,1096110,465829,380378,197117,52638,141,6.74,11,6.74
