Project Name,All:Concentration,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_08_28_Bot_ETH_07-Run009,2597247,881187,918866,601972,194744,478,0.00,2.60,2.60
2023_08_28_Bot_ETH_07-Run009,2597247,881187,918866,601972,194744,478,0.00,2.60,2.60
