Project Name,All:Concentration,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_08_28_Bot_ETH_02-Run004,2348816,981926,864483,419170,83163,75,0.00,0.00,0.00
2023_08_28_Bot_ETH_02-Run016,1821552,749573,646694,339029,86025,230,0.00,4.51,2.26
