Project Name,All:Concentration,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration
2023_08_28_Bot_ETH_08-Run010,187381,155073,26907,4067,1163,168,2.25,67,4.49
2023_08_28_Bot_ETH_08-Run010,187381,155073,26907,4067,1163,168,2.25,67,4.49
