Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,All:Concentration
2023_05_17_Bot_ETH_06-Run009,23896,13381,1663,99,2.3,0.0,0.0,0.0,39041
2023_05_17_Bot_ETH_06-Run021,28950,18490,1250,58,4.5,0.0,0.0,0.0,48753
