Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,All:Concentration
2023_05_17_Bot_ETH_09-Run025,191091,63569,7750,1027,88,4.5,54,14,263530
2023_05_17_Bot_ETH_09-Run025,191091,63569,7750,1027,88,4.5,54,14,263530
