Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,All:Concentration
2023_05_17_Bot_ETH_08-Run012,30043,37488,3411,177,43,6.7,29,9.0,71168
2023_05_17_Bot_ETH_08-Run024,29378,35183,3192,203,36,0.0,25,2.3,67991
