Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,All:Concentration
2023_05_17_Bot_ETH_10-Run026,75421,33423,4723,431,47,0.0,25,4.5,114046
2023_05_17_Bot_ETH_10-Run027,82882,51632,7284,437,23,0.0,11,2.3,142257
