X Lag Time,Record 1: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No3_230620 1,Record 2: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No3_230620 2,Record 3: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No3_230620 3,X Intensity,Record 1: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No3_230620 1,Record 2: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No3_230620 2,Record 3: JJ1_01mg_PS2_010ug_200rpm_10-00min_ST_No3_230620 3
0.5,0.81,0.813,0.815,0.4,0,0,0
1,0.789,0.779,0.783,0.463,0,0,0
1.5,0.76,0.751,0.767,0.536,0,0,0
2,0.733,0.732,0.74,0.621,0,0,0
2.5,0.717,0.713,0.718,0.719,0,0,0
3,0.693,0.694,0.699,0.833,0,0,0
3.5,0.681,0.68,0.682,0.965,0,0,0
4,0.658,0.661,0.665,1.12,0,0.0349,0
4.5,0.644,0.644,0.65,1.29,0,1.13,0
5.5,0.616,0.612,0.618,1.5,0,1.92,0
6.5,0.591,0.585,0.588,1.74,0,1.56,0
7.5,0.565,0.562,0.564,2.01,0,0.551,0
8.5,0.542,0.539,0.542,2.33,0,0,0
9.5,0.515,0.513,0.52,2.7,0,0,0
10.5,0.497,0.495,0.495,3.12,0,0,0
11.5,0.474,0.477,0.479,3.62,0,0,0
12.5,0.459,0.459,0.46,4.19,0,0,0
14.5,0.426,0.423,0.426,4.85,0,0,0
16.5,0.393,0.393,0.396,5.61,0,0,0
18.5,0.364,0.364,0.366,6.5,0.798,0,0.257
20.5,0.339,0.338,0.341,7.53,2.84,0.952,1.99
22.5,0.312,0.314,0.317,8.72,5.82,3.75,5.07
24.5,0.292,0.291,0.292,10.1,8.99,7.69,8.65
26.5,0.274,0.274,0.273,11.7,11.6,11.4,11.7
28.5,0.255,0.255,0.256,13.5,12.9,13.8,13.5
32.5,0.223,0.223,0.222,15.7,12.7,14.1,13.5
36.5,0.195,0.195,0.196,18.2,11.1,12.3,11.9
40.5,0.172,0.172,0.174,21,8.49,9.06,9.13
44.5,0.154,0.153,0.153,24.4,5.46,5.39,5.89
48.5,0.136,0.134,0.135,28.2,2.72,2.29,2.95
52.5,0.12,0.122,0.12,32.7,0.822,0.478,0.917
56.5,0.109,0.109,0.108,37.8,0,0,0.0186
60.5,0.098,0.0988,0.0976,43.8,0,0,0
68.5,0.0811,0.0786,0.0801,50.7,0,0,0
76.5,0.0669,0.0668,0.0671,58.8,0,0,0
84.5,0.057,0.0573,0.0571,68.1,0,0,0
92.5,0.0502,0.0513,0.0516,78.8,0,0,0
101,0.045,0.0442,0.0454,91.3,0,0,0
109,0.0396,0.0386,0.0398,106,0,0,0
117,0.0355,0.0355,0.036,122,0,0,0
125,0.0342,0.0332,0.0322,142,0,0,0
141,0.0289,0.0296,0.0273,164,0,0,0
157,0.0255,0.0254,0.0238,190,0,0,0
173,0.0229,0.0239,0.0219,220,0,0,0.0826
189,0.0217,0.0217,0.0197,255,0.104,0,0.283
205,0.0193,0.019,0.0184,295,0.344,0.0111,0.581
221,0.0183,0.0181,0.0176,342,0.691,0.124,0.924
237,0.0166,0.0154,0.0164,396,1.08,0.349,1.25
253,0.0159,0.0155,0.0157,459,1.45,0.649,1.52
285,0.0158,0.0147,0.0137,531,1.73,0.972,1.69
317,0.0162,0.0148,0.0119,615,1.89,1.26,1.73
349,0.0158,0.0137,0.0124,712,1.91,1.48,1.65
381,0.0145,0.0126,0.012,825,1.79,1.59,1.47
413,0.0121,0.0115,0.0111,955,1.56,1.59,1.21
445,0.0101,0.0106,0.00868,1.11E+03,1.25,1.49,0.915
477,0.0105,0.0102,0.00907,1.28E+03,0.906,1.3,0.617
509,0.011,0.00942,0.00841,1.48E+03,0.58,1.05,0.356
573,0.01,0.00752,0.0069,1.72E+03,0.31,0.781,0.16
637,0.00882,0.00728,0.00443,1.99E+03,0.122,0.52,0.0435
701,0.00766,0.00756,0.00488,2.30E+03,0.0249,0.297,0
765,0.00649,0.00824,0.00477,2.67E+03,0,0.133,0
829,0.00514,0.00742,0.0034,3.09E+03,0,0.0365,0
893,0.0055,0.00609,0.00489,3.58E+03,0,0,0
957,0.0055,0.00576,0.00227,4.15E+03,0,0,0
1.02E+03,0.00458,0.00429,0.0028,4.80E+03,0,0,0
1.15E+03,0.00445,0.00355,0.00299,5.56E+03,0,0,0
1.28E+03,0.00245,0.00268,0.00188,6.44E+03,0,0,0
1.40E+03,0.00223,0.00147,0.0024,7.46E+03,0,0,0
1.53E+03,0.00197,0.00184,0.00269,8.63E+03,0,0,0
1.66E+03,0.00187,0.00269,0.00255,,,,
1.79E+03,0.00128,0.00239,0.00182,,,,
1.92E+03,0.00224,0.00126,0.00111,,,,
2.04E+03,0.0013,0.00118,0.00234,,,,
2.30E+03,0.00117,0.0022,0.00139,,,,
2.56E+03,0.0014,0.00154,0.00141,,,,
2.81E+03,0.000912,0.00149,0.000722,,,,
3.07E+03,0.000644,0.00114,0.00119,,,,
3.32E+03,0.0011,0.00166,0.00219,,,,
3.58E+03,0.00134,0.00173,0.00248,,,,
3.84E+03,0.00115,0.00202,0.00218,,,,
4.09E+03,0.000823,0.00144,0.00173,,,,
4.60E+03,0.000563,0.00176,0.00109,,,,
5.12E+03,0.000606,0.00195,0.00216,,,,
5.63E+03,0.000652,0.00177,0.00159,,,,
6.14E+03,0.000824,0.0018,0.00116,,,,
6.65E+03,0.00128,0.00219,0.00308,,,,
7.16E+03,0.000381,0.00224,0.00158,,,,
7.68E+03,0.000883,0.00169,0.000449,,,,
8.19E+03,0.000805,0.00138,0.00205,,,,
9.21E+03,0.00081,0.00181,0.0018,,,,
1.02E+04,0.000174,0.00166,0.00161,,,,
1.13E+04,0.000749,0.00175,0.00148,,,,
1.23E+04,0.000776,0.00181,0.00212,,,,
1.33E+04,0.000542,0.0015,0.00135,,,,
1.43E+04,0.000995,0.00236,0.00112,,,,
1.54E+04,0.000732,0.00229,0.00184,,,,
1.64E+04,0.000766,0.00193,0.00178,,,,
1.84E+04,0.000327,0.00121,0.00185,,,,
2.05E+04,0.000486,0.00168,0.00173,,,,
2.25E+04,0.00049,0.00214,0.00198,,,,
2.46E+04,0.000616,0.00168,0.00193,,,,
2.66E+04,0.000461,0.00145,0.00128,,,,
2.87E+04,0.000163,0.00148,0.00138,,,,
3.07E+04,0.000514,0.00152,0.0024,,,,
3.28E+04,0.000718,0.00167,0.00181,,,,
3.69E+04,0.000569,0.00181,0.00178,,,,
4.10E+04,0.000229,0.00178,0.00189,,,,
