X Lag Time,Record 1: JJ1_01mg_PS2_050ug_200rpm_10-00min_ST_No3_230621 1,Record 2: JJ1_01mg_PS2_050ug_200rpm_10-00min_ST_No3_230621 2,Record 3: JJ1_01mg_PS2_050ug_200rpm_10-00min_ST_No3_230621 3,X Intensity,Record 1: JJ1_01mg_PS2_050ug_200rpm_10-00min_ST_No3_230621 1,Record 2: JJ1_01mg_PS2_050ug_200rpm_10-00min_ST_No3_230621 2,Record 3: JJ1_01mg_PS2_050ug_200rpm_10-00min_ST_No3_230621 3
0.5,0.795,0.808,0.806,0.4,0,0,0
1,0.776,0.78,0.782,0.463,0,0,0
1.5,0.755,0.762,0.761,0.536,0,0,0
2,0.736,0.739,0.741,0.621,0,0,0
2.5,0.717,0.722,0.719,0.719,0,0,0
3,0.702,0.714,0.708,0.833,0,0,0
3.5,0.694,0.693,0.689,0.965,0,0,0
4,0.678,0.68,0.674,1.12,0,0,0
4.5,0.662,0.666,0.66,1.29,0,0,0
5.5,0.641,0.641,0.635,1.5,0,0,0
6.5,0.615,0.617,0.612,1.74,0,0,0
7.5,0.597,0.592,0.591,2.01,0,0,0
8.5,0.573,0.574,0.567,2.33,0,0,0
9.5,0.555,0.559,0.551,2.7,0,0,0
10.5,0.537,0.537,0.534,3.12,0,0,0
11.5,0.519,0.521,0.514,3.62,0,0,0
12.5,0.505,0.503,0.499,4.19,0,0,0
14.5,0.476,0.475,0.466,4.85,0,0,0
16.5,0.446,0.448,0.441,5.61,0,0,0
18.5,0.42,0.421,0.414,6.5,0,0,0
20.5,0.398,0.397,0.39,7.53,0.669,1.04,1.37
22.5,0.378,0.373,0.367,8.72,3.08,3.78,4.6
24.5,0.354,0.355,0.349,10.1,6.69,7.46,8.65
26.5,0.337,0.335,0.33,11.7,10.3,10.8,12
28.5,0.321,0.318,0.311,13.5,12.6,12.8,13.6
32.5,0.289,0.284,0.279,15.7,12.9,12.7,12.8
36.5,0.262,0.257,0.252,18.2,11.2,10.8,10.1
40.5,0.24,0.234,0.23,21,8.09,7.71,6.42
44.5,0.219,0.213,0.209,24.4,4.57,4.33,2.95
48.5,0.2,0.196,0.191,28.2,1.7,1.64,0.717
52.5,0.185,0.18,0.174,32.7,0.199,0.225,0
56.5,0.171,0.166,0.161,37.8,0,0,0
60.5,0.16,0.155,0.15,43.8,0,0,0
68.5,0.139,0.134,0.131,50.7,0,0,0
76.5,0.124,0.118,0.117,58.8,0,0,0
84.5,0.111,0.105,0.104,68.1,0,0,0
92.5,0.0994,0.0949,0.0955,78.8,0,0,0
101,0.0904,0.0861,0.0878,91.3,0,0.00188,0
109,0.0842,0.0792,0.0814,106,0.103,0.37,0.2
117,0.0789,0.0741,0.0758,122,0.631,1.12,0.833
125,0.0744,0.0694,0.0712,142,1.55,2.07,1.8
141,0.0658,0.0617,0.0648,164,2.62,2.98,2.83
157,0.0601,0.0562,0.0593,190,3.57,3.62,3.64
173,0.0548,0.0525,0.0563,220,4.17,3.86,4.03
189,0.0513,0.0477,0.0519,255,4.29,3.64,3.91
205,0.0495,0.0454,0.0503,295,3.91,3.05,3.33
221,0.0463,0.0432,0.0472,342,3.15,2.22,2.43
237,0.0444,0.0406,0.0441,396,2.18,1.35,1.46
253,0.0424,0.0371,0.0418,459,1.23,0.622,0.64
285,0.0385,0.0331,0.0381,531,0.497,0.164,0.146
317,0.0357,0.0316,0.0356,615,0.0934,0,0
349,0.0325,0.0292,0.0328,712,0,0,0
381,0.028,0.0275,0.0311,825,0,0,0
413,0.025,0.0256,0.028,955,0,0,0
445,0.0218,0.0237,0.0261,1.11E+03,0,0,0
477,0.0197,0.0212,0.0239,1.28E+03,0,0,0
509,0.0184,0.0187,0.0234,1.48E+03,0,0,0
573,0.0163,0.0158,0.021,1.72E+03,0,0,0
637,0.0133,0.0134,0.018,1.99E+03,0,0,0
701,0.0128,0.0109,0.0175,2.30E+03,0,0,0
765,0.0109,0.00955,0.0155,2.67E+03,0,0,0
829,0.00841,0.0109,0.0134,3.09E+03,0,0,0
893,0.00773,0.00931,0.0131,3.58E+03,0,0.0357,0
957,0.0056,0.00855,0.0135,4.15E+03,0,0.21,0.134
1.02E+03,0.00625,0.008,0.0121,4.80E+03,0,0.507,0.46
1.15E+03,0.00634,0.00669,0.00968,5.56E+03,0,0.836,0.882
1.28E+03,0.00513,0.00548,0.00868,6.44E+03,0,0,0
1.40E+03,0.0058,0.0044,0.00864,7.46E+03,0,0,0
1.53E+03,0.00428,0.00499,0.0084,8.63E+03,0,0,0
1.66E+03,0.00629,0.00559,0.00762,,,,
1.79E+03,0.00621,0.00708,0.00699,,,,
1.92E+03,0.00482,0.00559,0.00671,,,,
2.04E+03,0.00518,0.00506,0.00686,,,,
2.30E+03,0.00421,0.00443,0.00612,,,,
2.56E+03,0.00497,0.00365,0.00712,,,,
2.81E+03,0.00496,0.00515,0.007,,,,
3.07E+03,0.00458,0.00639,0.00719,,,,
3.32E+03,0.00444,0.00605,0.0071,,,,
3.58E+03,0.00456,0.00554,0.00677,,,,
3.84E+03,0.00351,0.00419,0.00645,,,,
4.09E+03,0.00473,0.00495,0.00672,,,,
4.60E+03,0.00326,0.00443,0.00659,,,,
5.12E+03,0.00384,0.00402,0.0074,,,,
5.63E+03,0.00495,0.00354,0.00773,,,,
6.14E+03,0.00451,0.00382,0.00656,,,,
6.65E+03,0.00378,0.00411,0.00648,,,,
7.16E+03,0.00367,0.00339,0.00609,,,,
7.68E+03,0.00402,0.00288,0.00618,,,,
8.19E+03,0.00432,0.0025,0.00696,,,,
9.21E+03,0.00465,0.00317,0.00773,,,,
1.02E+04,0.00442,0.00353,0.00634,,,,
1.13E+04,0.00447,0.00453,0.00694,,,,
1.23E+04,0.00541,0.00426,0.00627,,,,
1.33E+04,0.00475,0.00428,0.00657,,,,
1.43E+04,0.00323,0.00442,0.00601,,,,
1.54E+04,0.00386,0.00382,0.00528,,,,
1.64E+04,0.00329,0.0036,0.00647,,,,
1.84E+04,0.00381,0.00331,0.00587,,,,
2.05E+04,0.00356,0.00319,0.00603,,,,
2.25E+04,0.00407,0.00375,0.00575,,,,
2.46E+04,0.00358,0.00363,0.00591,,,,
2.66E+04,0.00369,0.00327,0.00624,,,,
2.87E+04,0.00381,0.00329,0.00595,,,,
3.07E+04,0.00327,0.00364,0.00549,,,,
3.28E+04,0.0043,0.00291,0.00539,,,,
3.69E+04,0.00359,0.00324,0.00577,,,,
4.10E+04,0.00457,0.00386,0.00585,,,,
4.51E+04,0.00389,0.00323,0.00521,,,,
4.91E+04,0.00357,0.0031,0.00482,,,,
5.32E+04,0.0032,0.00388,0.00422,,,,
5.73E+04,0.00339,0.00386,0.00438,,,,
6.14E+04,0.00389,0.0028,0.00441,,,,
6.55E+04,0.00347,0.00278,0.00473,,,,
7.37E+04,0.00347,0.00272,0.00511,,,,
8.19E+04,0.00345,0.00312,0.00479,,,,
9.01E+04,0.0027,0.00303,0.00451,,,,
9.83E+04,0.00297,0.00239,0.00411,,,,
1.06E+05,0.00237,0.00226,0.00407,,,,
1.15E+05,0.00235,0.0025,0.00363,,,,
1.23E+05,0.00223,0.00237,0.00406,,,,
1.31E+05,0.00196,0.00192,0.00418,,,,
1.47E+05,0.00218,0.002,0.00402,,,,
1.64E+05,0.00235,0.00182,0.00405,,,,
1.80E+05,0.00188,0.00151,0.00399,,,,
1.97E+05,0.00181,0.00122,0.00357,,,,
2.13E+05,0.00198,0.00117,0.00287,,,,
2.29E+05,0.0018,0.00117,0.00264,,,,
2.46E+05,0.00202,0.000579,0.00289,,,,
2.62E+05,0.00211,0.000999,0.00217,,,,
2.95E+05,0.002,0.000865,0.00178,,,,
3.28E+05,0.00181,0.000975,0.00237,,,,
3.60E+05,0.002,0.00129,0.00225,,,,
3.93E+05,0.00184,0.000431,0.00182,,,,
4.26E+05,0.00226,0.00091,0.00207,,,,
4.59E+05,0.00224,0.000677,0.00152,,,,
4.92E+05,0.00228,0.000713,0.00149,,,,
5.24E+05,0.00242,0.00101,0.00123,,,,
5.90E+05,0.00287,0.000941,0.00117,,,,
6.55E+05,0.00329,0.000791,0.000913,,,,
7.21E+05,0.00421,8.76E-05,0.00113,,,,
7.86E+05,0.00368,0.00077,0.00124,,,,
8.52E+05,0.00342,0.000618,0.000881,,,,
9.18E+05,0.00388,0.000919,0.000319,,,,
9.83E+05,0.00451,0.000869,0.000954,,,,
1.05E+06,0.00511,0.00124,0.00068,,,,
1.18E+06,0.00516,0.00106,0.00142,,,,
1.31E+06,0.00625,0.00111,0.00157,,,,
1.44E+06,0.00725,0.00101,0.00106,,,,
1.57E+06,0.00827,0.00171,0.00102,,,,
1.70E+06,0.0076,0.00182,0.00191,,,,
1.84E+06,0.00787,0.00104,0.00131,,,,
1.97E+06,0.00851,0.00113,0.000419,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
