X Lag Time,Record 1: JJ1_01mg_PS2_100ug_200rpm_10-00min_PM_No2_230613 1,Record 2: JJ1_01mg_PS2_100ug_200rpm_10-00min_PM_No2_230613 2,Record 3: JJ1_01mg_PS2_100ug_200rpm_10-00min_PM_No2_230613 3,X Intensity,Record 1: JJ1_01mg_PS2_100ug_200rpm_10-00min_PM_No2_230613 1,Record 2: JJ1_01mg_PS2_100ug_200rpm_10-00min_PM_No2_230613 2,Record 3: JJ1_01mg_PS2_100ug_200rpm_10-00min_PM_No2_230613 3
0.5,0.804,0.827,0.831,0.4,0,0,0
1,0.793,0.815,0.816,0.463,0,0,0
1.5,0.782,0.799,0.796,0.536,0,0,0
2,0.765,0.786,0.78,0.621,0,0,0
2.5,0.754,0.772,0.768,0.719,0,0,0
3,0.747,0.757,0.749,0.833,0,0,0
3.5,0.735,0.746,0.738,0.965,0,0,0
4,0.725,0.732,0.728,1.12,0,0,0
4.5,0.715,0.722,0.717,1.29,0,0,0
5.5,0.701,0.702,0.69,1.5,0,0,0
6.5,0.681,0.685,0.67,1.74,0,0,0
7.5,0.668,0.667,0.65,2.01,0,0,0
8.5,0.655,0.649,0.63,2.33,0,0,0
9.5,0.641,0.634,0.614,2.7,0,0,0
10.5,0.627,0.617,0.596,3.12,0,0,0
11.5,0.619,0.604,0.583,3.62,0,0,0
12.5,0.606,0.59,0.567,4.19,0,0,0
14.5,0.584,0.564,0.538,4.85,0,0,0
16.5,0.563,0.54,0.512,5.61,0,0,0
18.5,0.545,0.519,0.488,6.5,0,0,0
20.5,0.528,0.497,0.465,7.53,0,0,0.256
22.5,0.511,0.477,0.446,8.72,2.06,1.85,2.81
24.5,0.496,0.458,0.426,10.1,5.99,6.11,6.87
26.5,0.481,0.442,0.409,11.7,9.84,10.5,10.6
28.5,0.466,0.427,0.392,13.5,11.7,12.5,12.4
32.5,0.442,0.398,0.362,15.7,10.6,11.2,11.6
36.5,0.419,0.371,0.335,18.2,7.23,7.44,8.69
40.5,0.399,0.349,0.311,21,3.24,3.12,4.83
44.5,0.382,0.328,0.291,24.4,0.547,0.384,1.57
48.5,0.365,0.312,0.272,28.2,0,0,0
52.5,0.351,0.295,0.256,32.7,0,0,0
56.5,0.339,0.28,0.242,37.8,0,0,0
60.5,0.327,0.268,0.231,43.8,0,0,0
68.5,0.308,0.247,0.21,50.7,0,0,0
76.5,0.291,0.229,0.194,58.8,0,0,0
84.5,0.278,0.214,0.179,68.1,0,0,0
92.5,0.267,0.204,0.168,78.8,0,0,0
101,0.257,0.193,0.158,91.3,0,0,0
109,0.249,0.185,0.15,106,0,0,0
117,0.242,0.178,0.142,122,0,0,0.195
125,0.236,0.172,0.137,142,0,0.222,0.881
141,0.227,0.162,0.128,164,0.102,1.15,1.97
157,0.218,0.154,0.12,190,1.16,2.65,3.19
173,0.211,0.147,0.113,220,3.08,4.32,4.25
189,0.204,0.141,0.108,255,5.3,5.74,4.91
205,0.198,0.135,0.104,295,7.15,6.57,5.07
221,0.194,0.13,0.101,342,8.07,6.66,4.71
237,0.189,0.126,0.0978,396,7.82,6.02,3.94
