X Lag Time,Record 16: K2 1,Record 17: K2 2,Record 18: K2 3
0.5,0.871,0.854,0.867
1,0.87,0.847,0.859
1.5,0.867,0.846,0.859
2,0.867,0.847,0.855
2.5,0.862,0.84,0.855
3,0.861,0.838,0.853
3.5,0.858,0.843,0.851
4,0.86,0.841,0.849
4.5,0.859,0.838,0.848
5.5,0.855,0.836,0.845
6.5,0.854,0.831,0.845
7.5,0.852,0.83,0.843
8.5,0.85,0.828,0.841
9.5,0.849,0.827,0.84
10.5,0.847,0.827,0.839
11.5,0.846,0.825,0.838
12.5,0.846,0.824,0.837
14.5,0.845,0.822,0.835
16.5,0.842,0.821,0.832
18.5,0.84,0.818,0.83
20.5,0.839,0.816,0.827
22.5,0.835,0.816,0.826
24.5,0.835,0.814,0.823
26.5,0.832,0.812,0.823
28.5,0.832,0.81,0.82
32.5,0.828,0.807,0.818
36.5,0.827,0.802,0.813
40.5,0.824,0.801,0.811
44.5,0.821,0.797,0.807
48.5,0.817,0.796,0.805
52.5,0.815,0.792,0.801
56.5,0.814,0.789,0.8
60.5,0.811,0.787,0.797
68.5,0.806,0.782,0.791
76.5,0.801,0.778,0.785
84.5,0.797,0.772,0.78
92.5,0.792,0.768,0.775
101,0.788,0.762,0.77
109,0.783,0.757,0.765
117,0.78,0.753,0.761
125,0.775,0.749,0.756
141,0.767,0.74,0.747
157,0.759,0.731,0.738
173,0.751,0.723,0.729
189,0.743,0.714,0.719
205,0.736,0.707,0.712
221,0.728,0.698,0.703
237,0.721,0.691,0.695
253,0.714,0.683,0.687
285,0.699,0.668,0.671
317,0.686,0.654,0.655
349,0.672,0.641,0.64
381,0.659,0.627,0.626
413,0.646,0.614,0.613
445,0.634,0.601,0.599
477,0.622,0.589,0.586
509,0.61,0.578,0.574
573,0.588,0.555,0.55
637,0.566,0.534,0.527
701,0.546,0.514,0.506
765,0.526,0.494,0.486
829,0.508,0.476,0.467
893,0.49,0.459,0.449
957,0.473,0.442,0.431
1.02E+03,0.457,0.427,0.415
1.15E+03,0.427,0.397,0.385
1.28E+03,0.398,0.37,0.356
1.40E+03,0.372,0.345,0.331
1.53E+03,0.348,0.322,0.307
1.66E+03,0.326,0.302,0.286
1.79E+03,0.305,0.282,0.266
1.92E+03,0.286,0.265,0.249
2.04E+03,0.269,0.25,0.233
2.30E+03,0.237,0.22,0.205
2.56E+03,0.211,0.195,0.182
2.81E+03,0.189,0.173,0.162
3.07E+03,0.17,0.156,0.146
3.32E+03,0.154,0.141,0.133
3.58E+03,0.141,0.128,0.122
3.84E+03,0.13,0.117,0.113
4.09E+03,0.121,0.107,0.106
4.60E+03,0.107,0.093,0.095
5.12E+03,0.0974,0.0834,0.0881
5.63E+03,0.0911,0.077,0.0835
6.14E+03,0.0851,0.0731,0.079
6.65E+03,0.0799,0.0706,0.0753
7.16E+03,0.0764,0.0674,0.0731
7.68E+03,0.075,0.065,0.0711
8.19E+03,0.0748,0.0631,0.0675
9.21E+03,0.0736,0.0606,0.0605
1.02E+04,0.0708,0.0561,0.0578
1.13E+04,0.0672,0.0506,0.0591
1.23E+04,0.0652,0.0474,0.0578
1.33E+04,0.0665,0.0465,0.0557
1.43E+04,0.0669,0.0459,0.0549
1.54E+04,0.0654,0.0448,0.0572
1.64E+04,0.065,0.0472,0.0576
1.84E+04,0.0614,0.0506,0.0577
2.05E+04,0.058,0.0527,0.0536
2.25E+04,0.0577,0.0505,0.0492
2.46E+04,0.0569,0.0464,0.0446
2.66E+04,0.054,0.0441,0.0448
2.87E+04,0.0518,0.0453,0.0423
3.07E+04,0.0493,0.0398,0.0425
3.28E+04,0.0455,0.0384,0.0415
3.69E+04,0.0446,0.0406,0.0346
4.10E+04,0.0418,0.0371,0.0304
4.51E+04,0.0371,0.0366,0.0298
4.91E+04,0.0327,0.0365,0.0256
5.32E+04,0.0326,0.0364,0.0243
5.73E+04,0.0255,0.0304,0.0234
6.14E+04,0.0229,0.0219,0.0185
6.55E+04,0.022,0.02,0.0194
7.37E+04,0.0151,0.0225,0.0147
8.19E+04,0.0112,0.0186,0.0153
9.01E+04,0.0111,0.0199,0.0145
9.83E+04,0.0127,0.02,0.0117
1.06E+05,0.0108,0.0159,0.0119
1.15E+05,0.00862,0.0144,0.0126
1.23E+05,0.0107,0.0132,0.0124
1.31E+05,0.0115,0.0105,0.00964
1.47E+05,0.00823,0.00765,0.00865
1.64E+05,0.0095,0.00965,0.00579
1.80E+05,0.00614,0.0137,0.00877
1.97E+05,0.00925,0.015,0.00766
2.13E+05,0.009,0.0108,0.00185
2.29E+05,0.00726,0.00897,0.00499
2.46E+05,0.0081,0.011,0.00455
2.62E+05,0.0077,0.00886,0.0071
2.95E+05,0.00937,0.00727,0.0062
3.28E+05,0.00902,0.00468,0.00765
3.60E+05,0.0121,0.00658,0.0095
3.93E+05,0.011,0.00817,0.00518
4.26E+05,0.00727,0.00834,0.00458
4.59E+05,0.00607,0.0059,0.00414
4.92E+05,0.0077,0.00184,0.00527
5.24E+05,0.0108,0.00356,0.00556
5.90E+05,0.0103,0.00387,0.00581
6.55E+05,0.00941,0.00271,0.0061
7.21E+05,0.0067,0.00261,0.00423
7.86E+05,0.00677,0.00292,0.00301
8.52E+05,0.0134,0.00281,0.00364
9.18E+05,0.0107,0.00361,0.00196
9.83E+05,0.0073,0.00447,0.00227
1.05E+06,0.00611,0.00344,0.00514
1.18E+06,0.00462,0.00401,0.00741
1.31E+06,0.00575,0.00213,0.00405
1.44E+06,0.00352,0.00113,0.00443
1.57E+06,0.00487,0.00408,0.00221
1.70E+06,0.0057,0.000543,0.00536
1.84E+06,0.00391,0.000225,0.0045
1.97E+06,0.0054,0.000221,0.003
2.10E+06,0.00126,0.00274,0.00265
2.36E+06,0.000969,0.00231,0.00293
2.62E+06,0,0.00473,0.00161
2.88E+06,0.000868,0.00216,0.00367
3.15E+06,0.00263,0.00647,0.00139
3.41E+06,0.00367,0.00618,0.00198
3.67E+06,0.00151,0.00646,0.00383
3.93E+06,0.00157,0.00412,0.00128
4.19E+06,0,0,0
4.72E+06,0,0,0
5.24E+06,0,0,0
5.77E+06,0,0,0
6.29E+06,0,0,0
6.82E+06,0,0,0
7.34E+06,0,0,0
7.86E+06,0,0,0
8.39E+06,0,0,0
9.44E+06,0,0,0
1.05E+07,0,0,0
1.15E+07,0,0,0
1.26E+07,0,0,0
1.36E+07,0,0,0
1.47E+07,0,0,0
1.57E+07,0,0,0
1.68E+07,0,0,0
1.89E+07,0,0,0
2.10E+07,0,0,0
2.31E+07,0,0,0
2.52E+07,0,0,0
2.73E+07,0,0,0
2.94E+07,0,0,0
3.15E+07,0,0,0
3.36E+07,0,0,0
3.77E+07,0,0,0
4.19E+07,0,0,0
4.61E+07,0,0,0
5.03E+07,0,0,0
5.45E+07,0,0,0
5.87E+07,0,0,0
