X Lag Time,Record 40: K13 1,Record 41: K13 2,Record 42: K13 3
0.5,0.89,0.885,0.883
1,0.884,0.873,0.871
1.5,0.878,0.865,0.862
2,0.869,0.857,0.855
2.5,0.87,0.852,0.854
3,0.859,0.849,0.85
3.5,0.855,0.849,0.843
4,0.856,0.841,0.841
4.5,0.853,0.84,0.836
5.5,0.844,0.833,0.828
6.5,0.84,0.827,0.822
7.5,0.832,0.82,0.817
8.5,0.829,0.818,0.815
9.5,0.823,0.815,0.809
10.5,0.819,0.808,0.808
11.5,0.814,0.805,0.803
12.5,0.811,0.799,0.798
14.5,0.802,0.792,0.789
16.5,0.796,0.783,0.781
18.5,0.789,0.778,0.771
20.5,0.784,0.769,0.765
22.5,0.777,0.765,0.761
24.5,0.771,0.758,0.754
26.5,0.766,0.753,0.75
28.5,0.761,0.748,0.743
32.5,0.751,0.737,0.731
36.5,0.741,0.728,0.721
40.5,0.73,0.719,0.712
44.5,0.724,0.711,0.706
48.5,0.717,0.702,0.695
52.5,0.71,0.694,0.689
56.5,0.703,0.688,0.683
60.5,0.696,0.681,0.675
68.5,0.682,0.669,0.663
76.5,0.672,0.659,0.651
84.5,0.661,0.648,0.641
92.5,0.652,0.639,0.632
101,0.643,0.63,0.622
109,0.634,0.622,0.613
117,0.626,0.613,0.606
125,0.619,0.606,0.598
141,0.605,0.592,0.583
157,0.592,0.579,0.571
173,0.58,0.566,0.558
189,0.567,0.555,0.545
205,0.556,0.544,0.533
221,0.545,0.533,0.522
237,0.534,0.522,0.512
253,0.525,0.512,0.501
285,0.506,0.493,0.481
317,0.488,0.474,0.462
349,0.47,0.457,0.445
381,0.455,0.44,0.428
413,0.439,0.426,0.413
445,0.424,0.411,0.398
477,0.41,0.396,0.383
509,0.397,0.384,0.37
573,0.372,0.36,0.346
637,0.349,0.338,0.324
701,0.328,0.317,0.303
765,0.309,0.298,0.285
829,0.291,0.282,0.268
893,0.276,0.267,0.252
957,0.261,0.252,0.238
1.02E+03,0.248,0.239,0.226
1.15E+03,0.224,0.215,0.204
1.28E+03,0.203,0.195,0.185
1.40E+03,0.185,0.178,0.169
1.53E+03,0.169,0.163,0.155
1.66E+03,0.156,0.15,0.142
1.79E+03,0.144,0.138,0.13
1.92E+03,0.132,0.129,0.12
2.04E+03,0.123,0.121,0.112
2.30E+03,0.107,0.109,0.0987
2.56E+03,0.0933,0.0974,0.0879
2.81E+03,0.0815,0.0888,0.0795
3.07E+03,0.0725,0.0812,0.0726
3.32E+03,0.0655,0.0749,0.0672
3.58E+03,0.0608,0.07,0.0635
3.84E+03,0.0577,0.0659,0.0611
4.09E+03,0.0554,0.0626,0.0578
4.60E+03,0.0508,0.0585,0.0525
5.12E+03,0.0467,0.0544,0.0501
5.63E+03,0.0473,0.0528,0.0488
6.14E+03,0.0465,0.0497,0.0455
6.65E+03,0.0466,0.0477,0.044
7.16E+03,0.0486,0.0478,0.043
7.68E+03,0.0492,0.0468,0.0412
8.19E+03,0.0488,0.0462,0.0407
9.21E+03,0.0472,0.0441,0.0381
1.02E+04,0.0426,0.045,0.0351
1.13E+04,0.0416,0.0433,0.0363
1.23E+04,0.0399,0.0417,0.0348
1.33E+04,0.0399,0.0442,0.0344
1.43E+04,0.0377,0.0455,0.0336
1.54E+04,0.0367,0.0432,0.0333
1.64E+04,0.035,0.0389,0.0313
1.84E+04,0.0331,0.0347,0.027
2.05E+04,0.0349,0.0354,0.0274
2.25E+04,0.0363,0.0385,0.0266
2.46E+04,0.0369,0.0355,0.0248
2.66E+04,0.0369,0.033,0.0284
2.87E+04,0.0333,0.0357,0.0275
3.07E+04,0.0306,0.0368,0.0208
3.28E+04,0.0288,0.0338,0.0209
3.69E+04,0.0281,0.034,0.0228
4.10E+04,0.0275,0.0277,0.0239
4.51E+04,0.0276,0.0259,0.0235
4.91E+04,0.0255,0.0259,0.0167
5.32E+04,0.0291,0.0247,0.0141
5.73E+04,0.0298,0.0261,0.0166
6.14E+04,0.0278,0.0262,0.0153
6.55E+04,0.0266,0.0213,0.0144
7.37E+04,0.0217,0.0213,0.0132
8.19E+04,0.0223,0.0184,0.0132
9.01E+04,0.0235,0.0156,0.013
9.83E+04,0.0234,0.0175,0.0126
1.06E+05,0.0213,0.0138,0.00919
1.15E+05,0.0216,0.0155,0.0068
1.23E+05,0.0246,0.0175,0.00513
1.31E+05,0.0218,0.0143,0.00576
1.47E+05,0.0225,0.0129,0.00663
1.64E+05,0.0192,0.0138,0.00827
1.80E+05,0.021,0.0141,0.00676
1.97E+05,0.0182,0.0129,0.00578
2.13E+05,0.0182,0.0115,0.00701
2.29E+05,0.0154,0.0101,0.00742
2.46E+05,0.0166,0.00722,0.00551
2.62E+05,0.017,0.0062,0.00744
2.95E+05,0.0162,0.00435,0.00729
3.28E+05,0.0153,0.00407,0.00433
3.60E+05,0.016,0.0054,0.00439
3.93E+05,0.0147,0.00479,0.00382
4.26E+05,0.015,0.00464,0.0043
4.59E+05,0.0143,0.00251,0.00468
4.92E+05,0.0153,0.00241,0.00437
5.24E+05,0.0133,0.00115,0.00372
5.90E+05,0.01,0.00114,0.00733
6.55E+05,0.00896,0.00186,0.00523
7.21E+05,0.00778,0.00299,0.00157
7.86E+05,0.00729,0.00171,0.000757
8.52E+05,0.00802,0.00195,0.00263
9.18E+05,0.00654,0.00474,0.00368
9.83E+05,0.00373,0.00292,0.00109
1.05E+06,0.00684,0.00542,0.00281
1.18E+06,0.00669,0.00334,0.00365
1.31E+06,0.00703,0.00455,0.00191
1.44E+06,0.0063,0.00223,0.00111
1.57E+06,0.00526,0.00426,0.000495
1.70E+06,0.00507,0.0041,0.000401
1.84E+06,0.0055,0.00261,0.000748
1.97E+06,0.0068,0.00333,0.000157
2.10E+06,0.00665,0.00352,0.00135
2.36E+06,0.00675,0.00109,0.00318
2.62E+06,0.00925,0.00337,0.00249
2.88E+06,0.00797,0.00329,0.0023
3.15E+06,0.00902,0.0027,0.00198
3.41E+06,0.00876,0.0029,0.00242
3.67E+06,0.00942,0.00417,0.00175
3.93E+06,0.014,0.00175,0.00136
4.19E+06,0,0,0
4.72E+06,0,0,0
5.24E+06,0,0,0
5.77E+06,0,0,0
6.29E+06,0,0,0
6.82E+06,0,0,0
7.34E+06,0,0,0
7.86E+06,0,0,0
8.39E+06,0,0,0
9.44E+06,0,0,0
1.05E+07,0,0,0
1.15E+07,0,0,0
1.26E+07,0,0,0
1.36E+07,0,0,0
1.47E+07,0,0,0
1.57E+07,0,0,0
1.68E+07,0,0,0
1.89E+07,0,0,0
2.10E+07,0,0,0
2.31E+07,0,0,0
2.52E+07,0,0,0
2.73E+07,0,0,0
2.94E+07,0,0,0
3.15E+07,0,0,0
3.36E+07,0,0,0
3.77E+07,0,0,0
4.19E+07,0,0,0
4.61E+07,0,0,0
5.03E+07,0,0,0
5.45E+07,0,0,0
5.87E+07,0,0,0
