X Lag Time,Record 46: K14 1,Record 47: K14 2,Record 48: K14 3
0.5,0.887,0.883,0.9
1,0.883,0.885,0.9
1.5,0.88,0.879,0.895
2,0.877,0.876,0.894
2.5,0.876,0.872,0.89
3,0.873,0.871,0.887
3.5,0.871,0.867,0.887
4,0.871,0.867,0.885
4.5,0.869,0.865,0.884
5.5,0.864,0.862,0.879
6.5,0.86,0.858,0.878
7.5,0.856,0.854,0.873
8.5,0.855,0.852,0.872
9.5,0.854,0.85,0.867
10.5,0.851,0.846,0.865
11.5,0.849,0.845,0.865
12.5,0.846,0.842,0.861
14.5,0.842,0.837,0.857
16.5,0.837,0.832,0.852
18.5,0.833,0.827,0.848
20.5,0.83,0.823,0.844
22.5,0.825,0.819,0.84
24.5,0.823,0.816,0.836
26.5,0.816,0.812,0.832
28.5,0.814,0.808,0.828
32.5,0.808,0.8,0.822
36.5,0.802,0.794,0.815
40.5,0.795,0.787,0.809
44.5,0.79,0.781,0.803
48.5,0.784,0.776,0.798
52.5,0.779,0.769,0.791
56.5,0.774,0.764,0.786
60.5,0.769,0.759,0.781
68.5,0.76,0.748,0.771
76.5,0.75,0.738,0.762
84.5,0.742,0.729,0.753
92.5,0.734,0.721,0.745
101,0.726,0.712,0.737
109,0.719,0.704,0.729
117,0.711,0.697,0.721
125,0.705,0.69,0.714
141,0.692,0.676,0.7
157,0.68,0.661,0.687
173,0.667,0.649,0.675
189,0.656,0.636,0.662
205,0.645,0.624,0.65
221,0.634,0.613,0.639
237,0.624,0.602,0.628
253,0.614,0.59,0.618
285,0.595,0.569,0.597
317,0.576,0.55,0.578
349,0.559,0.531,0.56
381,0.542,0.514,0.542
413,0.527,0.497,0.526
445,0.512,0.481,0.51
477,0.497,0.466,0.495
509,0.484,0.451,0.481
573,0.458,0.424,0.454
637,0.434,0.399,0.429
701,0.412,0.375,0.406
765,0.392,0.354,0.385
829,0.373,0.335,0.365
893,0.356,0.317,0.348
957,0.339,0.301,0.33
1.02E+03,0.324,0.285,0.315
1.15E+03,0.295,0.256,0.286
1.28E+03,0.27,0.231,0.26
1.40E+03,0.248,0.208,0.238
1.53E+03,0.228,0.188,0.218
1.66E+03,0.21,0.171,0.2
1.79E+03,0.193,0.155,0.184
1.92E+03,0.179,0.142,0.17
2.04E+03,0.166,0.13,0.158
2.30E+03,0.144,0.11,0.137
2.56E+03,0.125,0.0933,0.118
2.81E+03,0.11,0.0787,0.103
3.07E+03,0.0962,0.0672,0.0906
3.32E+03,0.0853,0.0588,0.0809
3.58E+03,0.0754,0.0525,0.0725
3.84E+03,0.0668,0.0473,0.0655
4.09E+03,0.0602,0.0435,0.0603
4.60E+03,0.0499,0.0344,0.0511
5.12E+03,0.0438,0.0298,0.0437
5.63E+03,0.0404,0.0246,0.0387
6.14E+03,0.0375,0.0231,0.0337
6.65E+03,0.0336,0.0218,0.0324
7.16E+03,0.0303,0.0195,0.0296
7.68E+03,0.0287,0.0172,0.0274
8.19E+03,0.0261,0.015,0.0271
9.21E+03,0.0233,0.0099,0.0218
1.02E+04,0.0218,0.008,0.0175
1.13E+04,0.021,0.00842,0.0143
1.23E+04,0.0196,0.00941,0.0136
1.33E+04,0.0182,0.00763,0.015
1.43E+04,0.0152,0.00537,0.0169
1.54E+04,0.0153,0.00349,0.0164
1.64E+04,0.0148,0.00374,0.0124
1.84E+04,0.0164,0.00778,0.0097
2.05E+04,0.0183,0.00743,0.00764
2.25E+04,0.0171,0.00551,0.00681
2.46E+04,0.016,0.00409,0.0092
2.66E+04,0.018,0.00491,0.00945
2.87E+04,0.0127,0.00477,0.0111
3.07E+04,0.00846,0.00817,0.012
3.28E+04,0.00871,0.00734,0.0142
3.69E+04,0.00839,0.00766,0.0141
4.10E+04,0.0123,0.00576,0.0109
4.51E+04,0.00948,0.00523,0.0107
4.91E+04,0.0045,0.00284,0.00817
5.32E+04,0.0071,0.00331,0.00794
5.73E+04,0.00877,0.00573,0.0141
6.14E+04,0.00895,0.00302,0.0147
6.55E+04,0.00756,0.00351,0.0156
7.37E+04,0.00738,0.00404,0.0106
8.19E+04,0.00842,0.00587,0.0108
9.01E+04,0.0121,0.00325,0.0143
9.83E+04,0.00771,0.00818,0.0124
1.06E+05,0.00617,0.00786,0.0125
1.15E+05,0.0102,0.00587,0.0153
1.23E+05,0.00645,0.00285,0.00945
1.31E+05,0.00688,0.00195,0.00654
1.47E+05,0.00161,0.000471,0.00898
1.64E+05,0.00853,0.00225,0.00826
1.80E+05,0.00854,0.00253,0.0114
1.97E+05,0.00819,0.00222,0.00638
2.13E+05,0.00738,0.00158,0.00715
2.29E+05,0.00697,0.00113,0.00542
2.46E+05,0.00397,0.00314,0.00488
2.62E+05,0.00447,0.000684,0.00439
2.95E+05,0.0076,0.0017,0.00599
3.28E+05,0.00521,0.000932,0.00425
3.60E+05,0.00788,0.0015,0.00582
3.93E+05,0.00476,0.000544,0.00369
4.26E+05,0.00507,0.000556,0.0052
4.59E+05,0.00326,0.000686,0.00573
4.92E+05,0.00596,0.000856,0.00284
5.24E+05,0.0055,0.00106,0.00318
5.90E+05,0.00313,0.000283,0.00406
6.55E+05,0.00222,0.000818,0.0066
7.21E+05,0.0077,0.000991,0.00654
7.86E+05,0.00333,0.00084,0.00414
8.52E+05,0.00217,0.00161,0.00421
9.18E+05,0.00356,0.000967,0.00341
9.83E+05,0.00202,0.000747,0.00425
1.05E+06,0.00257,3.80E-05,0.00352
1.18E+06,0.0028,2.34E-05,0.0037
1.31E+06,0.00106,0,0.00456
1.44E+06,0.000506,0.0021,0.00515
1.57E+06,0.00079,0.0019,0.00223
1.70E+06,0.00145,0.00163,0.00198
1.84E+06,0,0.00114,0.0018
1.97E+06,0,0.00155,0.00113
2.10E+06,0.000745,0.00221,0.00239
2.36E+06,0.00138,0.00209,0.00193
2.62E+06,0.000606,0.00249,0.000782
2.88E+06,0.000948,0.00208,0.00207
3.15E+06,0.00052,0.00311,0.00362
3.41E+06,0,0.002,0.000558
3.67E+06,0.0017,0.0016,0.000348
3.93E+06,0.00362,0.00219,0.000639
4.19E+06,0,0,0
4.72E+06,0,0,0
5.24E+06,0,0,0
5.77E+06,0,0,0
6.29E+06,0,0,0
6.82E+06,0,0,0
7.34E+06,0,0,0
7.86E+06,0,0,0
8.39E+06,0,0,0
9.44E+06,0,0,0
1.05E+07,0,0,0
1.15E+07,0,0,0
1.26E+07,0,0,0
1.36E+07,0,0,0
1.47E+07,0,0,0
1.57E+07,0,0,0
1.68E+07,0,0,0
1.89E+07,0,0,0
2.10E+07,0,0,0
2.31E+07,0,0,0
2.52E+07,0,0,0
2.73E+07,0,0,0
2.94E+07,0,0,0
3.15E+07,0,0,0
3.36E+07,0,0,0
3.77E+07,0,0,0
4.19E+07,0,0,0
4.61E+07,0,0,0
5.03E+07,0,0,0
5.45E+07,0,0,0
5.87E+07,0,0,0
