X Lag Time,Record 37: K6 1,Record 38: K6 2,Record 39: K6 3
0.5,0.886,0.889,0.89
1,0.88,0.884,0.884
1.5,0.875,0.879,0.881
2,0.876,0.878,0.876
2.5,0.867,0.878,0.873
3,0.869,0.874,0.871
3.5,0.867,0.872,0.871
4,0.865,0.872,0.867
4.5,0.865,0.872,0.867
5.5,0.86,0.865,0.863
6.5,0.861,0.862,0.86
7.5,0.858,0.86,0.859
8.5,0.854,0.856,0.857
9.5,0.849,0.857,0.853
10.5,0.849,0.853,0.852
11.5,0.847,0.851,0.85
12.5,0.845,0.848,0.848
14.5,0.841,0.845,0.844
16.5,0.838,0.842,0.84
18.5,0.835,0.837,0.837
20.5,0.833,0.835,0.833
22.5,0.831,0.831,0.83
24.5,0.828,0.827,0.828
26.5,0.824,0.826,0.825
28.5,0.82,0.822,0.821
32.5,0.816,0.818,0.815
36.5,0.809,0.812,0.811
40.5,0.804,0.806,0.803
44.5,0.799,0.801,0.799
48.5,0.795,0.796,0.796
52.5,0.79,0.792,0.791
56.5,0.784,0.787,0.785
60.5,0.781,0.782,0.78
68.5,0.773,0.773,0.77
76.5,0.763,0.765,0.763
84.5,0.756,0.755,0.753
92.5,0.748,0.748,0.745
101,0.739,0.74,0.736
109,0.732,0.732,0.729
117,0.724,0.724,0.723
125,0.717,0.716,0.714
141,0.703,0.701,0.699
157,0.687,0.687,0.685
173,0.675,0.673,0.67
189,0.662,0.66,0.656
205,0.649,0.646,0.644
221,0.636,0.634,0.631
237,0.625,0.622,0.618
253,0.612,0.609,0.606
285,0.588,0.585,0.582
317,0.566,0.563,0.559
349,0.545,0.542,0.538
381,0.524,0.522,0.517
413,0.504,0.502,0.497
445,0.486,0.484,0.479
477,0.468,0.466,0.462
509,0.451,0.449,0.445
573,0.418,0.417,0.413
637,0.387,0.387,0.383
701,0.359,0.361,0.357
765,0.334,0.336,0.332
829,0.311,0.313,0.309
893,0.289,0.293,0.288
957,0.27,0.273,0.269
1.02E+03,0.251,0.256,0.251
1.15E+03,0.218,0.224,0.22
1.28E+03,0.191,0.197,0.193
1.40E+03,0.167,0.173,0.169
1.53E+03,0.147,0.153,0.149
1.66E+03,0.129,0.136,0.131
1.79E+03,0.113,0.121,0.116
1.92E+03,0.0992,0.109,0.103
2.04E+03,0.0881,0.0975,0.0914
2.30E+03,0.069,0.0783,0.0724
2.56E+03,0.0556,0.0635,0.0588
2.81E+03,0.0449,0.0526,0.0491
3.07E+03,0.0371,0.0442,0.0409
3.32E+03,0.0314,0.0366,0.0333
3.58E+03,0.0268,0.0304,0.028
3.84E+03,0.0224,0.0249,0.0229
4.09E+03,0.0201,0.0212,0.0192
4.60E+03,0.0152,0.0165,0.0157
5.12E+03,0.0107,0.0137,0.0139
5.63E+03,0.00773,0.013,0.0147
6.14E+03,0.00597,0.0111,0.0154
6.65E+03,0.00595,0.00974,0.016
7.16E+03,0.00591,0.00938,0.0149
7.68E+03,0.00608,0.00902,0.0109
8.19E+03,0.00596,0.00775,0.00995
9.21E+03,0.00589,0.00679,0.011
1.02E+04,0.00385,0.00541,0.0118
1.13E+04,0.00331,0.0049,0.00873
1.23E+04,0.00366,0.00538,0.00856
1.33E+04,0.00404,0.00715,0.00969
1.43E+04,0.00309,0.0102,0.00651
1.54E+04,0.00295,0.00966,0.00686
1.64E+04,0.00463,0.00748,0.00567
1.84E+04,0.00172,0.00431,0.00709
2.05E+04,0.00397,0.00636,0.00722
2.25E+04,0.00574,0.00727,0.00334
2.46E+04,0.00579,0.00541,0.00613
2.66E+04,0.00341,0.00429,0.00303
2.87E+04,0.00564,0.00606,0.00162
3.07E+04,0.0065,0.00825,0.00323
3.28E+04,0.00831,0.0108,0.00413
3.69E+04,0.00602,0.00849,0.00381
4.10E+04,0.00782,0.00732,0.00686
4.51E+04,0.00579,0.0123,0.00438
4.91E+04,0.00128,0.00792,0.00213
5.32E+04,0.00141,0.00765,0.00379
5.73E+04,0.00232,0.0102,0.00765
6.14E+04,0.0039,0.00607,0.00891
6.55E+04,0.00355,0.00678,0.00502
7.37E+04,0.00314,0.00457,0.00336
8.19E+04,0.00188,0.003,0.00167
9.01E+04,0.00243,0.00436,0.00152
9.83E+04,0.00332,0.00398,0.00307
1.06E+05,0.00265,0.00427,0.00162
1.15E+05,0.0028,0.00689,0.00261
1.23E+05,0.00197,0.00306,0.00173
1.31E+05,0.00213,0.00272,0.00112
1.47E+05,0.00158,0.0009,0.00126
1.64E+05,0.00291,0.00167,0.00346
1.80E+05,0.00327,0.00306,0.00199
1.97E+05,0.00384,0.00323,0.00286
2.13E+05,0.00329,0.00327,0.00117
2.29E+05,0.0025,0.00127,0.00243
2.46E+05,0.00228,0.00168,0.00376
2.62E+05,0.00241,0.00106,0.00149
2.95E+05,0.00299,0.0028,0.00115
3.28E+05,0.00247,0.00233,0.0011
3.60E+05,0.0031,0.00181,0.00174
3.93E+05,0.00103,0.00256,0.0012
4.26E+05,0.00214,0.00232,0.000772
4.59E+05,0.00148,0.00321,0.000989
4.92E+05,0.00178,0.00423,0.000448
5.24E+05,0.00136,0.00315,0.00113
5.90E+05,0.00398,0.00163,0.00104
6.55E+05,0.000406,0.00243,0.000561
7.21E+05,0.00189,0.0015,0.00132
7.86E+05,0.00081,0.00287,0.000628
8.52E+05,0.00131,0.00194,0.000718
9.18E+05,0.000991,0.000994,0.000668
9.83E+05,0.000868,0.000948,0.00168
1.05E+06,0.00197,0.00109,0.000256
1.18E+06,0.00367,0.0005,0.00115
1.31E+06,0.00187,0.000781,0.00112
1.44E+06,0.00216,0.000561,0.00127
1.57E+06,0.00268,0.000446,0.00121
1.70E+06,0.00127,0.000924,0.00197
1.84E+06,0.00303,0.000756,0
1.97E+06,0.00186,0.000727,0.000734
2.10E+06,0.00179,0.000881,0
2.36E+06,0.00123,0.000598,0.00103
2.62E+06,0.000792,0.00102,0.00181
2.88E+06,0.0028,0.000381,0.000236
3.15E+06,0.00156,0.000724,0.00263
3.41E+06,0.00299,0.000184,0.00115
3.67E+06,0.00328,0.000307,0.00221
3.93E+06,0.00279,0.000731,0.00123
4.19E+06,0,0,0
4.72E+06,0,0,0
5.24E+06,0,0,0
5.77E+06,0,0,0
6.29E+06,0,0,0
6.82E+06,0,0,0
7.34E+06,0,0,0
7.86E+06,0,0,0
8.39E+06,0,0,0
9.44E+06,0,0,0
1.05E+07,0,0,0
1.15E+07,0,0,0
1.26E+07,0,0,0
1.36E+07,0,0,0
1.47E+07,0,0,0
1.57E+07,0,0,0
1.68E+07,0,0,0
1.89E+07,0,0,0
2.10E+07,0,0,0
2.31E+07,0,0,0
2.52E+07,0,0,0
2.73E+07,0,0,0
2.94E+07,0,0,0
3.15E+07,0,0,0
3.36E+07,0,0,0
3.77E+07,0,0,0
4.19E+07,0,0,0
4.61E+07,0,0,0
5.03E+07,0,0,0
5.45E+07,0,0,0
5.87E+07,0,0,0
