X Lag Time,Record 22: J4 1,Record 23: J4 2,Record 24: J4 3
6.14E+03,0.0775,0.0603,0.0588
6.65E+03,0.0748,0.0599,0.0558
7.16E+03,0.0732,0.06,0.0527
7.68E+03,0.0722,0.0598,0.0505
8.19E+03,0.0709,0.0582,0.0489
9.21E+03,0.0686,0.0569,0.0485
1.02E+04,0.0635,0.0545,0.0486
1.13E+04,0.0586,0.0552,0.0468
1.23E+04,0.0567,0.0587,0.0455
1.33E+04,0.0559,0.0578,0.0442
1.43E+04,0.0596,0.0546,0.0428
1.54E+04,0.0636,0.0568,0.0438
1.64E+04,0.0646,0.0565,0.0424
1.84E+04,0.0629,0.0568,0.041
2.05E+04,0.0566,0.0567,0.0425
2.25E+04,0.0598,0.0534,0.0417
2.46E+04,0.0636,0.0526,0.04
2.66E+04,0.0651,0.0512,0.0427
2.87E+04,0.0604,0.0492,0.043
3.07E+04,0.0633,0.0524,0.0409
3.28E+04,0.063,0.0488,0.0411
3.69E+04,0.0591,0.0384,0.0367
4.10E+04,0.0529,0.0424,0.0349
4.51E+04,0.0499,0.0378,0.0348
4.91E+04,0.0512,0.0336,0.0372
5.32E+04,0.048,0.0313,0.0326
5.73E+04,0.0413,0.0305,0.0309
6.14E+04,0.0388,0.0258,0.0312
6.55E+04,0.0389,0.0232,0.0305
7.37E+04,0.042,0.0248,0.0258
8.19E+04,0.0368,0.0218,0.0217
9.01E+04,0.0325,0.0197,0.0227
9.83E+04,0.0317,0.0205,0.0199
1.06E+05,0.03,0.0195,0.0197
1.15E+05,0.0241,0.016,0.0179
1.23E+05,0.0253,0.0159,0.0185
1.31E+05,0.0232,0.0182,0.0191
1.47E+05,0.0253,0.015,0.0158
1.64E+05,0.0214,0.0141,0.0147
1.80E+05,0.0152,0.0132,0.0138
1.97E+05,0.0188,0.0144,0.00719
2.13E+05,0.0162,0.013,0.00661
2.29E+05,0.0172,0.0115,0.00843
2.46E+05,0.016,0.0135,0.00644
2.62E+05,0.0155,0.0125,0.00721
2.95E+05,0.0139,0.0113,0.00349
3.28E+05,0.0157,0.009,0.00442
3.60E+05,0.0127,0.0125,0.00234
3.93E+05,0.0101,0.0124,0.000997
4.26E+05,0.00638,0.00725,0.00532
4.59E+05,0.00945,0.00774,0.00363
4.92E+05,0.0113,0.00778,0.00836
5.24E+05,0.0104,0.00754,0.00541
5.90E+05,0.00878,0.00626,0.00448
6.55E+05,0.00356,0.00179,0.00282
7.21E+05,0.00242,0.00108,0.00226
7.86E+05,0.00334,0.00388,0.00325
8.52E+05,0.000985,0.00429,0.00384
9.18E+05,0.00244,0.00135,0.00616
9.83E+05,0.00254,0.00272,0.00534
1.05E+06,0.00326,0.00193,0.00185
1.18E+06,0.00476,0.0025,0.000681
1.31E+06,0.00207,0.00588,0.000737
1.44E+06,0.00607,0.00442,0.000796
1.57E+06,0.0071,0.00342,0
1.70E+06,0.00283,0.00338,0
1.84E+06,0.00597,0.00338,0.00153
1.97E+06,0.00174,0.0075,0.00124
2.10E+06,0.000294,0.00429,0.00319
2.36E+06,0.00124,0.00125,0.00595
2.62E+06,0.00198,0.00479,0.00389
2.88E+06,0.00369,0.00284,0.00357
3.15E+06,0.00263,0.00262,0.00337
3.41E+06,0.00284,0.00175,0.00385
3.67E+06,0.0049,0.000486,0.00235
3.93E+06,0.00614,0.00142,0.0036
4.19E+06,0,0,0
4.72E+06,0,0,0
5.24E+06,0,0,0
5.77E+06,0,0,0
6.29E+06,0,0,0
6.82E+06,0,0,0
7.34E+06,0,0,0
7.86E+06,0,0,0
8.39E+06,0,0,0
9.44E+06,0,0,0
1.05E+07,0,0,0
1.15E+07,0,0,0
1.26E+07,0,0,0
1.36E+07,0,0,0
1.47E+07,0,0,0
1.57E+07,0,0,0
1.68E+07,0,0,0
1.89E+07,0,0,0
2.10E+07,0,0,0
2.31E+07,0,0,0
2.52E+07,0,0,0
2.73E+07,0,0,0
2.94E+07,0,0,0
3.15E+07,0,0,0
3.36E+07,0,0,0
3.77E+07,0,0,0
4.19E+07,0,0,0
4.61E+07,0,0,0
5.03E+07,0,0,0
5.45E+07,0,0,0
5.87E+07,0,0,0
