X Lag Time,Record 43: K7 1,Record 44: K7 2,Record 45: K7 3
0.5,0.896,0.895,0.895
1,0.896,0.891,0.892
1.5,0.888,0.885,0.888
2,0.887,0.878,0.886
2.5,0.882,0.88,0.882
3,0.878,0.876,0.878
3.5,0.876,0.872,0.876
4,0.873,0.87,0.874
4.5,0.871,0.867,0.871
5.5,0.865,0.863,0.867
6.5,0.863,0.86,0.863
7.5,0.858,0.854,0.858
8.5,0.854,0.851,0.855
9.5,0.85,0.848,0.852
10.5,0.848,0.844,0.847
11.5,0.843,0.841,0.844
12.5,0.841,0.838,0.841
14.5,0.835,0.831,0.835
16.5,0.829,0.825,0.83
18.5,0.823,0.82,0.824
20.5,0.819,0.814,0.819
22.5,0.812,0.809,0.814
24.5,0.807,0.804,0.809
26.5,0.802,0.799,0.804
28.5,0.798,0.795,0.8
32.5,0.789,0.786,0.79
36.5,0.781,0.776,0.782
40.5,0.773,0.768,0.773
44.5,0.764,0.761,0.766
48.5,0.756,0.754,0.758
52.5,0.749,0.746,0.751
56.5,0.742,0.738,0.744
60.5,0.735,0.732,0.738
68.5,0.723,0.719,0.725
76.5,0.71,0.706,0.713
84.5,0.699,0.695,0.702
92.5,0.687,0.684,0.691
101,0.677,0.673,0.68
109,0.667,0.663,0.67
117,0.658,0.653,0.661
125,0.648,0.644,0.651
141,0.63,0.625,0.633
157,0.612,0.607,0.616
173,0.596,0.591,0.599
189,0.58,0.575,0.583
205,0.564,0.56,0.568
221,0.55,0.545,0.553
237,0.536,0.531,0.539
253,0.522,0.517,0.526
285,0.496,0.49,0.499
317,0.471,0.465,0.475
349,0.448,0.443,0.452
381,0.427,0.421,0.431
413,0.406,0.4,0.411
445,0.387,0.381,0.392
477,0.369,0.363,0.374
509,0.352,0.346,0.358
573,0.321,0.314,0.327
637,0.293,0.286,0.299
701,0.268,0.262,0.274
765,0.245,0.24,0.252
829,0.225,0.221,0.232
893,0.206,0.202,0.214
957,0.19,0.186,0.198
1.02E+03,0.175,0.171,0.183
1.15E+03,0.15,0.146,0.158
1.28E+03,0.129,0.125,0.136
1.40E+03,0.111,0.107,0.118
1.53E+03,0.0964,0.0911,0.104
1.66E+03,0.0841,0.0782,0.0917
1.79E+03,0.0732,0.0678,0.0807
1.92E+03,0.0626,0.0583,0.0719
2.04E+03,0.0541,0.0496,0.0642
2.30E+03,0.0408,0.0352,0.0525
2.56E+03,0.0314,0.0252,0.044
2.81E+03,0.0249,0.0188,0.0363
3.07E+03,0.0206,0.0146,0.0306
3.32E+03,0.0166,0.011,0.0252
3.58E+03,0.0135,0.0077,0.0218
3.84E+03,0.0123,0.00665,0.0204
4.09E+03,0.0114,0.00635,0.0199
4.60E+03,0.0108,0.00498,0.0176
5.12E+03,0.00702,0.00524,0.0156
5.63E+03,0.00582,0.00483,0.0128
6.14E+03,0.00587,0.00367,0.0142
6.65E+03,0.00542,0.00252,0.0158
7.16E+03,0.00681,0.00222,0.014
7.68E+03,0.00735,0.00217,0.0125
8.19E+03,0.00716,0.00207,0.0129
9.21E+03,0.00664,0.00352,0.0105
1.02E+04,0.00724,0.00547,0.00878
1.13E+04,0.00683,0.00332,0.00924
1.23E+04,0.005,0.00343,0.00865
1.33E+04,0.00195,0.00255,0.00922
1.43E+04,0.00279,0.00226,0.00877
1.54E+04,0.00356,0.0021,0.00881
1.64E+04,0.00439,0.00161,0.00841
1.84E+04,0.00401,0.00275,0.00691
2.05E+04,0.00104,0.0022,0.00622
2.25E+04,0.000871,0.000974,0.00748
2.46E+04,0.00344,0.000942,0.00801
2.66E+04,0.00369,0.00239,0.00572
2.87E+04,0.00624,0.00282,0.00925
3.07E+04,0.00541,0.00325,0.00862
3.28E+04,0.00199,0.0024,0.00949
3.69E+04,0.00143,0.00274,0.00579
4.10E+04,0.00172,0.0041,0.00425
4.51E+04,0.00353,0.00193,0.00373
4.91E+04,0.00258,0.000812,0.00363
5.32E+04,0.00543,0.00165,0.00409
5.73E+04,0.0027,0.00195,0.00594
6.14E+04,0.00342,0.00462,0.00337
6.55E+04,0.00119,0.00206,0.00185
7.37E+04,0.00185,0.00211,0.00248
8.19E+04,0.0029,0.00353,0.00382
9.01E+04,0.00173,0.00177,0.00374
9.83E+04,0.00302,0.00184,0.00281
1.06E+05,0.00241,0.00147,0.00326
1.15E+05,0.00293,0.00205,0.00318
1.23E+05,0.000602,0.00265,0.00526
1.31E+05,0.000781,0.000894,0.0037
1.47E+05,0.00204,0.00117,0.00209
1.64E+05,0.00273,0.00156,0.0048
1.80E+05,0.00127,0.00107,0.00469
1.97E+05,0.00158,0.00135,0.00642
2.13E+05,0.00186,0.00261,0.00532
2.29E+05,0.00155,0.00195,0.00328
2.46E+05,0.000929,0.00108,0.00404
2.62E+05,0.00187,0.000264,0.00345
2.95E+05,0.000894,0.00105,0.00156
3.28E+05,0.000223,0.0016,0.00272
3.60E+05,0.00204,0.00137,0.00328
3.93E+05,0.00162,0.00122,0.00303
4.26E+05,0.00128,0.00105,0.00286
4.59E+05,0.00158,0.000894,0.00436
