X Lag Time,Record 34: K12 1,Record 35: K12 2,Record 36: K12 3
0.5,0.81,0.819,0.806
1,0.801,0.808,0.795
1.5,0.787,0.792,0.781
2,0.776,0.781,0.769
2.5,0.767,0.768,0.756
3,0.759,0.759,0.747
3.5,0.75,0.749,0.738
4,0.742,0.741,0.729
4.5,0.734,0.733,0.722
5.5,0.721,0.718,0.707
6.5,0.709,0.705,0.694
7.5,0.699,0.692,0.681
8.5,0.689,0.681,0.672
9.5,0.677,0.672,0.658
10.5,0.668,0.661,0.649
11.5,0.659,0.651,0.639
12.5,0.652,0.641,0.629
14.5,0.636,0.623,0.612
16.5,0.621,0.607,0.596
18.5,0.608,0.592,0.582
20.5,0.594,0.578,0.566
22.5,0.582,0.565,0.555
24.5,0.57,0.552,0.542
26.5,0.56,0.54,0.531
28.5,0.55,0.529,0.519
32.5,0.532,0.509,0.498
36.5,0.515,0.491,0.481
40.5,0.5,0.474,0.464
44.5,0.487,0.46,0.45
48.5,0.475,0.446,0.437
52.5,0.463,0.435,0.426
56.5,0.453,0.424,0.417
60.5,0.444,0.414,0.407
68.5,0.429,0.397,0.391
76.5,0.415,0.384,0.378
84.5,0.404,0.373,0.367
92.5,0.395,0.363,0.358
101,0.388,0.355,0.35
109,0.381,0.348,0.344
117,0.375,0.342,0.338
125,0.37,0.337,0.333
141,0.362,0.328,0.325
157,0.355,0.321,0.319
173,0.349,0.315,0.314
189,0.344,0.309,0.309
205,0.339,0.304,0.305
221,0.335,0.3,0.301
237,0.331,0.296,0.298
253,0.327,0.292,0.294
285,0.32,0.284,0.288
317,0.313,0.277,0.282
349,0.306,0.27,0.276
381,0.3,0.263,0.27
413,0.293,0.257,0.264
445,0.287,0.251,0.259
477,0.281,0.244,0.253
509,0.275,0.238,0.249
573,0.264,0.228,0.239
637,0.254,0.218,0.229
701,0.244,0.207,0.221
765,0.234,0.197,0.211
829,0.224,0.189,0.204
893,0.215,0.181,0.197
957,0.206,0.173,0.19
1.02E+03,0.198,0.166,0.183
1.15E+03,0.183,0.154,0.17
1.28E+03,0.171,0.142,0.159
1.40E+03,0.16,0.133,0.148
1.53E+03,0.15,0.124,0.138
1.66E+03,0.142,0.116,0.13
1.79E+03,0.134,0.109,0.124
1.92E+03,0.127,0.104,0.117
2.04E+03,0.122,0.0985,0.112
2.30E+03,0.113,0.0893,0.103
2.56E+03,0.105,0.0823,0.0954
2.81E+03,0.1,0.0772,0.0905
3.07E+03,0.0968,0.0741,0.0871
3.32E+03,0.0944,0.0721,0.0853
3.58E+03,0.0934,0.0704,0.0832
3.84E+03,0.091,0.0684,0.0816
4.09E+03,0.0906,0.0674,0.0812
4.60E+03,0.0887,0.0661,0.0806
5.12E+03,0.0868,0.0648,0.0796
5.63E+03,0.0864,0.0648,0.0782
6.14E+03,0.0854,0.0644,0.0777
6.65E+03,0.0845,0.0636,0.0772
7.16E+03,0.0829,0.0624,0.0759
7.68E+03,0.0813,0.0616,0.0744
8.19E+03,0.0797,0.0612,0.0743
9.21E+03,0.0785,0.0618,0.0743
1.02E+04,0.0796,0.0631,0.0757
1.13E+04,0.0783,0.0631,0.0759
1.23E+04,0.0771,0.0611,0.076
1.33E+04,0.0769,0.0588,0.0768
1.43E+04,0.0768,0.0601,0.0761
1.54E+04,0.0765,0.0592,0.0755
1.64E+04,0.0765,0.0575,0.0765
1.84E+04,0.0748,0.0575,0.0748
2.05E+04,0.074,0.0578,0.0747
2.25E+04,0.0725,0.0584,0.0763
2.46E+04,0.0707,0.0575,0.0738
2.66E+04,0.0725,0.0568,0.0708
2.87E+04,0.0714,0.0584,0.0706
3.07E+04,0.07,0.0573,0.0677
3.28E+04,0.07,0.0568,0.0657
3.69E+04,0.0698,0.0587,0.0673
4.10E+04,0.0677,0.0568,0.0652
4.51E+04,0.0694,0.0552,0.0637
4.91E+04,0.0655,0.057,0.0612
5.32E+04,0.0646,0.0553,0.0606
5.73E+04,0.0649,0.0547,0.0587
6.14E+04,0.0629,0.0531,0.0574
6.55E+04,0.0611,0.0513,0.056
7.37E+04,0.058,0.0477,0.052
8.19E+04,0.0552,0.0471,0.051
9.01E+04,0.0539,0.0446,0.0488
9.83E+04,0.0514,0.0441,0.0471
