X Lag Time,Record 31: K5 1,Record 32: K5 2,Record 33: K5 3
0.5,0.836,0.836,0.854
1,0.839,0.839,0.856
1.5,0.836,0.837,0.854
2,0.835,0.836,0.853
2.5,0.835,0.836,0.852
3,0.835,0.835,0.851
3.5,0.835,0.832,0.852
4,0.831,0.833,0.85
4.5,0.831,0.831,0.849
5.5,0.83,0.83,0.849
6.5,0.831,0.828,0.848
7.5,0.829,0.828,0.846
8.5,0.827,0.827,0.844
9.5,0.826,0.825,0.843
10.5,0.825,0.824,0.842
11.5,0.825,0.824,0.841
12.5,0.824,0.824,0.841
14.5,0.822,0.821,0.84
16.5,0.821,0.82,0.838
18.5,0.819,0.818,0.836
20.5,0.818,0.817,0.836
22.5,0.816,0.815,0.833
24.5,0.815,0.814,0.831
26.5,0.813,0.813,0.831
28.5,0.812,0.811,0.83
32.5,0.808,0.808,0.827
36.5,0.806,0.806,0.824
40.5,0.804,0.803,0.821
44.5,0.801,0.801,0.818
48.5,0.799,0.799,0.817
52.5,0.797,0.796,0.813
56.5,0.794,0.793,0.811
60.5,0.792,0.791,0.809
68.5,0.787,0.787,0.804
76.5,0.782,0.782,0.799
84.5,0.777,0.777,0.794
92.5,0.773,0.773,0.79
101,0.768,0.769,0.786
109,0.764,0.764,0.781
117,0.759,0.76,0.776
125,0.755,0.756,0.772
141,0.747,0.747,0.763
157,0.738,0.739,0.755
173,0.73,0.731,0.746
189,0.722,0.723,0.738
205,0.714,0.715,0.729
221,0.706,0.707,0.722
237,0.698,0.7,0.714
253,0.691,0.692,0.706
285,0.676,0.677,0.691
317,0.662,0.663,0.675
349,0.647,0.649,0.661
381,0.634,0.635,0.647
413,0.62,0.622,0.633
445,0.607,0.609,0.619
477,0.594,0.596,0.606
509,0.582,0.584,0.593
573,0.558,0.56,0.568
637,0.535,0.537,0.545
701,0.514,0.515,0.522
765,0.493,0.495,0.5
829,0.473,0.475,0.48
893,0.454,0.455,0.46
957,0.435,0.437,0.442
1.02E+03,0.418,0.42,0.425
1.15E+03,0.385,0.387,0.392
1.28E+03,0.354,0.356,0.361
1.40E+03,0.327,0.328,0.334
1.53E+03,0.302,0.303,0.309
1.66E+03,0.279,0.28,0.287
1.79E+03,0.259,0.26,0.267
1.92E+03,0.24,0.241,0.25
2.04E+03,0.224,0.224,0.234
2.30E+03,0.196,0.195,0.206
2.56E+03,0.173,0.171,0.183
2.81E+03,0.155,0.154,0.165
3.07E+03,0.141,0.14,0.15
3.32E+03,0.131,0.13,0.138
3.58E+03,0.123,0.122,0.13
3.84E+03,0.116,0.116,0.123
4.09E+03,0.111,0.111,0.118
4.60E+03,0.105,0.104,0.108
5.12E+03,0.0996,0.0982,0.1
5.63E+03,0.0951,0.0909,0.094
6.14E+03,0.0909,0.0865,0.0895
6.65E+03,0.0883,0.0823,0.0847
7.16E+03,0.086,0.0775,0.0803
7.68E+03,0.0835,0.0732,0.0779
8.19E+03,0.0804,0.0696,0.078
9.21E+03,0.0763,0.0628,0.0817
1.02E+04,0.0761,0.0574,0.0852
1.13E+04,0.0706,0.0574,0.084
1.23E+04,0.0623,0.0577,0.0821
1.33E+04,0.0604,0.0567,0.0746
1.43E+04,0.0591,0.0545,0.0662
1.54E+04,0.0594,0.0505,0.0587
1.64E+04,0.0604,0.0436,0.0551
1.84E+04,0.061,0.0372,0.0473
2.05E+04,0.0528,0.0387,0.0457
2.25E+04,0.0477,0.0433,0.0462
2.46E+04,0.0502,0.038,0.0453
2.66E+04,0.0492,0.0347,0.0384
2.87E+04,0.0478,0.0333,0.0377
3.07E+04,0.0454,0.0282,0.0358
3.28E+04,0.0446,0.0278,0.0389
3.69E+04,0.0358,0.0243,0.0399
4.10E+04,0.0317,0.0174,0.0308
4.51E+04,0.0267,0.0166,0.0254
4.91E+04,0.0267,0.021,0.0256
5.32E+04,0.0237,0.02,0.0241
5.73E+04,0.0235,0.0175,0.0268
6.14E+04,0.0227,0.0139,0.0263
6.55E+04,0.015,0.0143,0.0234
7.37E+04,0.0162,0.0127,0.023
8.19E+04,0.0147,0.00975,0.0222
9.01E+04,0.00994,0.00936,0.0229
9.83E+04,0.0103,0.0114,0.0233
1.06E+05,0.00733,0.011,0.0202
1.15E+05,0.01,0.0105,0.0217
1.23E+05,0.00826,0.00884,0.0197
1.31E+05,0.00907,0.00643,0.0193
1.47E+05,0.0122,0.00725,0.0197
1.64E+05,0.00886,0.00173,0.0149
1.80E+05,0.00979,0.00346,0.016
1.97E+05,0.0116,0.0037,0.0174
2.13E+05,0.00851,0.00247,0.0216
2.29E+05,0.0059,0.00693,0.0143
2.46E+05,0.00783,0.00732,0.0159
2.62E+05,0.00725,0.00485,0.0147
2.95E+05,0.00336,0.00566,0.0175
3.28E+05,0.00883,0.00828,0.0149
3.60E+05,0.00699,0.00767,0.0153
3.93E+05,0.0103,0.00828,0.0161
4.26E+05,0.0124,0.00339,0.016
4.59E+05,0.0154,0.00255,0.0142
4.92E+05,0.0102,0.00229,0.0172
5.24E+05,0.00795,0.00249,0.014
5.90E+05,0.00441,0.00221,0.0182
6.55E+05,0.0096,0.00189,0.0126
7.21E+05,0.00717,0.00105,0.0215
7.86E+05,0.00487,0.00591,0.0168
8.52E+05,0.00653,0.00121,0.0159
9.18E+05,0.00817,0.00186,0.0132
9.83E+05,0.00799,0.00207,0.0145
1.05E+06,0.0041,0.00213,0.0169
1.18E+06,0.00348,0.000345,0.0144
1.31E+06,0.00554,0.00576,0.0156
1.44E+06,0.00357,0.00449,0.0145
1.57E+06,0.00538,0.00374,0.0155
1.70E+06,0.00965,0.00352,0.0147
1.84E+06,0.0083,0.00417,0.00874
1.97E+06,0.00358,0.00611,0.0115
2.10E+06,0.00799,0,0.0152
2.36E+06,0.0062,0.000767,0.0174
2.62E+06,0.00364,0.000499,0.0139
2.88E+06,0.00251,0.000459,0.0136
3.15E+06,0.00372,0.00222,0.0154
3.41E+06,0.0057,0.00236,0.0152
3.67E+06,0.00332,0.00181,0.0114
3.93E+06,0.00162,0.000416,0.0135
4.19E+06,0,0,0
4.72E+06,0,0,0
5.24E+06,0,0,0
5.77E+06,0,0,0
6.29E+06,0,0,0
6.82E+06,0,0,0
7.34E+06,0,0,0
7.86E+06,0,0,0
8.39E+06,0,0,0
9.44E+06,0,0,0
1.05E+07,0,0,0
1.15E+07,0,0,0
1.26E+07,0,0,0
1.36E+07,0,0,0
1.47E+07,0,0,0
1.57E+07,0,0,0
1.68E+07,0,0,0
1.89E+07,0,0,0
2.10E+07,0,0,0
2.31E+07,0,0,0
2.52E+07,0,0,0
2.73E+07,0,0,0
2.94E+07,0,0,0
3.15E+07,0,0,0
3.36E+07,0,0,0
3.77E+07,0,0,0
4.19E+07,0,0,0
4.61E+07,0,0,0
5.03E+07,0,0,0
5.45E+07,0,0,0
5.87E+07,0,0,0
