X Lag Time,Record 67: L19 1,Record 68: L19 2,Record 69: L19 3
0.5,0.85,0.862,0.851
1,0.85,0.858,0.849
1.5,0.842,0.853,0.845
2,0.838,0.848,0.838
2.5,0.833,0.842,0.836
3,0.831,0.839,0.833
3.5,0.827,0.836,0.829
4,0.823,0.832,0.826
4.5,0.821,0.829,0.822
5.5,0.813,0.823,0.816
6.5,0.81,0.816,0.811
7.5,0.805,0.812,0.806
8.5,0.799,0.807,0.801
9.5,0.796,0.803,0.797
10.5,0.792,0.798,0.793
11.5,0.788,0.795,0.79
12.5,0.784,0.791,0.786
14.5,0.775,0.783,0.779
16.5,0.77,0.774,0.772
18.5,0.763,0.768,0.766
20.5,0.757,0.763,0.76
22.5,0.751,0.755,0.754
24.5,0.745,0.75,0.749
26.5,0.74,0.745,0.743
28.5,0.734,0.739,0.738
32.5,0.725,0.728,0.728
36.5,0.715,0.719,0.719
40.5,0.706,0.71,0.71
44.5,0.698,0.701,0.703
48.5,0.69,0.694,0.696
52.5,0.683,0.686,0.688
56.5,0.676,0.679,0.682
60.5,0.67,0.672,0.676
68.5,0.658,0.66,0.665
76.5,0.647,0.649,0.654
84.5,0.638,0.639,0.645
92.5,0.629,0.63,0.636
101,0.62,0.621,0.628
109,0.612,0.613,0.621
117,0.606,0.606,0.614
125,0.599,0.599,0.607
141,0.585,0.586,0.594
157,0.574,0.574,0.583
173,0.562,0.563,0.572
189,0.552,0.552,0.562
205,0.542,0.542,0.552
221,0.532,0.532,0.543
237,0.523,0.522,0.533
253,0.514,0.513,0.525
285,0.498,0.495,0.508
317,0.482,0.478,0.493
349,0.467,0.463,0.478
381,0.452,0.448,0.464
413,0.439,0.433,0.45
445,0.426,0.42,0.437
477,0.413,0.407,0.425
509,0.402,0.395,0.413
573,0.379,0.372,0.391
637,0.359,0.351,0.371
701,0.339,0.332,0.353
765,0.321,0.314,0.336
829,0.305,0.297,0.32
893,0.29,0.283,0.306
957,0.276,0.269,0.292
1.02E+03,0.264,0.256,0.279
1.15E+03,0.24,0.232,0.255
1.28E+03,0.22,0.21,0.234
