Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,All:Concentration
2023_05_31_Bot_02-Run004,37563,36558,4094,169,22,0.0,0.0,0.0,78406
2023_05_31_Bot_02-Run016,41829,32550,3508,165,14,4.5,4.5,0.0,78069
