Project Name,ECD 1_2:Concentration,ECD 2_5:Concentration,ECD 5_10:Concentration,ECD 10_25:Concentration,ECD 25_70:Concentration,ECD ge70:Concentration,MFD ge70:Concentration,MFD ge125:Concentration,All:Concentration
2023_05_31_Bot_01-Run003,94530,80944,7836,366,40,4.5,11.2,4.5,183722
2023_05_31_Bot_01-Run015,77729,56249,4863,281,22,0.0,6.7,0.0,139144
