X Lag Time,Record 1: JJ1_50mg_000rpm_00-00min_NA_No1_230705 1,Record 2: JJ1_50mg_000rpm_00-00min_NA_No1_230705 2,Record 3: JJ1_50mg_000rpm_00-00min_NA_No1_230705 3,X Intensity,Record 1: JJ1_50mg_000rpm_00-00min_NA_No1_230705 1,Record 2: JJ1_50mg_000rpm_00-00min_NA_No1_230705 2,Record 3: JJ1_50mg_000rpm_00-00min_NA_No1_230705 3
0.5,0.846,0.843,0.842,0.4,0,0,0
1,0.831,0.828,0.83,0.463,0,0,0
1.5,0.812,0.807,0.81,0.536,0,0,0
2,0.794,0.789,0.791,0.621,0,0,0
2.5,0.778,0.773,0.774,0.719,0,0,0
3,0.758,0.754,0.758,0.833,0,0,0
3.5,0.742,0.736,0.738,0.965,0,0,0
4,0.726,0.72,0.726,1.12,0,0,0
4.5,0.709,0.704,0.708,1.29,0,0,0
5.5,0.679,0.675,0.677,1.5,0,0,0
6.5,0.648,0.644,0.647,1.74,0,0,0
7.5,0.621,0.616,0.618,2.01,0,0,0
8.5,0.594,0.59,0.592,2.33,0,0,0
9.5,0.567,0.562,0.567,2.7,0,0,0
10.5,0.544,0.54,0.542,3.12,0,0,0
11.5,0.52,0.515,0.516,3.62,0,0,0
12.5,0.498,0.494,0.496,4.19,0,0,0
14.5,0.455,0.45,0.454,4.85,0,0,0
16.5,0.417,0.413,0.415,5.61,0,0,0
18.5,0.381,0.377,0.38,6.5,0,0,0
20.5,0.349,0.345,0.348,7.53,0,0,0
22.5,0.32,0.316,0.317,8.72,2.52,1.9,1.32
24.5,0.293,0.289,0.291,10.1,7.51,7.09,6.45
26.5,0.268,0.264,0.268,11.7,13.2,13.6,13.4
28.5,0.247,0.243,0.245,13.5,17.5,18.7,19
32.5,0.207,0.204,0.206,15.7,19,20.2,20.9
36.5,0.175,0.171,0.173,18.2,17.2,17.8,18.4
40.5,0.147,0.143,0.145,21,12.8,12.5,12.7
44.5,0.123,0.12,0.122,24.4,7.4,6.38,6.2
48.5,0.104,0.101,0.102,28.2,2.75,1.78,1.53
52.5,0.0875,0.0851,0.0867,32.7,0.236,0,0
56.5,0.0744,0.0714,0.0723,37.8,0,0,0
60.5,0.0633,0.0611,0.0615,43.8,0,0,0
68.5,0.0455,0.0443,0.044,50.7,0,0,0
76.5,0.033,0.0321,0.0316,58.8,0,0,0
84.5,0.0244,0.0233,0.0232,68.1,0,0,0
92.5,0.0181,0.0174,0.0163,78.8,0,0,0
101,0.0135,0.0121,0.012,91.3,0,0,0
109,0.00957,0.0092,0.00901,106,0,0,0
117,0.00655,0.0071,0.00769,122,0,0,0
125,0.00468,0.00542,0.0059,142,0,0,0
141,0.00325,0.00318,0.00394,164,0,0,0
157,0.00193,0.00244,0.00291,190,0,0,0
173,0.00143,0.00164,0.00243,220,0,0,0
189,0.00138,0.00119,0.00163,255,0,0,0
205,0.0014,0.00024,0.000347,295,0,0,0
221,0.000604,0,0.000194,342,0,0,0
237,0.00108,4.31E-05,0.000121,396,0,0,0
253,0.00156,0,0.000194,459,0,0,0
285,0.0021,0.000148,0.000619,531,0,0,0
317,0.00136,0.00112,0.000927,615,0,0,0
349,9.53E-05,0.00116,0.000202,712,0,0,0
381,0.000944,0.00156,0.000757,825,0,0,0
413,0.00147,0.000484,0.00121,955,0,0,0
445,0.00122,0.000161,0.00126,1.11E+03,0,0,0
477,0.000977,0.000699,0.00109,1.28E+03,0,0,0
509,0.000861,0.000703,0.000897,1.48E+03,0,0,0
573,0.000501,0.000348,0.000893,1.72E+03,0,0,0
637,0.000905,0.000233,0.000861,1.99E+03,0,0,0
701,0.000684,0.000856,0.000413,2.30E+03,0,0,0
765,0.00125,0.00182,0.000666,2.67E+03,0,0,0
829,0.00111,0.00127,0.000313,3.09E+03,0,0,0
893,0.000585,0.00168,0.00114,3.58E+03,0,0,0
957,0.00158,0.000856,0.00168,4.15E+03,0,0,0
1.02E+03,0.00142,0.000531,0.00128,4.80E+03,0,0,0
1.15E+03,0.000982,0.00111,0.000678,5.56E+03,0,0,0
1.28E+03,0.000314,0.000369,0.00038,6.44E+03,0,0,0
1.40E+03,0,0.000554,0,7.46E+03,0,0,0
1.53E+03,0.000656,0.000539,2.52E-05,8.63E+03,0,0,0
1.66E+03,4.71E-05,0.000152,0.000412,,,,
1.79E+03,0.000614,0.000381,0.000412,,,,
1.92E+03,0.00151,0.000338,0.000471,,,,
2.04E+03,0.000455,0.000436,0.00026,,,,
2.30E+03,0.000523,0.000521,0.000861,,,,
2.56E+03,0.000551,0.00051,0.00077,,,,
2.81E+03,0.000329,0.000303,0.000116,,,,
3.07E+03,0.000519,0.000449,0.000586,,,,
3.32E+03,0.000277,0.000783,0.000376,,,,
3.58E+03,0.000522,0.000472,0.000553,,,,
3.84E+03,0.000139,0.000604,0.000623,,,,
4.09E+03,0.000329,0.00039,0.000307,,,,
4.60E+03,0.000106,0.000346,0.000291,,,,
5.12E+03,0,5.44E-05,0.000657,,,,
5.63E+03,6.14E-05,9.64E-05,0.000659,,,,
6.14E+03,0.000319,0.000189,0,,,,
6.65E+03,0.000276,0.000181,0.000298,,,,
7.16E+03,0.0002,0.000644,0.000211,,,,
7.68E+03,0.000526,0.000352,0.000575,,,,
8.19E+03,0.000564,7.14E-05,0.000184,,,,
9.21E+03,4.58E-05,0.000136,0.000347,,,,
1.02E+04,0.000336,0.000309,0.000249,,,,
1.13E+04,0.000188,0.000218,0.000273,,,,
1.23E+04,0.00023,0.000391,0.000182,,,,
1.33E+04,0.000209,0.000147,0.000147,,,,
1.43E+04,0.0002,0.000352,0.000347,,,,
1.54E+04,0.000142,0.000194,0.000244,,,,
1.64E+04,0.000341,1.48E-05,0.000135,,,,
1.84E+04,0.000321,0.000223,0.000125,,,,
2.05E+04,0.000298,0,0.000158,,,,
2.25E+04,4.41E-05,0.000202,0.000408,,,,
2.46E+04,3.13E-05,0.000174,0.000193,,,,
2.66E+04,0.00035,0.000154,0.000165,,,,
2.87E+04,0.000506,0.000147,0.0001,,,,
3.07E+04,0.000455,2.96E-05,0.000531,,,,
3.28E+04,0.000126,0.000178,0.000208,,,,
3.69E+04,0.000175,5.45E-05,0,,,,
4.10E+04,1.15E-05,0.000161,0.000129,,,,
4.51E+04,8.17E-05,8.92E-05,0.000148,,,,
4.91E+04,5.93E-05,9.85E-05,0.000177,,,,
5.32E+04,3.52E-05,0.000149,4.06E-05,,,,
5.73E+04,0,0.00019,9.38E-05,,,,
6.14E+04,3.01E-05,0.000118,0,,,,
6.55E+04,0.000102,2.32E-05,0.00013,,,,
7.37E+04,0.000293,2.68E-05,4.51E-05,,,,
8.19E+04,6.56E-05,1.51E-05,7.96E-05,,,,
9.01E+04,3.47E-05,7.17E-05,0.000138,,,,
