X Lag Time,Record 1: JJ1_50mg_200rpm_10-00min_ST_No1_230705 1,Record 2: JJ1_50mg_200rpm_10-00min_ST_No1_230705 2,Record 3: JJ1_50mg_200rpm_10-00min_ST_No1_230705 3,X Intensity,Record 1: JJ1_50mg_200rpm_10-00min_ST_No1_230705 1,Record 2: JJ1_50mg_200rpm_10-00min_ST_No1_230705 2,Record 3: JJ1_50mg_200rpm_10-00min_ST_No1_230705 3
0.5,0.878,0.871,0.875,0.4,0,0,0
1,0.871,0.863,0.867,0.463,0,0,0
1.5,0.859,0.852,0.858,0.536,0,0,0
2,0.851,0.846,0.851,0.621,0,0,0
2.5,0.843,0.832,0.84,0.719,0,0,0
3,0.832,0.83,0.832,0.833,0,0,0
3.5,0.828,0.815,0.825,0.965,0,0,0
4,0.822,0.812,0.82,1.12,0,0,0
4.5,0.812,0.803,0.81,1.29,0,0,0
5.5,0.797,0.787,0.794,1.5,0,0,0
6.5,0.781,0.771,0.781,1.74,0,0,0
7.5,0.769,0.76,0.769,2.01,0,0,0
8.5,0.756,0.746,0.754,2.33,0,0,0
9.5,0.744,0.733,0.743,2.7,0,0,0
10.5,0.731,0.719,0.73,3.12,0,0,0
11.5,0.72,0.709,0.72,3.62,0,0,0
12.5,0.708,0.694,0.707,4.19,0,0,0
14.5,0.686,0.672,0.686,4.85,0,0,0
16.5,0.665,0.652,0.665,5.61,0,0,0
18.5,0.645,0.632,0.647,6.5,0,0,0
20.5,0.628,0.614,0.627,7.53,0,0,0
22.5,0.609,0.596,0.613,8.72,0.669,0,0
24.5,0.595,0.58,0.593,10.1,2.77,0.875,0.549
26.5,0.578,0.564,0.577,11.7,5.72,5.92,5.23
28.5,0.564,0.549,0.564,13.5,8.26,11.4,10.9
32.5,0.539,0.521,0.537,15.7,9.25,13,13.3
36.5,0.515,0.498,0.513,18.2,8.23,9.77,10.8
40.5,0.493,0.475,0.493,21,5.64,4.01,5.26
44.5,0.474,0.454,0.473,24.4,2.64,0,0.667
48.5,0.457,0.437,0.455,28.2,0.548,0,0
52.5,0.441,0.422,0.44,32.7,0,0,0
56.5,0.428,0.406,0.425,37.8,0,0,0
60.5,0.413,0.394,0.411,43.8,0,0,0
68.5,0.392,0.371,0.389,50.7,0,0,0
76.5,0.373,0.351,0.37,58.8,0,0,0
84.5,0.356,0.335,0.354,68.1,0,0,0
92.5,0.344,0.322,0.34,78.8,0,0,0
101,0.333,0.312,0.329,91.3,0,0,0
109,0.324,0.302,0.319,106,0,0,0
117,0.315,0.294,0.31,122,0,0,0
125,0.308,0.287,0.303,142,0,0,0
141,0.296,0.276,0.292,164,0,0,0
157,0.286,0.267,0.281,190,0,0,0
173,0.278,0.259,0.273,220,0,0,0
189,0.271,0.252,0.267,255,0,0,0
205,0.266,0.247,0.262,295,0,0,0
221,0.261,0.242,0.256,342,0.701,0.564,0.0535
237,0.257,0.238,0.252,396,2.29,2.48,2.03
253,0.253,0.234,0.248,459,4.39,5.15,5.34
285,0.247,0.227,0.243,531,6.41,7.61,8.52
317,0.24,0.221,0.237,615,7.83,9.04,10.3
