X Lag Time,Record 1: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No3_230629 1,Record 2: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No3_230629 2,Record 3: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No3_230629 3,X Intensity,Record 1: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No3_230629 1,Record 2: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No3_230629 2,Record 3: JJ1_10mg_PS20_250ug_200rpm_10-00min_PM_No3_230629 3
0.5,0.857,0.854,0.854,0.4,0,0,0
1,0.828,0.838,0.834,0.463,0,0,0
1.5,0.809,0.808,0.819,0.536,0,0,0
2,0.787,0.793,0.79,0.621,0,0,0
2.5,0.77,0.778,0.774,0.719,0,0,0
3,0.758,0.756,0.759,0.833,0,0,0
3.5,0.734,0.732,0.739,0.965,0,0,0
4,0.715,0.724,0.723,1.12,0,0,0
4.5,0.704,0.703,0.708,1.29,0,0,0
5.5,0.669,0.674,0.674,1.5,0,0,0
6.5,0.637,0.645,0.648,1.74,0,0,0
7.5,0.609,0.614,0.617,2.01,0,0,0
8.5,0.586,0.587,0.593,2.33,0,0,0
9.5,0.556,0.562,0.568,2.7,0,0,0
10.5,0.533,0.54,0.54,3.12,0,0,0
11.5,0.512,0.513,0.519,3.62,0,0,0
12.5,0.489,0.493,0.498,4.19,0,0,0
14.5,0.446,0.455,0.457,4.85,0,0,0
16.5,0.407,0.416,0.42,5.61,0,0,0
18.5,0.375,0.379,0.384,6.5,0.258,0.502,0
20.5,0.343,0.349,0.357,7.53,2.41,2.57,1.51
22.5,0.318,0.32,0.329,8.72,6.21,5.94,5.25
24.5,0.288,0.295,0.303,10.1,10.5,9.73,10
26.5,0.265,0.274,0.279,11.7,14.1,12.9,14.2
28.5,0.242,0.253,0.259,13.5,15.8,14.7,16.4
32.5,0.206,0.214,0.223,15.7,15.5,14.8,16.2
36.5,0.176,0.182,0.189,18.2,13.2,13.2,13.6
40.5,0.149,0.156,0.162,21,9.64,10.3,9.58
44.5,0.13,0.134,0.14,24.4,5.78,6.81,5.33
48.5,0.11,0.116,0.121,28.2,2.55,3.6,1.98
52.5,0.0956,0.101,0.105,32.7,0.598,1.26,0.245
56.5,0.0824,0.0886,0.0925,37.8,0,0.127,0
60.5,0.0721,0.0775,0.0804,43.8,0,0,0
