X Lag Time,Record 1: JJ1_50mg_200rpm_10-00min_PM_No3_230705 1,Record 2: JJ1_50mg_200rpm_10-00min_PM_No3_230705 2,Record 3: JJ1_50mg_200rpm_10-00min_PM_No3_230705 3,X Intensity,Record 1: JJ1_50mg_200rpm_10-00min_PM_No3_230705 1,Record 2: JJ1_50mg_200rpm_10-00min_PM_No3_230705 2,Record 3: JJ1_50mg_200rpm_10-00min_PM_No3_230705 3
0.5,0.846,0.845,0.846,0.4,0,0,0
1,0.832,0.83,0.835,0.463,0,0,0
1.5,0.813,0.812,0.815,0.536,0,0,0
2,0.797,0.794,0.798,0.621,0,0,0
2.5,0.781,0.779,0.782,0.719,0,0,0
3,0.766,0.763,0.767,0.833,0,0,0
3.5,0.75,0.749,0.751,0.965,0,0,0
4,0.736,0.734,0.736,1.12,0,0,0
4.5,0.719,0.72,0.723,1.29,0,0,0
5.5,0.693,0.692,0.693,1.5,0,0,0
6.5,0.665,0.665,0.667,1.74,0,0,0
7.5,0.639,0.638,0.641,2.01,0,0,0
8.5,0.614,0.615,0.616,2.33,0,0,0
9.5,0.591,0.592,0.594,2.7,0,0,0
10.5,0.568,0.567,0.57,3.12,0,0,0
11.5,0.547,0.547,0.549,3.62,0,0,0
12.5,0.526,0.526,0.527,4.19,0,0,0
14.5,0.486,0.486,0.488,4.85,0,0,0
16.5,0.45,0.45,0.452,5.61,0,0,0
18.5,0.418,0.418,0.418,6.5,0,0,0
20.5,0.387,0.387,0.388,7.53,0.53,0,0
22.5,0.358,0.358,0.36,8.72,2.87,1.83,1.97
24.5,0.333,0.333,0.333,10.1,6.64,5.73,5.97
26.5,0.309,0.309,0.31,11.7,10.7,10.5,10.7
28.5,0.288,0.287,0.288,13.5,14,14.5,14.5
32.5,0.25,0.248,0.249,15.7,15.5,16.6,16.4
36.5,0.217,0.215,0.215,18.2,15,16.2,16
40.5,0.188,0.186,0.187,21,12.8,13.7,13.4
44.5,0.164,0.162,0.163,24.4,9.34,9.8,9.56
48.5,0.143,0.141,0.141,28.2,5.64,5.63,5.52
52.5,0.125,0.123,0.124,32.7,2.53,2.27,2.28
56.5,0.111,0.108,0.109,37.8,0.625,0.406,0.452
60.5,0.0977,0.0948,0.0966,43.8,0,0,0
68.5,0.0765,0.0735,0.0757,50.7,0,0,0
76.5,0.0603,0.0584,0.0596,58.8,0,0,0
84.5,0.0482,0.0466,0.0476,68.1,0,0,0
92.5,0.0394,0.0377,0.0384,78.8,0,0,0
101,0.0323,0.0303,0.0321,91.3,0,0,0
109,0.0278,0.0257,0.0274,106,0,0,0
117,0.0242,0.0215,0.0219,122,0,0,0
125,0.0209,0.0192,0.019,142,0,0,0
141,0.0164,0.0152,0.015,164,0,0,0
157,0.0138,0.0128,0.0124,190,0,0,0
173,0.0119,0.0114,0.00959,220,0,0,0
189,0.0111,0.00979,0.00781,255,0,0,0
205,0.00992,0.00809,0.00726,295,0,0,0
221,0.00871,0.0068,0.00689,342,0,0,0
237,0.00836,0.00657,0.00658,396,0,0,0
253,0.00798,0.00645,0.00619,459,0,0,0
285,0.00666,0.00546,0.00546,531,0,0,0
317,0.00565,0.00467,0.0044,615,0,0,0
349,0.00466,0.00459,0.00466,712,0,0,0
381,0.0053,0.00437,0.00504,825,0,0,0
413,0.00591,0.0042,0.00456,955,0,0,0
445,0.00585,0.00426,0.00431,1.11E+03,0,0,0
477,0.00679,0.00453,0.00291,1.28E+03,0,0,0
509,0.0063,0.00405,0.00299,1.48E+03,0,0,0
573,0.0054,0.00359,0.00296,1.72E+03,0,0,0
637,0.00485,0.00385,0.00224,1.99E+03,0,0,0
701,0.00366,0.00307,0.00278,2.30E+03,0.0217,0,0.0222
765,0.00422,0.00169,0.00264,2.67E+03,0.119,0.047,0.11
829,0.00345,0.00183,0.00255,3.09E+03,0.298,0.172,0.265
893,0.00388,0.00229,0.00224,3.58E+03,0.531,0.364,0.464
957,0.00325,0.00233,0.00324,4.15E+03,0.77,0.582,0.666
1.02E+03,0.00248,0.00266,0.00231,4.80E+03,0.963,0.775,0.828
1.15E+03,0.0028,0.00294,0.00221,5.56E+03,1.06,0.892,0.908
1.28E+03,0.00296,0.00189,0.000645,6.44E+03,0,0,0
1.40E+03,0.00207,0.000887,0.000651,7.46E+03,0,0,0
1.53E+03,0.00252,0.00163,0.000972,8.63E+03,0,0,0
1.66E+03,0.00178,0.00211,0.00141,,,,
1.79E+03,0.000238,0.00155,0.00137,,,,
1.92E+03,0.00186,0.00181,0.000551,,,,
2.04E+03,0.000359,0.00131,0.000826,,,,
2.30E+03,0.00156,0.00123,0.00021,,,,
2.56E+03,0.000707,0.00109,0.000183,,,,
2.81E+03,0.000495,0.00108,0.000857,,,,
3.07E+03,0.00156,0.000881,0.000298,,,,
3.32E+03,0.00132,0.000282,0,,,,
3.58E+03,0.000893,0.00117,0.00111,,,,
3.84E+03,0.00139,0.000468,0.000218,,,,
4.09E+03,0.00124,0.000871,0.000382,,,,
4.60E+03,0.000439,0.000865,4.05E-06,,,,
5.12E+03,0.000408,0.000457,0.0002,,,,
5.63E+03,8.71E-05,0.000164,0.00056,,,,
6.14E+03,0.00038,0.00101,0.000305,,,,
6.65E+03,0.000631,0.000597,4.65E-06,,,,
7.16E+03,0.000537,0.000425,0.000196,,,,
7.68E+03,0.000302,0.00022,0.000188,,,,
8.19E+03,0.000519,0.000486,0.000117,,,,
9.21E+03,7.83E-05,0.000508,0.000384,,,,
1.02E+04,0,0.000707,0.000342,,,,
1.13E+04,0.000335,0.000646,0.000363,,,,
1.23E+04,0.000163,0.000512,0.000288,,,,
1.33E+04,0.00037,0.000417,7.05E-05,,,,
1.43E+04,0.000343,1.97E-05,0.000338,,,,
1.54E+04,0.000418,3.74E-05,0.000376,,,,
1.64E+04,0.000152,8.86E-05,0.000318,,,,
1.84E+04,0.000457,0.000271,0.000172,,,,
2.05E+04,0.000327,0.000124,6.61E-05,,,,
2.25E+04,0.00048,1.54E-05,0.000286,,,,
2.46E+04,0.000284,0.000168,0.000152,,,,
2.66E+04,0.00017,0.000644,0.000305,,,,
2.87E+04,0.000229,0.000288,0.000183,,,,
3.07E+04,0.000126,0.000529,0,,,,
3.28E+04,6.42E-05,0.000223,2.52E-05,,,,
3.69E+04,0.000325,0.000121,0.000274,,,,
4.10E+04,0.000311,0.000237,0.00013,,,,
4.51E+04,0.000133,7.82E-05,0.00021,,,,
4.91E+04,0.000222,0.00032,1.03E-05,,,,
5.32E+04,0.000281,0.000381,5.98E-05,,,,
5.73E+04,4.35E-05,1.37E-05,0.000182,,,,
6.14E+04,7.01E-05,0.000293,1.60E-05,,,,
6.55E+04,0.000238,0.000226,0.00024,,,,
7.37E+04,0.000251,4.23E-05,0.000259,,,,
8.19E+04,0.00023,1.30E-05,0.000288,,,,
9.01E+04,0.000237,8.02E-06,0.000217,,,,
9.83E+04,0.000419,0.000132,0.000431,,,,
1.06E+05,0.000169,0.000154,0.000314,,,,
1.15E+05,0.000164,2.91E-05,5.47E-05,,,,
1.23E+05,0.000462,0.00011,0.000315,,,,
1.31E+05,0.00046,6.98E-05,0.000298,,,,
1.47E+05,0.000507,0.000103,9.12E-05,,,,
1.64E+05,0.000549,0.000134,0.000347,,,,
1.80E+05,0.000584,0.000152,0.000286,,,,
1.97E+05,0.000627,0.000108,0.000414,,,,
2.13E+05,0.00031,9.39E-05,0.000139,,,,
2.29E+05,0.000497,9.52E-05,0.000308,,,,
2.46E+05,0.000289,0.000221,0.000321,,,,
2.62E+05,0.000358,0.000167,0.000338,,,,
2.95E+05,0.000426,0.000122,0.000158,,,,
3.28E+05,0.000427,5.87E-05,0.000246,,,,
3.60E+05,0.000239,1.84E-05,0.000114,,,,
3.93E+05,0.000384,9.92E-05,0.000102,,,,
4.26E+05,0.000291,0.000188,3.81E-05,,,,
4.59E+05,0.000576,2.49E-06,0.000206,,,,
4.92E+05,0.000334,8.16E-05,0.000411,,,,
5.24E+05,0.000158,0.000227,9.50E-05,,,,
5.90E+05,0.00015,0.00017,5.81E-05,,,,
6.55E+05,2.24E-05,0.000176,3.60E-05,,,,
7.21E+05,9.68E-05,0,0,,,,
7.86E+05,3.35E-05,0.000495,4.48E-05,,,,
8.52E+05,0,0.000485,0.000242,,,,
9.18E+05,5.44E-05,0.00015,0.000166,,,,
9.83E+05,4.83E-05,0.000131,7.76E-05,,,,
1.05E+06,0.000868,0.000104,0.000274,,,,
1.18E+06,0.000994,2.08E-05,0.00027,,,,
1.31E+06,0.00123,0.00048,0.000176,,,,
1.44E+06,0.00142,0.000595,0.000163,,,,
1.57E+06,0.0015,9.85E-06,0.000471,,,,
1.70E+06,0.00185,0.000254,0.000177,,,,
1.84E+06,0.00174,0,0.000345,,,,
1.97E+06,0.00174,0.000339,0.000415,,,,
2.10E+06,0,0,0,,,,
2.36E+06,0,0,0,,,,
2.62E+06,0,0,0,,,,
2.88E+06,0,0,0,,,,
3.15E+06,0,0,0,,,,
3.41E+06,0,0,0,,,,
3.67E+06,0,0,0,,,,
3.93E+06,0,0,0,,,,
4.19E+06,0,0,0,,,,
4.72E+06,0,0,0,,,,
5.24E+06,0,0,0,,,,
5.77E+06,0,0,0,,,,
6.29E+06,0,0,0,,,,
6.82E+06,0,0,0,,,,
7.34E+06,0,0,0,,,,
7.86E+06,0,0,0,,,,
8.39E+06,0,0,0,,,,
9.44E+06,0,0,0,,,,
1.05E+07,0,0,0,,,,
1.15E+07,0,0,0,,,,
1.26E+07,0,0,0,,,,
1.36E+07,0,0,0,,,,
1.47E+07,0,0,0,,,,
1.57E+07,0,0,0,,,,
1.68E+07,0,0,0,,,,
1.89E+07,0,0,0,,,,
2.10E+07,0,0,0,,,,
2.31E+07,0,0,0,,,,
2.52E+07,0,0,0,,,,
2.73E+07,0,0,0,,,,
2.94E+07,0,0,0,,,,
3.15E+07,0,0,0,,,,
3.36E+07,0,0,0,,,,
3.77E+07,0,0,0,,,,
4.19E+07,0,0,0,,,,
4.61E+07,0,0,0,,,,
5.03E+07,0,0,0,,,,
5.45E+07,0,0,0,,,,
5.87E+07,0,0,0,,,,
